| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:ciphers_jh224 <-] jh224 [wiki:platformsciphers_fritzbox-7170_jh224 ->] || [wiki:platformsimplementations_fritzbox-7170_jh224_bitslice_opt32 bitslice_opt32] || 9180422 || 28102 || 388 || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_jh256 <-] jh256 [wiki:platformsciphers_fritzbox-7170_jh256 ->] || [wiki:platformsimplementations_fritzbox-7170_jh256_bitslice_opt32 bitslice_opt32] || 9177705 || 28102 || 392 || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_jh384 <-] jh384 [wiki:platformsciphers_fritzbox-7170_jh384 ->] || [wiki:platformsimplementations_fritzbox-7170_jh384_bitslice_opt32 bitslice_opt32] || 9182012 || 28102 || 408 || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_jh512 <-] jh512 [wiki:platformsciphers_fritzbox-7170_jh512 ->] || [wiki:platformsimplementations_fritzbox-7170_jh512_bitslice_opt32 bitslice_opt32] || 9180554 || 28102 || 424 || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_keccak <-] keccak [wiki:platformsciphers_fritzbox-7170_keccak ->] || [wiki:platformsimplementations_fritzbox-7170_keccak_compact compact] || 756708 || 2530 || 424 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_keccakc1024 <-] keccakc1024 [wiki:platformsciphers_fritzbox-7170_keccakc1024 ->] || [wiki:platformsimplementations_fritzbox-7170_keccakc1024_compact compact] || 3807772 || 3487 || 431 || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:runs_25 Run 25]
|[wiki:ciphers_groestl256 <-] groestl256 [wiki:platformsciphers_fritzbox-7170_groestl256 ->] || [wiki:platformsimplementations_fritzbox-7170_groestl256_opt32-xbx-rolled opt32-xbx-rolled] || 3338523 || 109411 || 452 || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_keccakc512 <-] keccakc512 [wiki:platformsciphers_fritzbox-7170_keccakc512 ->] || [wiki:platformsimplementations_fritzbox-7170_keccakc512_compact compact] || 1802808 || 3486 || 464 || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_skein256 <-] skein256 [wiki:platformsciphers_fritzbox-7170_skein256 ->] || [wiki:platformsimplementations_fritzbox-7170_skein256_armcryptolib armcryptolib] || 30060593 || 5063 || 520 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_bmw256 <-] bmw256 [wiki:platformsciphers_fritzbox-7170_bmw256 ->] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optbgbe optbgbe] || 124921 || 20029 || 540 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
