| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2011ciphers_0hash <-] 0hash [wiki:r2011platformsciphers_artila_m501_0hash ->] || [wiki:r2011platformsimplementations_artila_m501_0hash_empty empty] || 1204 || 0 || 0 || [wiki:r2011compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_sha1 <-] sha1 [wiki:r2011platformsciphers_artila_m501_sha1 ->] || [wiki:r2011platformsimplementations_artila_m501_sha1_avrcryptolib avrcryptolib] || 401929 || 1234 || 316 || [wiki:r2011compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_sha256 <-] sha256 [wiki:r2011platformsciphers_artila_m501_sha256 ->] || [wiki:r2011platformsimplementations_artila_m501_sha256_avrcryptolib avrcryptolib] || 441878 || 1614 || 792 || [wiki:r2011compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_groestl512 <-] groestl512 [wiki:r2011platformsciphers_artila_m501_groestl512 ->] || [wiki:r2011platformsimplementations_artila_m501_groestl512_armcryptolib armcryptolib] || 19278866 || 2036 || 712 || [wiki:r2011compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_blake256 <-] blake256 [wiki:r2011platformsciphers_artila_m501_blake256 ->] || [wiki:r2011platformsimplementations_artila_m501_blake256_armcryptolib armcryptolib] || 231908 || 2052 || 284 || [wiki:r2011compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_groestl256 <-] groestl256 [wiki:r2011platformsciphers_artila_m501_groestl256 ->] || [wiki:r2011platformsimplementations_artila_m501_groestl256_armcryptolib armcryptolib] || 13107791 || 2064 || 404 || [wiki:r2011compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_keccakc1024 <-] keccakc1024 [wiki:r2011platformsciphers_artila_m501_keccakc1024 ->] || [wiki:r2011platformsimplementations_artila_m501_keccakc1024_compact8 compact8] || 2645888 || 2172 || 664 || [wiki:r2011compilernames arm-artila-gcc -O3] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_keccakc512 <-] keccakc512 [wiki:r2011platformsciphers_artila_m501_keccakc512 ->] || [wiki:r2011platformsimplementations_artila_m501_keccakc512_compact8 compact8] || 1436974 || 2184 || 632 || [wiki:r2011compilernames arm-artila-gcc -O3] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_jh256 <-] jh256 [wiki:r2011platformsciphers_artila_m501_jh256 ->] || [wiki:r2011platformsimplementations_artila_m501_jh256_opt8 opt8] || 7692255 || 2584 || 556 || [wiki:r2011compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_jh512 <-] jh512 [wiki:r2011platformsciphers_artila_m501_jh512 ->] || [wiki:r2011platformsimplementations_artila_m501_jh512_opt8 opt8] || 7689004 || 2584 || 588 || [wiki:r2011compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_skein256 <-] skein256 [wiki:r2011platformsciphers_artila_m501_skein256 ->] || [wiki:r2011platformsimplementations_artila_m501_skein256_armcryptolib armcryptolib] || 1256333 || 2880 || 380 || [wiki:r2011compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_skein512 <-] skein512 [wiki:r2011platformsciphers_artila_m501_skein512 ->] || [wiki:r2011platformsimplementations_artila_m501_skein512_armcryptolib armcryptolib] || 1240099 || 3148 || 560 || [wiki:r2011compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_blake512 <-] blake512 [wiki:r2011platformsciphers_artila_m501_blake512 ->] || [wiki:r2011platformsimplementations_artila_m501_blake512_armcryptolib armcryptolib] || 650588 || 5052 || 488 || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_sha512 <-] sha512 [wiki:r2011platformsciphers_artila_m501_sha512 ->] || [wiki:r2011platformsimplementations_artila_m501_sha512_sphlib-small sphlib-small] || 214504 || 9900 || 1080 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
