|| '''Cipher''' || '''Implementation'''|| '''Checksumming Cycles''' || ''' Benchmark Cycles (1536 byte)'''|| '''Result''' || '''Compiler''' || 
|| cubehash162 || spec || 4324996225 || 446707583 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash162 || spec || 1894022702 || 198906857 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash162 || spec || 1629173292 || 171953000 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash162 || spec || 1636355582 || 173014930 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash162 || spec || 1764108870 || 186288948 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash1632 || simple || 1212019983 || 28362514 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash1632 || simple || 704346507 || 17041847 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash1632 || simple || 671920057 || 16284625 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash1632 || simple || 608078613 || 15792683 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash1632 || simple || 696940506 || 17351612 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash1632 || spec || 1774529557 || 62420654 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash1632 || spec || 803875369 || 34066674 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash1632 || spec || 703065970 || 31615852 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash1632 || spec || 709239163 || 32532999 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash1632 || spec || 768678404 || 35125667 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash164 || simple || 2080498832 || 158634244 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash164 || simple || 1225114624 || 95156970 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash164 || simple || 1170652700 || 91094420 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash164 || simple || 1086057247 || 87489384 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash164 || simple || 1209977410 || 94306805 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash164 || spec || 2958655647 || 241642513 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash164 || spec || 1307948237 || 110908104 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash164 || spec || 1130175771 || 97009128 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash164 || spec || 1136950456 || 98010060 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash164 || spec || 1226618666 || 105542757 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash168 || simple || 1584216080 || 84191829 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash168 || simple || 927529511 || 50519209 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash168 || simple || 885693143 || 48350491 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash168 || simple || 812923246 || 46519291 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash168 || simple || 916797685 || 50329883 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash168 || spec || 2276798537 || 139135607 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash168 || spec || 1015878794 || 66922609 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash168 || spec || 881778474 || 59560691 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash168 || spec || 888340395 || 60529868 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash168 || spec || 959302081 || 65199618 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash81 || simple || 2559915459 || 303376507 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash81 || simple || 1513326484 || 182028090 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash81 || simple || 1446194354 || 174225391 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash81 || simple || 1363348842 || 166334256 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash81 || simple || 1493452871 || 179836223 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash81 || spec || 3733868926 || 455063113 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash81 || spec || 1625878166 || 200766397 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash81 || spec || 1403380358 || 173850410 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash81 || spec || 1411433691 || 175042913 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash81 || spec || 1519817780 || 188221226 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash816 || simple || 699357308 || 24293316 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash816 || simple || 397217323 || 14612255 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash816 || simple || 377776641 || 13963271 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash816 || simple || 345454463 || 13650634 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash816 || simple || 394211647 || 14950675 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash816 || spec || 1090716514 || 57733999 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash816 || spec || 504324676 || 31876502 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash816 || spec || 447452666 || 29752900 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash816 || spec || 453905906 || 30706165 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash816 || spec || 491732870 || 33086820 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash82 || simple || 1567442776 || 154505572 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash82 || simple || 917893076 || 92713055 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash82 || simple || 876196385 || 88725671 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash82 || simple || 820296660 || 84876399 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash82 || simple || 907004830 || 91868986 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash82 || spec || 2321126043 || 243094650 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash82 || spec || 1025300179 || 110636118 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash82 || spec || 891023212 || 96949735 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash82 || spec || 898205507 || 98011643 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash82 || spec || 968188860 || 105415606 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash832 || simple || 637324753 || 14988494 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash832 || simple || 359989522 || 9028143 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash832 || simple || 342079292 || 8608736 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash832 || simple || 311500489 || 8557595 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash832 || simple || 357564567 || 9453825 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash832 || spec || 1009368335 || 44614235 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash832 || spec || 472160865 || 26347180 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash832 || spec || 421209458 || 25056617 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash832 || spec || 427382660 || 25973806 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash832 || spec || 464762937 || 28053120 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash84 || simple || 1071632466 || 80134551 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash84 || simple || 620602565 || 48120010 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash84 || simple || 591623584 || 46040282 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash84 || simple || 549196739 || 44211943 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash84 || simple || 614209448 || 47950219 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash84 || spec || 1615429942 || 137126329 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash84 || spec || 725629999 || 65598059 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash84 || spec || 635382312 || 58509369 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash84 || spec || 642157006 || 59510240 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash84 || spec || 693101176 || 64029852 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash88 || simple || 823447502 || 42906808 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash88 || simple || 471676987 || 25781249 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash88 || simple || 449056860 || 24655350 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash88 || simple || 413366458 || 23837478 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash88 || simple || 467538986 || 25949754 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| cubehash88 || spec || 1263895362 || 84167801 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| cubehash88 || spec || 576762081 || 43092834 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
|| cubehash88 || spec || 508662647 || 39312606 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O2 }}} ||  
|| cubehash88 || spec || 515224585 || 40281792 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O3 }}} ||  
|| cubehash88 || spec || 556985102 || 43366829 || Checksum ok || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-Os }}} ||  
|| echo256 || generic_opt32 || 104500284 || 3303950 || Checksum fails || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O0 }}} ||  
|| echo256 || generic_opt32 || 32504909 || 1480681 || Checksum fails || {{{ avr-gcc_-funsigned-char_-funsigned-bitfields_-fpack-struct_-fshort-enums__-mmcu=atmega1284p_-DF_CPU=16000000L_-ffunction-sections_-fdata-sections_-Wl,-gc-sections_-O1 }}} ||  
