| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2011ciphers_0hash <-] 0hash [wiki:r2011platformsciphers_nslu2-openwrt_0hash ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_0hash_empty empty] || 6052 || 6101 || 765 || 96 || 12 || 6 || 3 || 0 || 1.9 || 0 || 0 || [wiki:r2011compilernames armeb-uclibc-gcc -O2] || 4.1.2 || [wiki:r2011runs_24 Run 24]
|[wiki:r2011ciphers_shabal256 <-] shabal256 [wiki:r2011platformsciphers_nslu2-openwrt_shabal256 ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_shabal256_tiny_armeb-mixed tiny_armeb-mixed] || 87614 || 22477 || 2808 || 394 || 87 || 64 || 53 || 42 || 0.6 || 560 || 556 || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:r2011runs_24 Run 24]
|[wiki:r2011ciphers_shabal512 <-] shabal512 [wiki:r2011platformsciphers_nslu2-openwrt_shabal512 ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_shabal512_tiny_armeb-mixed tiny_armeb-mixed] || 87630 || 22510 || 2822 || 395 || 87 || 64 || 53 || 42 || 0.5 || 560 || 588 || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:r2011runs_24 Run 24]
|[wiki:r2011ciphers_bmw256 <-] bmw256 [wiki:r2011platformsciphers_nslu2-openwrt_bmw256 ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_bmw256_sphlib sphlib] || 88395 || 23408 || 2957 || 411 || 88 || 65 || 54 || 42 || 2.2 || 7124 || 740 || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:r2011runs_17 Run 17]
|[wiki:r2011ciphers_blake32 <-] blake32 [wiki:r2011platformsciphers_nslu2-openwrt_blake32 ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_blake32_sphlib sphlib] || 99933 || 28229 || 3552 || 489 || 103 || 75 || 61 || 46 || 1.2 || 10896 || 1324 || [wiki:r2011compilernames armeb-uclibc-gcc -O3] || 4.1.2 || [wiki:r2011runs_19 Run 19]
|[wiki:r2011ciphers_sha256 <-] sha256 [wiki:r2011platformsciphers_nslu2-openwrt_sha256 ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_sha256_sphlib-small sphlib-small] || 103574 || 21629 || 2708 || 394 || 96 || 75 || 64 || 53 || 1.6 || 6108 || 492 || [wiki:r2011compilernames armeb-uclibc-gcc -Os] || 4.1.2 || [wiki:r2011runs_24 Run 24]
|[wiki:r2011ciphers_luffa256 <-] luffa256 [wiki:r2011platformsciphers_nslu2-openwrt_luffa256 ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_luffa256_sphlib sphlib] || 138121 || 19418 || 2409 || 438 || 121 || 98 || 86 || 75 || 2.3 || 6052 || 524 || [wiki:r2011compilernames armeb-uclibc-gcc -O2] || 4.1.2 || [wiki:r2011runs_18 Run 18]
|[wiki:r2011ciphers_blake256 <-] blake256 [wiki:r2011platformsciphers_nslu2-openwrt_blake256 ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_blake256_sphlib sphlib] || 142094 || 34148 || 4223 || 599 || 136 || 103 || 87 || 70 || 1.1 || 13160 || 2028 || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:r2011runs_35 Run 35]
|[wiki:r2011ciphers_bmw512 <-] bmw512 [wiki:r2011platformsciphers_nslu2-openwrt_bmw512 ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_bmw512_sphlib sphlib] || 184272 || 66483 || 8319 || 1043 || 207 || 142 || 109 || 76 || 0.9 || 26048 || 3260 || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:r2011runs_19 Run 19]
|[wiki:r2011ciphers_cubehash1632 <-] cubehash1632 [wiki:r2011platformsciphers_nslu2-openwrt_cubehash1632 ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash1632_unrolled5 unrolled5] || 200315 || 44671 || 5615 || 798 || 189 || 145 || 123 || 101 || 0.2 || 2600 || 356 || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:r2011runs_24 Run 24]
