| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2011ciphers_0hash <-] 0hash [wiki:r2011platformsciphers_artila_m501_0hash ->] || [wiki:r2011platformsimplementations_artila_m501_0hash_empty empty] || 911 || 1226 || 152 || 19 || 2 || 1 || 1 || 0 || 14.0 || 0 || 0 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_edonr256 <-] edonr256 [wiki:r2011platformsciphers_artila_m501_edonr256 ->] || [wiki:r2011platformsimplementations_artila_m501_edonr256_swpbe swpbe] || 52493 || 12060 || 1550 || 220 || 51 || 38 || 32 || 26 || 2.6 || 20724 || 1004 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_bmw256 <-] bmw256 [wiki:r2011platformsciphers_artila_m501_bmw256 ->] || [wiki:r2011platformsimplementations_artila_m501_bmw256_optc04 optc04] || 58838 || 20610 || 2524 || 342 || 65 || 45 || 35 || 25 || 3.6 || 11124 || 752 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_shabal256 <-] shabal256 [wiki:r2011platformsciphers_artila_m501_shabal256 ->] || [wiki:r2011platformsimplementations_artila_m501_shabal256_tiny_armel-mixed tiny_armel-mixed] || 66330 || 14310 || 1799 || 257 || 62 || 48 || 41 || 34 || 0.9 || 524 || 572 || [wiki:r2011compilernames arm-artila-gcc -O3] || 3.3.2 || [wiki:r2011runs_27 Run 27]
|[wiki:r2011ciphers_shabal512 <-] shabal512 [wiki:r2011platformsciphers_artila_m501_shabal512 ->] || [wiki:r2011platformsimplementations_artila_m501_shabal512_tiny_armel-mixed tiny_armel-mixed] || 66533 || 14310 || 1797 || 259 || 62 || 48 || 41 || 34 || 1.3 || 524 || 612 || [wiki:r2011compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:r2011runs_27 Run 27]
|[wiki:r2011ciphers_edonr512 <-] edonr512 [wiki:r2011platformsciphers_artila_m501_edonr512 ->] || [wiki:r2011platformsimplementations_artila_m501_edonr512_swpbe swpbe] || 82215 || 28811 || 3558 || 453 || 91 || 63 || 49 || 35 || 2.1 || 20724 || 2000 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_sha256 <-] sha256 [wiki:r2011platformsciphers_artila_m501_sha256 ->] || [wiki:r2011platformsimplementations_artila_m501_sha256_sphlib-small sphlib-small] || 85118 || 12589 || 1599 || 245 || 72 || 59 || 53 || 47 || 3.6 || 10100 || 412 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_27 Run 27]
|[wiki:r2011ciphers_blake32 <-] blake32 [wiki:r2011platformsciphers_artila_m501_blake32 ->] || [wiki:r2011platformsimplementations_artila_m501_blake32_sphlib sphlib] || 92284 || 19586 || 2481 || 358 || 87 || 67 || 57 || 47 || 3.0 || 22072 || 652 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_27 Run 27]
|[wiki:r2011ciphers_nasha256 <-] nasha256 [wiki:r2011platformsciphers_artila_m501_nasha256 ->] || [wiki:r2011platformsimplementations_artila_m501_nasha256_opt_v4 opt_v4] || 112163 || 26044 || 3227 || 462 || 108 || 82 || 69 || 56 || 1.6 || 45780 || 131956 || [wiki:r2011compilernames arm-artila-gcc -O3] || 3.3.2 || [wiki:r2011runs_16 Run 16]
|[wiki:r2011ciphers_blake256 <-] blake256 [wiki:r2011platformsciphers_artila_m501_blake256 ->] || [wiki:r2011platformsimplementations_artila_m501_blake256_sphlib sphlib] || 121230 || 25380 || 3187 || 466 || 113 || 88 || 75 || 62 || 3.1 || 25488 || 716 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_nasha512 <-] nasha512 [wiki:r2011platformsciphers_artila_m501_nasha512 ->] || [wiki:r2011platformsimplementations_artila_m501_nasha512_opt opt] || 136879 || 22556 || 2803 || 356 || 119 || 97 || 86 || 75 || 2.0 || 11664 || 1408 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_27 Run 27]
|[wiki:r2011ciphers_luffa256 <-] luffa256 [wiki:r2011platformsciphers_artila_m501_luffa256 ->] || [wiki:r2011platformsimplementations_artila_m501_luffa256_sphlib sphlib] || 151031 || 15064 || 1851 || 378 || 123 || 104 || 95 || 86 || 0.9 || 28268 || 364 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_bmw512 <-] bmw512 [wiki:r2011platformsciphers_artila_m501_bmw512 ->] || [wiki:r2011platformsimplementations_artila_m501_bmw512_sphlib-small sphlib-small] || 160639 || 35370 || 4482 || 555 || 151 || 117 || 99 || 81 || 2.6 || 15612 || 1388 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_27 Run 27]
|[wiki:r2011ciphers_cubehash1632 <-] cubehash1632 [wiki:r2011platformsciphers_artila_m501_cubehash1632 ->] || [wiki:r2011platformsimplementations_artila_m501_cubehash1632_arm arm] || 178380 || 35888 || 4506 || 653 || 163 || 128 || 110 || 93 || 0.5 || 2100 || 280 || [wiki:r2011compilernames arm-artila-gcc -O2] || 3.3.2 || [wiki:r2011runs_27 Run 27]
|[wiki:r2011ciphers_keccakc512 <-] keccakc512 [wiki:r2011platformsciphers_artila_m501_keccakc512 ->] || [wiki:r2011platformsimplementations_artila_m501_keccakc512_opt32bi-rvku2 opt32bi-rvku2] || 191835 || 27956 || 3552 || 445 || 145 || 130 || 122 || 115 || 1.1 || 17540 || 968 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_skein256 <-] skein256 [wiki:r2011platformsciphers_artila_m501_skein256 ->] || [wiki:r2011platformsimplementations_artila_m501_skein256_opt opt] || 195131 || 27011 || 3393 || 485 || 159 || 135 || 123 || 112 || 1.4 || 54564 || 568 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_fugue256 <-] fugue256 [wiki:r2011platformsciphers_artila_m501_fugue256 ->] || [wiki:r2011platformsimplementations_artila_m501_fugue256_sphlib sphlib] || 208024 || 37159 || 5345 || 805 || 194 || 150 || 128 || 107 || 1.6 || 47550 || 1352 || [wiki:r2011compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:r2011runs_16 Run 16]
|[wiki:r2011ciphers_mcssha4 <-] mcssha4 [wiki:r2011platformsciphers_artila_m501_mcssha4 ->] || [wiki:r2011platformsimplementations_artila_m501_mcssha4_ref ref] || 208969 || 16931 || 2287 || 395 || 159 || 142 || 133 || 125 || 2.0 || 4744 || 864 || [wiki:r2011compilernames arm-artila-gcc -O3] || 3.3.2 || [wiki:r2011runs_16 Run 16]
|[wiki:r2011ciphers_mcssha6 <-] mcssha6 [wiki:r2011platformsciphers_artila_m501_mcssha6 ->] || [wiki:r2011platformsimplementations_artila_m501_mcssha6_ref ref] || 210262 || 18236 || 2458 || 417 || 161 || 143 || 134 || 125 || 1.0 || 5768 || 756 || [wiki:r2011compilernames arm-artila-gcc -O3] || 3.3.2 || [wiki:r2011runs_16 Run 16]
|[wiki:r2011ciphers_sha512 <-] sha512 [wiki:r2011platformsciphers_artila_m501_sha512 ->] || [wiki:r2011platformsimplementations_artila_m501_sha512_sphlib sphlib] || 214189 || 25763 || 3241 || 406 || 173 || 148 || 135 || 123 || 1.9 || 9900 || 1080 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_27 Run 27]
|[wiki:r2011ciphers_mcssha5 <-] mcssha5 [wiki:r2011platformsciphers_artila_m501_mcssha5 ->] || [wiki:r2011platformsimplementations_artila_m501_mcssha5_ref ref] || 216551 || 24638 || 3298 || 520 || 174 || 149 || 137 || 125 || 1.1 || 5576 || 872 || [wiki:r2011compilernames arm-artila-gcc -O3] || 3.3.2 || [wiki:r2011runs_13 Run 13]
|[wiki:r2011ciphers_blake64 <-] blake64 [wiki:r2011platformsciphers_artila_m501_blake64 ->] || [wiki:r2011platformsimplementations_artila_m501_blake64_sphlib sphlib] || 216968 || 33683 || 4216 || 529 || 185 || 153 || 136 || 119 || 6.1 || 22072 || 1076 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_16 Run 16]
|[wiki:r2011ciphers_blake512 <-] blake512 [wiki:r2011platformsciphers_artila_m501_blake512 ->] || [wiki:r2011platformsimplementations_artila_m501_blake512_sphlib-small sphlib-small] || 242381 || 35865 || 4501 || 562 || 205 || 169 || 152 || 134 || 10.3 || 15188 || 1076 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_luffa384 <-] luffa384 [wiki:r2011platformsciphers_artila_m501_luffa384 ->] || [wiki:r2011platformsimplementations_artila_m501_luffa384_arm arm] || 265264 || 23366 || 2938 || 525 || 203 || 181 || 169 || 157 || 1.1 || 11980 || 1100 || [wiki:r2011compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_echosp256 <-] echosp256 [wiki:r2011platformsciphers_artila_m501_echosp256 ->] || [wiki:r2011platformsimplementations_artila_m501_echosp256_generic_opt32 generic_opt32] || 282668 || 67905 || 8744 || 1103 || 281 || 208 || 189 || 169 || 0.4 || 23350 || 4856 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_luffa512 <-] luffa512 [wiki:r2011platformsciphers_artila_m501_luffa512 ->] || [wiki:r2011platformsimplementations_artila_m501_luffa512_sphlib sphlib] || 287471 || 29734 || 3721 || 758 || 237 || 200 || 188 || 176 || 3.9 || 28268 || 544 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_cubehash832 <-] cubehash832 [wiki:r2011platformsciphers_artila_m501_cubehash832 ->] || [wiki:r2011platformsimplementations_artila_m501_cubehash832_unrolled unrolled] || 324934 || 86164 || 10831 || 1505 || 324 || 240 || 198 || 156 || 0.2 || 2580 || 380 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_keccakc1024 <-] keccakc1024 [wiki:r2011platformsciphers_artila_m501_keccakc1024 ->] || [wiki:r2011platformsimplementations_artila_m501_keccakc1024_opt32bi-rvku2 opt32bi-rvku2] || 325980 || 26584 || 3369 || 423 || 250 || 222 || 214 || 207 || 3.4 || 17540 || 1000 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_echo256 <-] echo256 [wiki:r2011platformsciphers_artila_m501_echo256 ->] || [wiki:r2011platformsimplementations_artila_m501_echo256_sphlib sphlib] || 331448 || 64069 || 8023 || 1013 || 258 || 226 || 195 || 164 || 10.5 || 33820 || 1028 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_sha1 <-] sha1 [wiki:r2011platformsciphers_artila_m501_sha1 ->] || [wiki:r2011platformsimplementations_artila_m501_sha1_avrcryptolib avrcryptolib] || 345488 || 17775 || 2247 || 491 || 248 || 231 || 222 || 213 || 0.6 || 1366 || 308 || [wiki:r2011compilernames arm-artila-gcc -O3] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_fugue512 <-] fugue512 [wiki:r2011platformsciphers_artila_m501_fugue512 ->] || [wiki:r2011platformsimplementations_artila_m501_fugue512_sphlib sphlib] || 374400 || 63731 || 8920 || 1290 || 334 || 267 || 233 || 198 || 1.0 || 47550 || 1364 || [wiki:r2011compilernames arm-artila-gcc -Os] || 3.3.2 || [wiki:r2011runs_14 Run 14]
|[wiki:r2011ciphers_simd256 <-] simd256 [wiki:r2011platformsciphers_artila_m501_simd256 ->] || [wiki:r2011platformsimplementations_artila_m501_simd256_sphlib-small sphlib-small] || 398003 || 31534 || 5908 || 743 || 301 || 270 || 254 || 238 || 6.4 || 32548 || 1440 || [wiki:r2011compilernames arm-artila-gcc -O2] || 3.3.2 || [wiki:r2011runs_27 Run 27]
|[wiki:r2011ciphers_hamsi <-] hamsi [wiki:r2011platformsciphers_artila_m501_hamsi ->] || [wiki:r2011platformsimplementations_artila_m501_hamsi_sphlib sphlib] || 412898 || 18709 || 2730 || 574 || 304 || 291 || 264 || 237 || 4.8 || 221992 || 212 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_27 Run 27]
|[wiki:r2011ciphers_echosp512 <-] echosp512 [wiki:r2011platformsciphers_artila_m501_echosp512 ->] || [wiki:r2011platformsimplementations_artila_m501_echosp512_generic_opt32 generic_opt32] || 420548 || 76365 || 9792 || 1230 || 327 || 287 || 247 || 207 || 0.5 || 23350 || 4888 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_cubehash816 <-] cubehash816 [wiki:r2011platformsciphers_artila_m501_cubehash816 ->] || [wiki:r2011platformsimplementations_artila_m501_cubehash816_unrolled unrolled] || 507364 || 86231 || 10817 || 1621 || 443 || 359 || 316 || 274 || 3.8 || 2580 || 380 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_echo512 <-] echo512 [wiki:r2011platformsciphers_artila_m501_echo512 ->] || [wiki:r2011platformsimplementations_artila_m501_echo512_sphlib sphlib] || 567754 || 72045 || 9062 || 1143 || 466 || 394 || 358 || 322 || 8.1 || 33820 || 1116 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_simd512 <-] simd512 [wiki:r2011platformsciphers_artila_m501_simd512 ->] || [wiki:r2011platformsimplementations_artila_m501_simd512_opt opt] || 574751 || 64170 || 13303 || 1665 || 457 || 395 || 364 || 333 || 2.7 || 21174 || 1804 || [wiki:r2011compilernames arm-artila-gcc -O2] || 3.3.2 || [wiki:r2011runs_16 Run 16]
|[wiki:r2011ciphers_jh512 <-] jh512 [wiki:r2011platformsciphers_artila_m501_jh512 ->] || [wiki:r2011platformsimplementations_artila_m501_jh512_opt32 opt32] || 636503 || 35156 || 7656 || 949 || 461 || 426 || 409 || 391 || 2.9 || 7112 || 392 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_jh256 <-] jh256 [wiki:r2011platformsciphers_artila_m501_jh256 ->] || [wiki:r2011platformsimplementations_artila_m501_jh256_opt32 opt32] || 636818 || 35089 || 7651 || 947 || 461 || 426 || 409 || 391 || 2.4 || 7112 || 360 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_whirlpool <-] whirlpool [wiki:r2011platformsciphers_artila_m501_whirlpool ->] || [wiki:r2011platformsimplementations_artila_m501_whirlpool_ref ref] || 646661 || 55283 || 7085 || 1282 || 493 || 438 || 425 || 413 || 3.0 || 23212 || 636 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_sarmal256 <-] sarmal256 [wiki:r2011platformsciphers_artila_m501_sarmal256 ->] || [wiki:r2011platformsimplementations_artila_m501_sarmal256_opt64 opt64] || 663851 || 74869 || 9418 || 1177 || 534 || 457 || 433 || 408 || 7.4 || 79656 || 17600 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_groestl256 <-] groestl256 [wiki:r2011platformsciphers_artila_m501_groestl256 ->] || [wiki:r2011platformsimplementations_artila_m501_groestl256_sphlib-adapted sphlib-adapted] || 780289 || 90169 || 11382 || 1883 || 628 || 541 || 508 || 475 || 3.4 || 67012 || 836 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_sarmal512 <-] sarmal512 [wiki:r2011platformsciphers_artila_m501_sarmal512 ->] || [wiki:r2011platformsimplementations_artila_m501_sarmal512_opt64 opt64] || 819259 || 90067 || 11277 || 1414 || 649 || 590 || 532 || 475 || 4.6 || 79656 || 17632 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_16 Run 16]
|[wiki:r2011ciphers_cubehash88 <-] cubehash88 [wiki:r2011platformsciphers_artila_m501_cubehash88 ->] || [wiki:r2011platformsimplementations_artila_m501_cubehash88_unrolled unrolled] || 872460 || 86153 || 11301 || 1861 || 680 || 596 || 562 || 527 || 2.0 || 2576 || 380 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_cubehash1616 <-] cubehash1616 [wiki:r2011platformsciphers_artila_m501_cubehash1616 ->] || [wiki:r2011platformsimplementations_artila_m501_cubehash1616_unrolled unrolled] || 928811 || 160425 || 20102 || 2998 || 804 || 648 || 569 || 491 || 3.2 || 2768 || 408 || [wiki:r2011compilernames arm-artila-gcc -O2] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_skein512 <-] skein512 [wiki:r2011platformsciphers_artila_m501_skein512 ->] || [wiki:r2011platformsimplementations_artila_m501_skein512_opt opt] || 980550 || 99518 || 10998 || 1371 || 703 || 654 || 637 || 619 || 12.9 || 54564 || 804 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_lane256 <-] lane256 [wiki:r2011platformsciphers_artila_m501_lane256 ->] || [wiki:r2011platformsimplementations_artila_m501_lane256_c c] || 1380983 || 123142 || 21824 || 2717 || 1077 || 944 || 877 || 810 || 10.7 || 133840 || 616 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_14 Run 14]
|[wiki:r2011ciphers_cubehash84 <-] cubehash84 [wiki:r2011platformsciphers_artila_m501_cubehash84 ->] || [wiki:r2011platformsimplementations_artila_m501_cubehash84_unrolled unrolled] || 1613734 || 86276 || 11783 || 2336 || 1156 || 1086 || 1035 || 984 || 1.8 || 2580 || 380 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_cubehash168 <-] cubehash168 [wiki:r2011platformsciphers_artila_m501_cubehash168 ->] || [wiki:r2011platformsimplementations_artila_m501_cubehash168_unrolled unrolled] || 1623623 || 160436 || 21009 || 3452 || 1259 || 1116 || 1031 || 946 || 6.9 || 2772 || 408 || [wiki:r2011compilernames arm-artila-gcc -O2] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_groestl512 <-] groestl512 [wiki:r2011platformsciphers_artila_m501_groestl512 ->] || [wiki:r2011platformsimplementations_artila_m501_groestl512_sphlib-adapted sphlib-adapted] || 1652749 || 199845 || 25173 || 3160 || 1331 || 1149 || 1050 || 951 || 3.7 || 67012 || 1556 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_lane512 <-] lane512 [wiki:r2011platformsciphers_artila_m501_lane512 ->] || [wiki:r2011platformsimplementations_artila_m501_lane512_c c] || 2113470 || 321694 || 60271 || 7348 || 1785 || 1486 || 1323 || 1159 || 3.8 || 133840 || 896 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_27 Run 27]
|[wiki:r2011ciphers_cubehash164 <-] cubehash164 [wiki:r2011platformsciphers_artila_m501_cubehash164 ->] || [wiki:r2011platformsimplementations_artila_m501_cubehash164_unrolled unrolled] || 3026880 || 160414 || 21933 || 4364 || 2191 || 2025 || 1942 || 1860 || 3.5 || 2772 || 408 || [wiki:r2011compilernames arm-artila-gcc -O2] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_cubehash82 <-] cubehash82 [wiki:r2011platformsciphers_artila_m501_cubehash82 ->] || [wiki:r2011platformsimplementations_artila_m501_cubehash82_unrolled unrolled] || 3068404 || 86231 || 12738 || 3286 || 2106 || 2036 || 1989 || 1942 || 1.3 || 2580 || 380 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
|[wiki:r2011ciphers_essence384 <-] essence384 [wiki:r2011platformsciphers_artila_m501_essence384 ->] || [wiki:r2011platformsimplementations_artila_m501_essence384_gcc gcc] || 3151508 || 152100 || 49390 || 6196 || 2462 || 2158 || 2019 || 1880 || 5.7 || 50680 || 7140 || [wiki:r2011compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2011runs_34 Run 34]
