| '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:platformsimplementations_fritzbox-7170_cubehash1632_unrolled5 unrolled5] || 235651 || 3627 || 200 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_25 Run 25]
|[wiki:platformsimplementations_fritzbox-7170_cubehash1632_unrolled3 unrolled3] || 268193 || 3963 || 224 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_25 Run 25]
|[wiki:platformsimplementations_fritzbox-7170_cubehash1632_unrolled4 unrolled4] || 268723 || 3979 || 248 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_25 Run 25]
|[wiki:platformsimplementations_fritzbox-7170_cubehash1632_sphlib-small sphlib-small] || 357512 || 11939 || 752 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_9 Run 9]
|[wiki:platformsimplementations_fritzbox-7170_cubehash1632_unrolled2 unrolled2] || 384846 || 4106 || 464 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_25 Run 25]
|[wiki:platformsimplementations_fritzbox-7170_cubehash1632_unrolled unrolled] || 459351 || 3497 || 472 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_12 Run 12]
|[wiki:platformsimplementations_fritzbox-7170_cubehash1632_sphlib sphlib] || 484672 || 34385 || 1452 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_12 Run 12]
|[wiki:platformsimplementations_fritzbox-7170_cubehash1632_hardware2 hardware2] || 490740 || 4107 || 640 || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:runs_25 Run 25]
|[wiki:platformsimplementations_fritzbox-7170_cubehash1632_armcryptolib armcryptolib] || 606347 || 12164 || 1088 || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:runs_10 Run 10]
|[wiki:platformsimplementations_fritzbox-7170_cubehash1632_simple simple] || 709630 || 10380 || 1120 || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:runs_11 Run 11]
|[wiki:platformsimplementations_fritzbox-7170_cubehash1632_spec spec] || 2296000 || 3205 || 704 || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || [wiki:runs_11 Run 11]
|[wiki:platformsimplementations_fritzbox-7170_cubehash1632_hardware4 hardware4] || 2413527 || 6715 || 1040 || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:runs_25 Run 25]
|[wiki:platformsimplementations_fritzbox-7170_cubehash1632_bitsliced bitsliced] || 3522446 || 1947 || 320 || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:runs_25 Run 25]
|[wiki:platformsimplementations_fritzbox-7170_cubehash1632_hardware8 hardware8] || 11703142 || 7867 || 1064 || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:runs_25 Run 25]
|[wiki:platformsimplementations_fritzbox-7170_cubehash1632_hardware16 hardware16] || 69693145 || 7660 || 912 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_25 Run 25]
