| '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:platformsimplementations_nslu2-openwrt_cubehash1632_unrolled5 unrolled5] || 200315 || 2600 || 356 || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:runs_24 Run 24]
|[wiki:platformsimplementations_nslu2-openwrt_cubehash1632_unrolled3 unrolled3] || 235061 || 3176 || 471 || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || [wiki:runs_24 Run 24]
|[wiki:platformsimplementations_nslu2-openwrt_cubehash1632_unrolled4 unrolled4] || 247496 || 3172 || 476 || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || [wiki:runs_24 Run 24]
|[wiki:platformsimplementations_nslu2-openwrt_cubehash1632_sphlib-small sphlib-small] || 299034 || 10028 || 540 || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || [wiki:runs_20 Run 20]
|[wiki:platformsimplementations_nslu2-openwrt_cubehash1632_sphlib sphlib] || 307031 || 29952 || 3548 || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || [wiki:runs_20 Run 20]
|[wiki:platformsimplementations_nslu2-openwrt_cubehash1632_unrolled2 unrolled2] || 352899 || 2944 || 584 || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || [wiki:runs_24 Run 24]
|[wiki:platformsimplementations_nslu2-openwrt_cubehash1632_hardware2 hardware2] || 357687 || 3508 || 744 || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || [wiki:runs_24 Run 24]
|[wiki:platformsimplementations_nslu2-openwrt_cubehash1632_unrolled unrolled] || 385384 || 2356 || 460 || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || [wiki:runs_20 Run 20]
|[wiki:platformsimplementations_nslu2-openwrt_cubehash1632_simple simple] || 611434 || 7984 || 928 || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || [wiki:runs_24 Run 24]
|[wiki:platformsimplementations_nslu2-openwrt_cubehash1632_spec spec] || 2888477 || 2636 || 632 || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || [wiki:runs_20 Run 20]
|[wiki:platformsimplementations_nslu2-openwrt_cubehash1632_hardware4 hardware4] || 3287095 || 8704 || 1896 || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || [wiki:runs_24 Run 24]
|[wiki:platformsimplementations_nslu2-openwrt_cubehash1632_bitsliced bitsliced] || 4893270 || 1228 || 216 || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || [wiki:runs_24 Run 24]
|[wiki:platformsimplementations_nslu2-openwrt_cubehash1632_hardware8 hardware8] || 12524311 || 8588 || 1692 || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || [wiki:runs_24 Run 24]
|[wiki:platformsimplementations_nslu2-openwrt_cubehash1632_hardware16 hardware16] || 64769421 || 5984 || 976 || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:runs_24 Run 24]
