| '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:platformsimplementations_lm3s811-evb_cubehash1632_unrolled5 unrolled5] || 172138 || 2048 || 372 || [wiki:compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
|[wiki:platformsimplementations_lm3s811-evb_cubehash1632_unrolled4 unrolled4] || 193043 || 2132 || 444 || [wiki:compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
|[wiki:platformsimplementations_lm3s811-evb_cubehash1632_unrolled3 unrolled3] || 212224 || 2128 || 396 || [wiki:compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
|[wiki:platformsimplementations_lm3s811-evb_cubehash1632_sphlib sphlib] || 254988 || 19664 || 916 || [wiki:compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
|[wiki:platformsimplementations_lm3s811-evb_cubehash1632_sphlib-small sphlib-small] || 262491 || 4788 || 912 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:platformsimplementations_lm3s811-evb_cubehash1632_hardware2 hardware2] || 349252 || 1732 || 352 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
|[wiki:platformsimplementations_lm3s811-evb_cubehash1632_unrolled2 unrolled2] || 373569 || 1828 || 588 || [wiki:compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
|[wiki:platformsimplementations_lm3s811-evb_cubehash1632_armcryptolib armcryptolib] || 387678 || 5408 || 808 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:platformsimplementations_lm3s811-evb_cubehash1632_unrolled unrolled] || 398547 || 1480 || 460 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
|[wiki:platformsimplementations_lm3s811-evb_cubehash1632_simple simple] || 501164 || 3712 || 920 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_7 Run 7]
|[wiki:platformsimplementations_lm3s811-evb_cubehash1632_spec spec] || 2554014 || 1704 || 684 || [wiki:compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:runs_6 Run 6]
|[wiki:platformsimplementations_lm3s811-evb_cubehash1632_hardware4 hardware4] || 3101844 || 4128 || 920 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
|[wiki:platformsimplementations_lm3s811-evb_cubehash1632_bitsliced bitsliced] || 3378630 || 648 || 232 || [wiki:compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
|[wiki:platformsimplementations_lm3s811-evb_cubehash1632_hardware8 hardware8] || 8652774 || 4816 || 908 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
|[wiki:platformsimplementations_lm3s811-evb_cubehash1632_hardware16 hardware16] || 30893063 || 7136 || 920 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
