| '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:platformsimplementations_fritzbox-7170_keccakc1024_opt32bi-rvku2 opt32bi-rvku2] || 408233 || 20996 || 1296 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:platformsimplementations_fritzbox-7170_keccakc1024_opt32bi-s2lcu4 opt32bi-s2lcu4] || 414169 || 31487 || 1668 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:platformsimplementations_fritzbox-7170_keccakc1024_opt32biT-s2lcu4 opt32biT-s2lcu4] || 467778 || 31363 || 263856 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:platformsimplementations_fritzbox-7170_keccakc1024_simple simple] || 561270 || 10634 || 1248 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:platformsimplementations_fritzbox-7170_keccakc1024_sphlib-small sphlib-small] || 778398 || 18186 || 2120 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:platformsimplementations_fritzbox-7170_keccakc1024_compact compact] || 1044021 || 2911 || 488 || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:platformsimplementations_fritzbox-7170_keccakc1024_armcryptolib armcryptolib] || 1189002 || 5421 || 836 || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:platformsimplementations_fritzbox-7170_keccakc1024_sphlib sphlib] || 4996217 || 27464 || 3356 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_31 Run 31]
|[wiki:platformsimplementations_fritzbox-7170_keccakc1024_opt64lcu6 opt64lcu6] || 5273222 || 54509 || 3296 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:platformsimplementations_fritzbox-7170_keccakc1024_opt64u6 opt64u6] || 5581205 || 56955 || 3296 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:platformsimplementations_fritzbox-7170_keccakc1024_opt64lcu24 opt64lcu24] || 6226983 || 188746 || 7268 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
