| '''Hash''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' 
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 1755771 || 12906 || 0 (42150) || 0 (944) || 0 (2840) || 0(48) || Checksum OK
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 242250 || 12839 || 0 (33045) || 0 (940) || 0 (2840) || 0(56) || Checksum OK
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 207508 || 12720 || 0 (31445) || 0 (940) || 0 (2840) || 0(56) || Checksum OK
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 229066 || 13091 || 0 (31501) || 0 (940) || 0 (2836) || 0(56) || Checksum OK
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || 248557 || 12945 || 0 (31150) || 0 (940) || 0 (2840) || 0(56) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_armcryptolib armcryptolib] || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 8245064 || 688165 || 5006 (47156) || 60 (1004) || 0 (2840) || 280(328) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_armcryptolib armcryptolib] || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 2049735 || 205349 || 3270 (36315) || 60 (1000) || 0 (2840) || 280(336) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_armcryptolib armcryptolib] || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 1815740 || 185076 || 3110 (34555) || 60 (1000) || 0 (2840) || 288(344) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_armcryptolib armcryptolib] || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 1803259 || 191728 || 8196 (39697) || 60 (1000) || 0 (2836) || 664(720) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_armcryptolib armcryptolib] || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || 1869747 || 186017 || 3046 (34196) || 60 (1000) || 0 (2840) || 280(336) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_light light] || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 4375296 || 286478 || 8516 (50666) || 44 (988) || 0 (2840) || 384(432) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_light light] || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 1371521 || 137986 || 4764 (37809) || 44 (984) || 0 (2840) || 440(496) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_light light] || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 1485034 || 152402 || 5004 (36449) || 44 (984) || 0 (2840) || 480(536) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_light light] || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 1450610 || 150189 || 5601 (37102) || 44 (984) || 0 (2836) || 576(632) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_light light] || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || 1472989 || 144465 || 4684 (35834) || 44 (984) || 0 (2840) || 496(552) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_sphlib sphlib] || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 17681370 || 1514104 || 24668 (66818) || 68 (1012) || 0 (2840) || 568(616) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_sphlib sphlib] || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 1090449 || 129002 || 12940 (45985) || 64 (1004) || 0 (2840) || 608(664) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_sphlib sphlib] || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 1087030 || 126803 || 12588 (44033) || 64 (1004) || 0 (2840) || 600(656) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_sphlib sphlib] || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 1074032 || 127478 || 12593 (44094) || 64 (1004) || 0 (2836) || 600(656) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_sphlib sphlib] || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || 1171565 || 132209 || 12612 (43762) || 64 (1004) || 0 (2840) || 608(664) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 4334950 || 281112 || 9106 (51256) || 68 (1012) || 0 (2840) || 568(616) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 1204412 || 123914 || 5874 (38919) || 64 (1004) || 0 (2840) || 504(560) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 1374197 || 144491 || 5986 (37431) || 64 (1004) || 0 (2840) || 736(792) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 1397226 || 144783 || 5991 (37492) || 64 (1004) || 0 (2836) || 736(792) || Checksum OK
|[wiki:r2011ciphers_blake32 blake32] || [wiki:r2011platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || 1503902 || 150745 || 5770 (36920) || 64 (1004) || 0 (2840) || 608(664) || Checksum OK
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 9378218 || 635258 || 5870 (48020) || 60 (1004) || 32 (2872) || 456(504) || Checksum OK
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 2947423 || 239070 || 3782 (36827) || 60 (1000) || 32 (2872) || 488(544) || Checksum OK
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 3008943 || 244966 || 3638 (35083) || 60 (1000) || 32 (2872) || 496(552) || Checksum OK
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 3114148 || 254519 || 6868 (38369) || 60 (1000) || 32 (2868) || 968(1024) || Checksum OK
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || 2975884 || 238606 || 3558 (34708) || 60 (1000) || 32 (2872) || 480(536) || Checksum OK
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_fritzbox-7170_blake64_sphlib sphlib] || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 5834783 || 350516 || 12956 (55106) || 68 (1012) || 32 (2872) || 1216(1264) || Checksum OK
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_fritzbox-7170_blake64_sphlib sphlib] || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 2845769 || 249471 || 12220 (45265) || 64 (1004) || 32 (2872) || 1240(1296) || Checksum OK
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_fritzbox-7170_blake64_sphlib sphlib] || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 3241652 || 290188 || 13436 (44881) || 64 (1004) || 32 (2872) || 2232(2288) || Checksum OK
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_fritzbox-7170_blake64_sphlib sphlib] || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 3280846 || 288916 || 13489 (44990) || 64 (1004) || 32 (2868) || 2232(2288) || Checksum OK
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_fritzbox-7170_blake64_sphlib sphlib] || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || 3230999 || 276687 || 10164 (41314) || 64 (1004) || 32 (2872) || 1576(1632) || Checksum OK
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_fritzbox-7170_blake64_sphlib-small sphlib-small] || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 5842084 || 350595 || 12962 (55112) || 68 (1012) || 32 (2872) || 1216(1264) || Checksum OK
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_fritzbox-7170_blake64_sphlib-small sphlib-small] || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 2831008 || 249352 || 12226 (45271) || 64 (1004) || 32 (2872) || 1240(1296) || Checksum OK
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_fritzbox-7170_blake64_sphlib-small sphlib-small] || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 3255684 || 289857 || 13442 (44887) || 64 (1004) || 32 (2872) || 2232(2288) || Checksum OK
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_fritzbox-7170_blake64_sphlib-small sphlib-small] || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || 3282767 || 288704 || 13495 (44996) || 64 (1004) || 32 (2868) || 2232(2288) || Checksum OK
|[wiki:r2011ciphers_blake64 blake64] || [wiki:r2011platformsimplementations_fritzbox-7170_blake64_sphlib-small sphlib-small] || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || 3230615 || 277031 || 10170 (41320) || 64 (1004) || 32 (2872) || 1576(1632) || Checksum OK
|[wiki:r2011ciphers_bmw256 bmw256] || [wiki:r2011platformsimplementations_fritzbox-7170_bmw256_armcryptolib armcryptolib] || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || 25419754 || 531749 || 14270 (56420) || 116 (1060) || 0 (2840) || 552(600) || Checksum OK
|[wiki:r2011ciphers_bmw256 bmw256] || [wiki:r2011platformsimplementations_fritzbox-7170_bmw256_armcryptolib armcryptolib] || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || 1911339 || 146956 || 6486 (39531) || 52 (992) || 0 (2840) || 576(632) || Checksum OK
|[wiki:r2011ciphers_bmw256 bmw256] || [wiki:r2011platformsimplementations_fritzbox-7170_bmw256_armcryptolib armcryptolib] || [wiki:r2011compilernames mips-uclib-gcc -O2] || 4.2.1 || 1828579 || 144849 || 6854 (38299) || 52 (992) || 0 (2840) || 896(952) || Checksum OK
