| '''Hash''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' 
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_0hash_empty empty] || [wiki:r2011compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 47421348 || 137 || 0 (20304) || 0 (864) || 0 (2416) || 0(8) || Checksum OK
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_0hash_empty empty] || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 4811060 || 82 || 0 (9486) || 0 (608) || 0 (2416) || 0(0) || Checksum OK
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_0hash_empty empty] || [wiki:r2011compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 4100281 || 72 || 0 (8558) || 0 (608) || 0 (2416) || 0(0) || Checksum OK
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_0hash_empty empty] || [wiki:r2011compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 4100281 || 72 || 0 (9152) || 0 (608) || 0 (2416) || 0(0) || Checksum OK
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_0hash_empty empty] || [wiki:r2011compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 4272416 || 72 || 0 (7986) || 0 (608) || 0 (2416) || 0(0) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_armcryptolib armcryptolib] || [wiki:r2011compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 84037697 || 3761398 || 4736 (25040) || 288 (1152) || 0 (2416) || 241(249) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_armcryptolib armcryptolib] || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 28551024 || 2436311 || 3190 (12676) || 288 (896) || 0 (2416) || 258(258) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_armcryptolib armcryptolib] || [wiki:r2011compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 27766231 || 2430326 || 3390 (11948) || 288 (896) || 0 (2416) || 269(269) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_armcryptolib armcryptolib] || [wiki:r2011compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 27394762 || 2375643 || 23698 (32850) || 256 (864) || 0 (2416) || 267(267) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_armcryptolib armcryptolib] || [wiki:r2011compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 28221507 || 2457801 || 3228 (11214) || 288 (896) || 0 (2416) || 265(265) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_avrcryptolib avrcryptolib] || [wiki:r2011compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 84418689 || 3797614 || 4822 (25126) || 0 (864) || 0 (2416) || 283(291) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_avrcryptolib avrcryptolib] || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 29025503 || 2485234 || 3434 (12920) || 0 (608) || 0 (2416) || 267(267) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_avrcryptolib avrcryptolib] || [wiki:r2011compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 27742095 || 2427525 || 3602 (12160) || 0 (608) || 0 (2416) || 277(277) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_avrcryptolib avrcryptolib] || [wiki:r2011compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 29524504 || 2631927 || 11038 (20190) || 0 (608) || 0 (2416) || 283(283) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_avrcryptolib avrcryptolib] || [wiki:r2011compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 28067235 || 2441501 || 3438 (11424) || 0 (608) || 0 (2416) || 273(273) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_ref ref] || [wiki:r2011compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 74733110 || 2749742 || 12630 (32934) || 352 (1216) || 0 (2416) || 451(459) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_ref ref] || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 26584258 || 2183169 || 8870 (18356) || 352 (960) || 0 (2416) || 449(449) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_ref ref] || [wiki:r2011compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 26103617 || 2208704 || 9034 (17592) || 352 (960) || 0 (2416) || 473(473) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_ref ref] || [wiki:r2011compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 25804394 || 2192828 || 17652 (26804) || 352 (960) || 0 (2416) || 552(552) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_ref ref] || [wiki:r2011compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 25861825 || 2139241 || 7950 (15936) || 352 (960) || 0 (2416) || 411(411) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_sphlib sphlib] || [wiki:r2011compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 69740314 || 2245537 || 59828 (80132) || 48 (912) || 0 (2416) || 452(460) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_sphlib sphlib] || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 25126507 || 2055846 || 59122 (68608) || 48 (656) || 0 (2416) || 2630(2630) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_sphlib sphlib] || [wiki:r2011compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 23822562 || 1990074 || 54930 (63488) || 48 (656) || 0 (2416) || 2440(2440) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_sphlib sphlib] || [wiki:r2011compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 23819209 || 1990048 || 54984 (64136) || 48 (656) || 0 (2416) || 2438(2438) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_sphlib-small sphlib-small] || [wiki:r2011compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) || 72915883 || 2574953 || 10970 (31274) || 624 (1488) || 0 (2416) || 454(462) || Checksum OK
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_blake256_sphlib-small sphlib-small] || [wiki:r2011compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 26725259 || 2221796 || 10674 (20160) || 624 (1232) || 0 (2416) || 572(572) || Checksum OK
