| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2011ciphers_0hash <-] 0hash [wiki:r2011platformsciphers_nslu2-openwrt_0hash ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_0hash_empty empty] || 8063 || 0 || 0 || [wiki:r2011compilernames armeb-uclibc-gcc -Os] || 4.1.2 || [wiki:r2011runs_35 Run 35]
|[wiki:r2011ciphers_cubehash1632 <-] cubehash1632 [wiki:r2011platformsciphers_nslu2-openwrt_cubehash1632 ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash1632_bitsliced bitsliced] || 4893270 || 1228 || 216 || [wiki:r2011compilernames armeb-uclibc-gcc -Os] || 4.1.2 || [wiki:r2011runs_24 Run 24]
|[wiki:r2011ciphers_cubehash162 <-] cubehash162 [wiki:r2011platformsciphers_nslu2-openwrt_cubehash162 ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash162_simple simple] || 26836607 || 1440 || 259 || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:r2011runs_24 Run 24]
|[wiki:r2011ciphers_cubehash84 <-] cubehash84 [wiki:r2011platformsciphers_nslu2-openwrt_cubehash84 ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash84_simple simple] || 6962716 || 1468 || 259 || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:r2011runs_20 Run 20]
|[wiki:r2011ciphers_cubehash161 <-] cubehash161 [wiki:r2011platformsciphers_nslu2-openwrt_cubehash161 ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash161_simple simple] || 52858356 || 1440 || 260 || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:r2011runs_24 Run 24]
|[wiki:r2011ciphers_cubehash1616 <-] cubehash1616 [wiki:r2011platformsciphers_nslu2-openwrt_cubehash1616 ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash1616_simple simple] || 4058877 || 1436 || 260 || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:r2011runs_24 Run 24]
|[wiki:r2011ciphers_cubehash164 <-] cubehash164 [wiki:r2011platformsciphers_nslu2-openwrt_cubehash164 ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash164_simple simple] || 13823754 || 1440 || 260 || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:r2011runs_24 Run 24]
|[wiki:r2011ciphers_cubehash168 <-] cubehash168 [wiki:r2011platformsciphers_nslu2-openwrt_cubehash168 ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash168_simple simple] || 7319323 || 1440 || 260 || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:r2011runs_24 Run 24]
|[wiki:r2011ciphers_cubehash81 <-] cubehash81 [wiki:r2011platformsciphers_nslu2-openwrt_cubehash81 ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash81_simple simple] || 26497839 || 1440 || 260 || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:r2011runs_24 Run 24]
|[wiki:r2011ciphers_cubehash816 <-] cubehash816 [wiki:r2011platformsciphers_nslu2-openwrt_cubehash816 ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_cubehash816_simple simple] || 2082231 || 1440 || 260 || [wiki:r2011compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:r2011runs_24 Run 24]
