| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2011ciphers_0hash <-] 0hash [wiki:r2011platformsciphers_fritzbox-7170_0hash ->] || [wiki:r2011platformsimplementations_fritzbox-7170_0hash_empty empty] || 13303 || 0 || 0 || [wiki:r2011compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_blake256 <-] blake256 [wiki:r2011platformsciphers_fritzbox-7170_blake256 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_blake256_armcryptolib armcryptolib] || 275282 || 3302 || 340 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_sha256 <-] sha256 [wiki:r2011platformsciphers_fritzbox-7170_sha256 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_sha256_sphlib-small sphlib-small] || 151832 || 9568 || 368 || [wiki:r2011compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_sha1 <-] sha1 [wiki:r2011platformsciphers_fritzbox-7170_sha1 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_sha1_avrcryptolib avrcryptolib] || 580589 || 3356 || 376 || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_keccakc1024 <-] keccakc1024 [wiki:r2011platformsciphers_fritzbox-7170_keccakc1024 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_keccakc1024_compact compact] || 3290320 || 3275 || 408 || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_jh256 <-] jh256 [wiki:r2011platformsciphers_fritzbox-7170_jh256 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_jh256_opt32 opt32] || 10793463 || 27533 || 424 || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_keccakc512 <-] keccakc512 [wiki:r2011platformsciphers_fritzbox-7170_keccakc512 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_keccakc512_compact compact] || 1804120 || 3274 || 440 || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_jh512 <-] jh512 [wiki:r2011platformsciphers_fritzbox-7170_jh512 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_jh512_opt32 opt32] || 10794431 || 27533 || 456 || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_groestl256 <-] groestl256 [wiki:r2011platformsciphers_fritzbox-7170_groestl256 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_groestl256_armcryptolib armcryptolib] || 29327603 || 4983 || 488 || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_blake512 <-] blake512 [wiki:r2011platformsciphers_fritzbox-7170_blake512 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_blake512_armcryptolib armcryptolib] || 710770 || 5870 || 556 || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_skein512 <-] skein512 [wiki:r2011platformsciphers_fritzbox-7170_skein512 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_skein512_armcryptolib armcryptolib] || 34626146 || 5047 || 704 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_groestl512 <-] groestl512 [wiki:r2011platformsciphers_fritzbox-7170_groestl512 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_groestl512_armcryptolib armcryptolib] || 43204898 || 5015 || 792 || [wiki:r2011compilernames mips-uclib-gcc -O0] || 4.2.1 || [wiki:r2011runs_36 Run 36]
|[wiki:r2011ciphers_sha512 <-] sha512 [wiki:r2011platformsciphers_fritzbox-7170_sha512 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_sha512_sphlib-small sphlib-small] || 247629 || 7990 || 1520 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_36 Run 36]
