| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''Details''' 
|[wiki:r2012ciphers_0hash 0hash] || [wiki:r2012platformsimplementations_nslu2-openwrt_0hash_empty empty] || 6118 || 759 || 96 || 12 || 6 || 3 || 0 || 3.0 || [wiki:r2012measureDetailsPage_308_0hash_empty Details]
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_nslu2-openwrt_blake256_sphlib sphlib] || 31837 || 3959 || 568 || 133 || 102 || 86 || 70 || 0.8 || [wiki:r2012measureDetailsPage_308_blake256_sphlib Details]
|[wiki:r2012ciphers_blake512 blake512] || [wiki:r2012platformsimplementations_nslu2-openwrt_blake512_sphlib-small sphlib-small] || 45868 || 5736 || 718 || 258 || 212 || 190 || 167 || 0.8 || [wiki:r2012measureDetailsPage_308_blake512_sphlib-small Details]
|[wiki:r2012ciphers_groestl256 groestl256] || [wiki:r2012platformsimplementations_nslu2-openwrt_groestl256_opt32 opt32] || 61363 || 7614 || 1173 || 335 || 275 || 245 || 215 || 2.1 || [wiki:r2012measureDetailsPage_308_groestl256_opt32 Details]
|[wiki:r2012ciphers_groestl512 groestl512] || [wiki:r2012platformsimplementations_nslu2-openwrt_groestl512_opt32 opt32] || 122227 || 15077 || 1911 || 597 || 479 || 428 || 378 || 2.9 || [wiki:r2012measureDetailsPage_308_groestl512_opt32 Details]
|[wiki:r2012ciphers_jh256 jh256] || [wiki:r2012platformsimplementations_nslu2-openwrt_jh256_opt32 opt32] || 39418 || 7801 || 966 || 421 || 382 || 362 || 343 || 4.7 || [wiki:r2012measureDetailsPage_308_jh256_opt32 Details]
|[wiki:r2012ciphers_jh512 jh512] || [wiki:r2012platformsimplementations_nslu2-openwrt_jh512_opt32 opt32] || 39584 || 7781 || 965 || 421 || 382 || 362 || 342 || 2.5 || [wiki:r2012measureDetailsPage_308_jh512_opt32 Details]
|[wiki:r2012ciphers_keccakc1024 keccakc1024] || [wiki:r2012platformsimplementations_nslu2-openwrt_keccakc1024_sphlib-small sphlib-small] || 63574 || 7951 || 990 || 617 || 554 || 532 || 510 || 6.8 || [wiki:r2012measureDetailsPage_308_keccakc1024_sphlib-small Details]
|[wiki:r2012ciphers_keccakc512 keccakc512] || [wiki:r2012platformsimplementations_nslu2-openwrt_keccakc512_sphlib-small sphlib-small] || 66600 || 8319 || 1042 || 347 || 316 || 301 || 286 || 0.4 || [wiki:r2012measureDetailsPage_308_keccakc512_sphlib-small Details]
|[wiki:r2012ciphers_round3jh256 round3jh256] || [wiki:r2012platformsimplementations_nslu2-openwrt_round3jh256_sphlib-small sphlib-small] || 49842 || 9906 || 1244 || 557 || 507 || 483 || 458 || 2.5 || [wiki:r2012measureDetailsPage_308_round3jh256_sphlib-small Details]
|[wiki:r2012ciphers_round3jh512 round3jh512] || [wiki:r2012platformsimplementations_nslu2-openwrt_round3jh512_sphlib-small sphlib-small] || 49925 || 9902 || 1245 || 557 || 508 || 492 || 476 || 2.6 || [wiki:r2012measureDetailsPage_308_round3jh512_sphlib-small Details]
|[wiki:r2012ciphers_sha256 sha256] || [wiki:r2012platformsimplementations_nslu2-openwrt_sha256_sphlib-small sphlib-small] || 20549 || 2606 || 377 || 94 || 73 || 63 || 53 || 2.1 || [wiki:r2012measureDetailsPage_308_sha256_sphlib-small Details]
|[wiki:r2012ciphers_sha512 sha512] || [wiki:r2012platformsimplementations_nslu2-openwrt_sha512_sphlib-small sphlib-small] || 41596 || 5245 || 656 || 272 || 231 || 210 || 190 || 0.3 || [wiki:r2012measureDetailsPage_308_sha512_sphlib-small Details]
|[wiki:r2012ciphers_skein256256 skein256256] || [wiki:r2012platformsimplementations_nslu2-openwrt_skein256256_opt opt] || 35661 || 4476 || 621 || 174 || 142 || 125 || 109 || 0.7 || [wiki:r2012measureDetailsPage_308_skein256256_opt Details]
|[wiki:r2012ciphers_skein512256 skein512256] || [wiki:r2012platformsimplementations_nslu2-openwrt_skein512256_opt opt] || 70906 || 8863 || 1109 || 275 || 214 || 183 || 152 || 37.1 || [wiki:r2012measureDetailsPage_308_skein512256_opt Details]
|[wiki:r2012ciphers_skein512512 skein512512] || [wiki:r2012platformsimplementations_nslu2-openwrt_skein512512_opt opt] || 71554 || 8951 || 1120 || 277 || 215 || 183 || 152 || 0.2 || [wiki:r2012measureDetailsPage_308_skein512512_opt Details]
