| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''Details''' 
|[wiki:r2012ciphers_0hash 0hash] || [wiki:r2012platformsimplementations_lm3s811-evb_0hash_empty empty] || 36 || 5 || 0 || 0 || 0 || 0 || 0 || 0.0 || [wiki:r2012measureDetailsPage_324_0hash_empty Details]
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_lm3s811-evb_blake256_arm_thumb2 arm_thumb2] || 3677 || 467 || 106 || 54 || 50 || 49 || 47 || 0.0 || [wiki:r2012measureDetailsPage_324_blake256_arm_thumb2 Details]
|[wiki:r2012ciphers_blake512 blake512] || [wiki:r2012platformsimplementations_lm3s811-evb_blake512_sphlib-small sphlib-small] || 22586 || 2827 || 347 || 207 || 185 || 174 || 162 || 0.0 || [wiki:r2012measureDetailsPage_324_blake512_sphlib-small Details]
|[wiki:r2012ciphers_groestl256 groestl256] || [wiki:r2012platformsimplementations_lm3s811-evb_groestl256_sphlib-adapted sphlib-adapted] || 30831 || 3856 || 791 || 369 || 339 || 323 || 308 || 0.0 || [wiki:r2012measureDetailsPage_324_groestl256_sphlib-adapted Details]
|[wiki:r2012ciphers_groestl512 groestl512] || [wiki:r2012platformsimplementations_lm3s811-evb_groestl512_sphlib-adapted sphlib-adapted] || 88583 || 11075 || 1378 || 623 || 536 || 493 || 449 || 0.0 || [wiki:r2012measureDetailsPage_324_groestl512_sphlib-adapted Details]
|[wiki:r2012ciphers_jh256 jh256] || [wiki:r2012platformsimplementations_lm3s811-evb_jh256_opt32 opt32] || 21435 || 5329 || 662 || 369 || 348 || 337 || 327 || 0.0 || [wiki:r2012measureDetailsPage_324_jh256_opt32 Details]
|[wiki:r2012ciphers_jh512 jh512] || [wiki:r2012platformsimplementations_lm3s811-evb_jh512_opt32 opt32] || 21488 || 5336 || 663 || 369 || 348 || 337 || 327 || 0.0 || [wiki:r2012measureDetailsPage_324_jh512_opt32 Details]
|[wiki:r2012ciphers_keccakc1024 keccakc1024] || [wiki:r2012platformsimplementations_lm3s811-evb_keccakc1024_inplace32bi-armv7m inplace32bi-armv7m] || 11771 || 1478 || 190 || 183 || 171 || 166 || 160 || 0.0 || [wiki:r2012measureDetailsPage_324_keccakc1024_inplace32bi-armv7m Details]
|[wiki:r2012ciphers_keccakc512 keccakc512] || [wiki:r2012platformsimplementations_lm3s811-evb_keccakc512_inplace32bi-armv7m inplace32bi-armv7m] || 11586 || 1455 || 187 || 95 || 94 || 94 || 94 || 0.0 || [wiki:r2012measureDetailsPage_324_keccakc512_inplace32bi-armv7m Details]
|[wiki:r2012ciphers_round3jh256 round3jh256] || [wiki:r2012platformsimplementations_lm3s811-evb_round3jh256_sphlib sphlib] || 25763 || 6299 || 783 || 429 || 404 || 391 || 379 || 0.0 || [wiki:r2012measureDetailsPage_324_round3jh256_sphlib Details]
|[wiki:r2012ciphers_round3jh512 round3jh512] || [wiki:r2012platformsimplementations_lm3s811-evb_round3jh512_sphlib sphlib] || 25799 || 6304 || 784 || 429 || 404 || 391 || 379 || 0.0 || [wiki:r2012measureDetailsPage_324_round3jh512_sphlib Details]
|[wiki:r2012ciphers_sha1 sha1] || [wiki:r2012platformsimplementations_lm3s811-evb_sha1_avrcryptolib avrcryptolib] || 22270 || 2791 || 690 || 386 || 364 || 353 || 343 || 0.0 || [wiki:r2012measureDetailsPage_324_sha1_avrcryptolib Details]
|[wiki:r2012ciphers_sha256 sha256] || [wiki:r2012platformsimplementations_lm3s811-evb_sha256_sphlib sphlib] || 3239 || 413 || 91 || 47 || 44 || 42 || 41 || 0.0 || [wiki:r2012measureDetailsPage_324_sha256_sphlib Details]
|[wiki:r2012ciphers_sha512 sha512] || [wiki:r2012platformsimplementations_lm3s811-evb_sha512_sphlib-small sphlib-small] || 23165 || 2904 || 358 || 218 || 195 || 184 || 173 || 0.0 || [wiki:r2012measureDetailsPage_324_sha512_sphlib-small Details]
|[wiki:r2012ciphers_skein256256 skein256256] || [wiki:r2012platformsimplementations_lm3s811-evb_skein256256_arm_thumb arm_thumb] || 4536 || 580 || 96 || 54 || 51 || 50 || 48 || 0.0 || [wiki:r2012measureDetailsPage_324_skein256256_arm_thumb Details]
|[wiki:r2012ciphers_skein512256 skein512256] || [wiki:r2012platformsimplementations_lm3s811-evb_skein512256_arm_thumb arm_thumb] || 9196 || 1163 || 144 || 70 || 65 || 62 || 59 || 0.0 || [wiki:r2012measureDetailsPage_324_skein512256_arm_thumb Details]
|[wiki:r2012ciphers_skein512512 skein512512] || [wiki:r2012platformsimplementations_lm3s811-evb_skein512512_arm_thumb arm_thumb] || 10004 || 1264 || 157 || 72 || 65 || 62 || 59 || 0.0 || [wiki:r2012measureDetailsPage_324_skein512512_arm_thumb Details]
