| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''Details''' 
|[wiki:r2012ciphers_0hash 0hash] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_0hash_empty empty] || 38 || 5 || 0 || 0 || 0 || 0 || 0 || 0.0 || [wiki:r2012measureDetailsPage_318_0hash_empty Details]
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_blake256_sphlib sphlib] || 25851 || 3233 || 782 || 424 || 398 || 385 || 373 || 200.0 || [wiki:r2012measureDetailsPage_318_blake256_sphlib Details]
|[wiki:r2012ciphers_blake512 blake512] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_blake512_sphlib-small sphlib-small] || 115001 || 14384 || 1795 || 1077 || 964 || 908 || 851 || 0.0 || [wiki:r2012measureDetailsPage_318_blake512_sphlib-small Details]
|[wiki:r2012ciphers_groestl256 groestl256] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_groestl256_sphlib-small sphlib-small] || 70098 || 8762 || 1806 || 844 || 775 || 741 || 707 || 0.0 || [wiki:r2012measureDetailsPage_318_groestl256_sphlib-small Details]
|[wiki:r2012ciphers_groestl512 groestl512] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_groestl512_sphlib-small sphlib-small] || 404589 || 50574 || 6318 || 2887 || 2491 || 2293 || 2095 || 0.0 || [wiki:r2012measureDetailsPage_318_groestl512_sphlib-small Details]
|[wiki:r2012ciphers_jh256 jh256] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_jh256_opt32 opt32] || 96035 || 23920 || 2980 || 1667 || 1573 || 1527 || 1480 || 0.0 || [wiki:r2012measureDetailsPage_318_jh256_opt32 Details]
|[wiki:r2012ciphers_keccakc1024 keccakc1024] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_keccakc1024_simple simple] || 156200 || 19529 || 2442 || 2421 || 2268 || 2192 || 2115 || 0.0 || [wiki:r2012measureDetailsPage_318_keccakc1024_simple Details]
|[wiki:r2012ciphers_keccakc512 keccakc512] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_keccakc512_armcryptolibr3 armcryptolibr3] || 128205 || 16030 || 2004 || 989 || 987 || 985 || 984 || 0.0 || [wiki:r2012measureDetailsPage_318_keccakc512_armcryptolibr3 Details]
|[wiki:r2012ciphers_round3jh256 round3jh256] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_round3jh256_sphlib sphlib] || 103543 || 25519 || 3196 || 1772 || 1670 || 1619 || 1569 || 0.0 || [wiki:r2012measureDetailsPage_318_round3jh256_sphlib Details]
|[wiki:r2012ciphers_round3jh512 round3jh512] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_round3jh512_sphlib sphlib] || 103671 || 25535 || 3198 || 1772 || 1670 || 1619 || 1569 || 0.0 || [wiki:r2012measureDetailsPage_318_round3jh512_sphlib Details]
|[wiki:r2012ciphers_sha1 sha1] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_sha1_avrcryptolib avrcryptolib] || 32109 || 4022 || 986 || 548 || 516 || 500 || 485 || 0.0 || [wiki:r2012measureDetailsPage_318_sha1_avrcryptolib Details]
|[wiki:r2012ciphers_sha256 sha256] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_sha256_sphlib-small sphlib-small] || 36673 || 4598 || 1133 || 632 || 596 || 578 || 560 || 0.0 || [wiki:r2012measureDetailsPage_318_sha256_sphlib-small Details]
|[wiki:r2012ciphers_sha512 sha512] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_sha512_sphlib-small sphlib-small] || 180410 || 22571 || 2822 || 1732 || 1555 || 1467 || 1379 || 0.0 || [wiki:r2012measureDetailsPage_318_sha512_sphlib-small Details]
|[wiki:r2012ciphers_skein256256 skein256256] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_skein256256_armcryptolib armcryptolib] || 430619 || 53845 || 8971 || 5033 || 4752 || 4611 || 4470 || 0.0 || [wiki:r2012measureDetailsPage_318_skein256256_armcryptolib Details]
|[wiki:r2012ciphers_skein512256 skein512256] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_skein512256_sphlib-small sphlib-small] || 160630 || 20083 || 2511 || 1396 || 1316 || 1276 || 1236 || 0.0 || [wiki:r2012measureDetailsPage_318_skein512256_sphlib-small Details]
