| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''Details''' 
|[wiki:r2012ciphers_0hash 0hash] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_0hash_empty empty] || 38 || 5 || 0 || 0 || 0 || 0 || 0 || 0.0 || [wiki:r2012measureDetailsPage_316_0hash_empty Details]
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_blake256_sphlib sphlib] || 25851 || 3233 || 782 || 424 || 398 || 385 || 373 || 0.0 || [wiki:r2012measureDetailsPage_316_blake256_sphlib Details]
|[wiki:r2012ciphers_blake32 blake32] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_blake32_armcryptolib-msp430_opt armcryptolib-msp430_opt] || 32754 || 4106 || 1009 || 561 || 529 || 513 || 497 || 0.0 || [wiki:r2012measureDetailsPage_316_blake32_armcryptolib-msp430_opt Details]
|[wiki:r2012ciphers_blake512 blake512] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_blake512_sphlib-small sphlib-small] || 115002 || 14384 || 1795 || 1077 || 964 || 908 || 851 || 0.0 || [wiki:r2012measureDetailsPage_316_blake512_sphlib-small Details]
|[wiki:r2012ciphers_groestl256 groestl256] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_groestl256_sphlib-small sphlib-small] || 70098 || 8762 || 1806 || 844 || 775 || 741 || 707 || 0.0 || [wiki:r2012measureDetailsPage_316_groestl256_sphlib-small Details]
|[wiki:r2012ciphers_groestl512 groestl512] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_groestl512_sphlib-small sphlib-small] || 404589 || 50574 || 6318 || 2887 || 2491 || 2293 || 2095 || 0.0 || [wiki:r2012measureDetailsPage_316_groestl512_sphlib-small Details]
|[wiki:r2012ciphers_jh256 jh256] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_jh256_opt32 opt32] || 96036 || 23920 || 2980 || 1667 || 1573 || 1527 || 1480 || 0.0 || [wiki:r2012measureDetailsPage_316_jh256_opt32 Details]
|[wiki:r2012ciphers_jh512 jh512] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_jh512_opt32 opt32] || 96196 || 23940 || 2983 || 1668 || 1574 || 1527 || 1480 || 0.0 || [wiki:r2012measureDetailsPage_316_jh512_opt32 Details]
|[wiki:r2012ciphers_keccakc1024 keccakc1024] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_keccakc1024_simple simple] || 156200 || 19529 || 2442 || 2421 || 2268 || 2192 || 2116 || 0.0 || [wiki:r2012measureDetailsPage_316_keccakc1024_simple Details]
|[wiki:r2012ciphers_keccakc512 keccakc512] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_keccakc512_armcryptolib-msp430_opt armcryptolib-msp430_opt] || 129596 || 16204 || 2026 || 1000 || 998 || 996 || 995 || 0.0 || [wiki:r2012measureDetailsPage_316_keccakc512_armcryptolib-msp430_opt Details]
|[wiki:r2012ciphers_sha1 sha1] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_sha1_avrcryptolib avrcryptolib] || 32110 || 4022 || 986 || 548 || 516 || 500 || 485 || 0.0 || [wiki:r2012measureDetailsPage_316_sha1_avrcryptolib Details]
|[wiki:r2012ciphers_sha256 sha256] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_sha256_sphlib-small sphlib-small] || 36673 || 4598 || 1133 || 632 || 596 || 578 || 560 || 0.0 || [wiki:r2012measureDetailsPage_316_sha256_sphlib-small Details]
|[wiki:r2012ciphers_skein256 skein256] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_skein256_armcryptolib-msp430_opt armcryptolib-msp430_opt] || 234034 || 29275 || 3669 || 1519 || 1365 || 1288 || 1212 || 0.0 || [wiki:r2012measureDetailsPage_316_skein256_armcryptolib-msp430_opt Details]
|[wiki:r2012ciphers_skein256256 skein256256] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_skein256256_armcryptolib armcryptolib] || 347625 || 43470 || 7242 || 4060 || 3833 || 3719 || 3605 || 0.0 || [wiki:r2012measureDetailsPage_316_skein256256_armcryptolib Details]
|[wiki:r2012ciphers_skein512256 skein512256] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_skein512256_sphlib-small sphlib-small] || 160631 || 20083 || 2511 || 1396 || 1316 || 1276 || 1236 || 0.0 || [wiki:r2012measureDetailsPage_316_skein512256_sphlib-small Details]
|[wiki:r2012ciphers_skein512512 skein512512] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_skein512512_sphlib-small sphlib-small] || 162015 || 20256 || 2532 || 1399 || 1317 || 1277 || 1236 || 0.0 || [wiki:r2012measureDetailsPage_316_skein512512_sphlib-small Details]
