| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''Details''' 
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_artila_m501_0hash_empty empty] || 1080 || 127 || 16 || 2 || 1 || 1 || 0 || 23.2 || [wiki:r2011measureDetailsPage_312_0hash_empty Details]
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_artila_m501_blake256_sphlib sphlib] || 25200 || 3182 || 463 || 112 || 87 || 75 || 62 || 2.5 || [wiki:r2011measureDetailsPage_312_blake256_sphlib Details]
|[wiki:r2011ciphers_blake512 blake512] || [wiki:r2011platformsimplementations_artila_m501_blake512_sphlib-small sphlib-small] || 35516 || 4492 || 562 || 205 || 169 || 152 || 134 || 5.9 || [wiki:r2011measureDetailsPage_312_blake512_sphlib-small Details]
|[wiki:r2011ciphers_groestl256 groestl256] || [wiki:r2011platformsimplementations_artila_m501_groestl256_arm32 arm32] || 53235 || 6642 || 994 || 260 || 208 || 182 || 156 || 4.3 || [wiki:r2011measureDetailsPage_312_groestl256_arm32 Details]
|[wiki:r2011ciphers_groestl512 groestl512] || [wiki:r2011platformsimplementations_artila_m501_groestl512_arm32 arm32] || 95771 || 11950 || 1497 || 394 || 299 || 252 || 204 || 6.1 || [wiki:r2011measureDetailsPage_312_groestl512_arm32 Details]
|[wiki:r2011ciphers_jh256 jh256] || [wiki:r2011platformsimplementations_artila_m501_jh256_opt32 opt32] || 35528 || 7656 || 947 || 462 || 427 || 409 || 391 || 2.6 || [wiki:r2011measureDetailsPage_312_jh256_opt32 Details]
|[wiki:r2011ciphers_jh512 jh512] || [wiki:r2011platformsimplementations_artila_m501_jh512_opt32 opt32] || 35303 || 7635 || 951 || 461 || 427 || 415 || 404 || 0.8 || [wiki:r2011measureDetailsPage_312_jh512_opt32 Details]
|[wiki:r2011ciphers_keccakc1024 keccakc1024] || [wiki:r2011platformsimplementations_artila_m501_keccakc1024_opt32bi-rvku2 opt32bi-rvku2] || 26573 || 3406 || 423 || 251 || 222 || 208 || 193 || 2.5 || [wiki:r2011measureDetailsPage_312_keccakc1024_opt32bi-rvku2 Details]
|[wiki:r2011ciphers_keccakc512 keccakc512] || [wiki:r2011platformsimplementations_artila_m501_keccakc512_opt32bi-rvku2 opt32bi-rvku2] || 27776 || 3627 || 445 || 145 || 130 || 123 || 115 || 4.6 || [wiki:r2011measureDetailsPage_312_keccakc512_opt32bi-rvku2 Details]
|[wiki:r2011ciphers_round3jh256 round3jh256] || [wiki:r2011platformsimplementations_artila_m501_round3jh256_sphlib sphlib] || 58725 || 10970 || 1614 || 597 || 525 || 505 || 486 || 4.4 || [wiki:r2011measureDetailsPage_312_round3jh256_sphlib Details]
|[wiki:r2011ciphers_round3jh512 round3jh512] || [wiki:r2011platformsimplementations_artila_m501_round3jh512_sphlib sphlib] || 58714 || 10972 || 1610 || 598 || 526 || 498 || 470 || 4.8 || [wiki:r2011measureDetailsPage_312_round3jh512_sphlib Details]
|[wiki:r2011ciphers_sha1 sha1] || [wiki:r2011platformsimplementations_artila_m501_sha1_avrcryptolib avrcryptolib] || 17876 || 2219 || 488 || 248 || 231 || 228 || 226 || 10.9 || [wiki:r2011measureDetailsPage_312_sha1_avrcryptolib Details]
|[wiki:r2011ciphers_sha256 sha256] || [wiki:r2011platformsimplementations_artila_m501_sha256_sphlib-small sphlib-small] || 12724 || 1633 || 247 || 72 || 60 || 53 || 47 || 3.8 || [wiki:r2011measureDetailsPage_312_sha256_sphlib-small Details]
|[wiki:r2011ciphers_sha512 sha512] || [wiki:r2011platformsimplementations_artila_m501_sha512_sphlib-small sphlib-small] || 25819 || 3270 || 408 || 173 || 148 || 135 || 122 || 1.7 || [wiki:r2011measureDetailsPage_312_sha512_sphlib-small Details]
|[wiki:r2011ciphers_skein256256 skein256256] || [wiki:r2011platformsimplementations_artila_m501_skein256256_opt opt] || 27045 || 3388 || 489 || 158 || 135 || 123 || 112 || 5.1 || [wiki:r2011measureDetailsPage_312_skein256256_opt Details]
|[wiki:r2011ciphers_skein512256 skein512256] || [wiki:r2011platformsimplementations_artila_m501_skein512256_sphlib-small sphlib-small] || 29093 || 3673 || 455 || 206 || 182 || 170 || 157 || 3.2 || [wiki:r2011measureDetailsPage_312_skein512256_sphlib-small Details]
|[wiki:r2011ciphers_skein512512 skein512512] || [wiki:r2011platformsimplementations_artila_m501_skein512512_sphlib-small sphlib-small] || 29396 || 3649 || 457 || 207 || 182 || 170 || 157 || 3.1 || [wiki:r2011measureDetailsPage_312_skein512512_sphlib-small Details]
