| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''Details''' 
|[wiki:r2012ciphers_0hash 0hash] || [wiki:r2012platformsimplementations_beagleboard_xm_0hash_empty empty] || 5625 || 711 || 89 || 12 || 6 || 3 || 1 || 17.7 || [wiki:r2012measureDetailsPage_305_0hash_empty Details]
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_beagleboard_xm_blake256_vect128-neon vect128-neon] || 11188 || 1391 || 199 || 46 || 35 || 29 || 24 || 12.0 || [wiki:r2012measureDetailsPage_305_blake256_vect128-neon Details]
|[wiki:r2012ciphers_blake512 blake512] || [wiki:r2012platformsimplementations_beagleboard_xm_blake512_vect128-neon-fixalign vect128-neon-fixalign] || 12875 || 1633 || 204 || 49 || 36 || 30 || 23 || 16.2 || [wiki:r2012measureDetailsPage_305_blake512_vect128-neon-fixalign Details]
|[wiki:r2012ciphers_groestl256 groestl256] || [wiki:r2012platformsimplementations_beagleboard_xm_groestl256_arm32 arm32] || 23750 || 2914 || 446 || 130 || 107 || 96 || 85 || 9.8 || [wiki:r2012measureDetailsPage_305_groestl256_arm32 Details]
|[wiki:r2012ciphers_groestl512 groestl512] || [wiki:r2012platformsimplementations_beagleboard_xm_groestl512_arm32 arm32] || 39000 || 4891 || 620 || 187 || 149 || 131 || 113 || 12.0 || [wiki:r2012measureDetailsPage_305_groestl512_arm32 Details]
|[wiki:r2012ciphers_jh256 jh256] || [wiki:r2012platformsimplementations_beagleboard_xm_jh256_arm11 arm11] || 17000 || 3063 || 373 || 146 || 129 || 120 || 112 || 8.4 || [wiki:r2012measureDetailsPage_305_jh256_arm11 Details]
|[wiki:r2012ciphers_jh512 jh512] || [wiki:r2012platformsimplementations_beagleboard_xm_jh512_opt32 opt32] || 20938 || 4047 || 504 || 220 || 199 || 189 || 180 || 4.5 || [wiki:r2012measureDetailsPage_305_jh512_opt32 Details]
|[wiki:r2012ciphers_keccakc1024 keccakc1024] || [wiki:r2012platformsimplementations_beagleboard_xm_keccakc1024_inplace-armv7a-neon inplace-armv7a-neon] || 11938 || 1484 || 186 || 84 || 72 || 66 || 60 || 10.4 || [wiki:r2012measureDetailsPage_305_keccakc1024_inplace-armv7a-neon Details]
|[wiki:r2012ciphers_keccakc512 keccakc512] || [wiki:r2012platformsimplementations_beagleboard_xm_keccakc512_inplace-armv7a-neon inplace-armv7a-neon] || 11750 || 1453 || 185 || 52 || 44 || 40 || 36 || 10.6 || [wiki:r2012measureDetailsPage_305_keccakc512_inplace-armv7a-neon Details]
|[wiki:r2012ciphers_round3jh256 round3jh256] || [wiki:r2012platformsimplementations_beagleboard_xm_round3jh256_arm11 arm11] || 17813 || 3086 || 386 || 146 || 129 || 121 || 113 || 10.1 || [wiki:r2012measureDetailsPage_305_round3jh256_arm11 Details]
|[wiki:r2012ciphers_round3jh512 round3jh512] || [wiki:r2012platformsimplementations_beagleboard_xm_round3jh512_sphlib sphlib] || 24375 || 4594 || 579 || 247 || 222 || 211 || 199 || 5.3 || [wiki:r2012measureDetailsPage_305_round3jh512_sphlib Details]
|[wiki:r2012ciphers_sha1 sha1] || [wiki:r2012platformsimplementations_beagleboard_xm_sha1_avrcryptolib avrcryptolib] || 15063 || 1883 || 358 || 154 || 139 || 132 || 124 || 6.2 || [wiki:r2012measureDetailsPage_305_sha1_avrcryptolib Details]
|[wiki:r2012ciphers_sha256 sha256] || [wiki:r2012platformsimplementations_beagleboard_xm_sha256_sphlib-small sphlib-small] || 9813 || 1242 || 178 || 46 || 36 || 32 || 27 || 10.6 || [wiki:r2012measureDetailsPage_305_sha256_sphlib-small Details]
|[wiki:r2012ciphers_sha512 sha512] || [wiki:r2012platformsimplementations_beagleboard_xm_sha512_sphlib-small sphlib-small] || 20063 || 2531 || 316 || 131 || 111 || 101 || 91 || 5.6 || [wiki:r2012measureDetailsPage_305_sha512_sphlib-small Details]
|[wiki:r2012ciphers_skein256256 skein256256] || [wiki:r2012platformsimplementations_beagleboard_xm_skein256256_arm_neon arm_neon] || 8813 || 1141 || 153 || 39 || 31 || 27 || 23 || 8.8 || [wiki:r2012measureDetailsPage_305_skein256256_arm_neon Details]
|[wiki:r2012ciphers_skein512256 skein512256] || [wiki:r2012platformsimplementations_beagleboard_xm_skein512256_arm_neon arm_neon] || 10000 || 1281 || 158 || 37 || 28 || 24 || 19 || 9.5 || [wiki:r2012measureDetailsPage_305_skein512256_arm_neon Details]
|[wiki:r2012ciphers_skein512512 skein512512] || [wiki:r2012platformsimplementations_beagleboard_xm_skein512512_arm_neon arm_neon] || 10250 || 1289 || 162 || 37 || 28 || 23 || 19 || 7.9 || [wiki:r2012measureDetailsPage_305_skein512512_arm_neon Details]
