| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''Details''' 
|[wiki:r2012ciphers_0hash 0hash] || [wiki:r2012platformsimplementations_nslu2-openwrt_0hash_empty empty] || 6052 || 773 || 97 || 12 || 6 || 3 || 0 || 4.3 || [wiki:r2012measureDetailsPage_307_0hash_empty Details]
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_nslu2-openwrt_blake256_sphlib sphlib] || 31737 || 3959 || 567 || 133 || 102 || 86 || 70 || 0.7 || [wiki:r2012measureDetailsPage_307_blake256_sphlib Details]
|[wiki:r2012ciphers_blake512 blake512] || [wiki:r2012platformsimplementations_nslu2-openwrt_blake512_sphlib-small sphlib-small] || 45819 || 5729 || 717 || 257 || 212 || 189 || 167 || 6.1 || [wiki:r2012measureDetailsPage_307_blake512_sphlib-small Details]
|[wiki:r2012ciphers_groestl256 groestl256] || [wiki:r2012platformsimplementations_nslu2-openwrt_groestl256_opt32 opt32] || 60648 || 7589 || 1171 || 335 || 275 || 245 || 215 || 2.4 || [wiki:r2012measureDetailsPage_307_groestl256_opt32 Details]
|[wiki:r2012ciphers_groestl512 groestl512] || [wiki:r2012platformsimplementations_nslu2-openwrt_groestl512_opt32 opt32] || 121745 || 15060 || 1885 || 595 || 477 || 418 || 358 || 6.8 || [wiki:r2012measureDetailsPage_307_groestl512_opt32 Details]
|[wiki:r2012ciphers_jh256 jh256] || [wiki:r2012platformsimplementations_nslu2-openwrt_jh256_opt32 opt32] || 39484 || 7774 || 961 || 420 || 381 || 362 || 342 || 0.4 || [wiki:r2012measureDetailsPage_307_jh256_opt32 Details]
|[wiki:r2012ciphers_jh512 jh512] || [wiki:r2012platformsimplementations_nslu2-openwrt_jh512_opt32 opt32] || 39435 || 7774 || 962 || 420 || 381 || 371 || 361 || 4.7 || [wiki:r2012measureDetailsPage_307_jh512_opt32 Details]
|[wiki:r2012ciphers_keccakc1024 keccakc1024] || [wiki:r2012platformsimplementations_nslu2-openwrt_keccakc1024_sphlib-small sphlib-small] || 63441 || 7918 || 988 || 617 || 554 || 532 || 510 || 1.8 || [wiki:r2012measureDetailsPage_307_keccakc1024_sphlib-small Details]
|[wiki:r2012ciphers_keccakc512 keccakc512] || [wiki:r2012platformsimplementations_nslu2-openwrt_keccakc512_sphlib-small sphlib-small] || 66350 || 8286 || 1038 || 345 || 316 || 301 || 286 || 6.0 || [wiki:r2012measureDetailsPage_307_keccakc512_sphlib-small Details]
|[wiki:r2012ciphers_round3jh256 round3jh256] || [wiki:r2012platformsimplementations_nslu2-openwrt_round3jh256_sphlib-small sphlib-small] || 49592 || 9867 || 1238 || 555 || 507 || 482 || 458 || 0.3 || [wiki:r2012measureDetailsPage_307_round3jh256_sphlib-small Details]
|[wiki:r2012ciphers_round3jh512 round3jh512] || [wiki:r2012platformsimplementations_nslu2-openwrt_round3jh512_sphlib-small sphlib-small] || 49825 || 9857 || 1239 || 556 || 507 || 482 || 458 || 0.4 || [wiki:r2012measureDetailsPage_307_round3jh512_sphlib-small Details]
|[wiki:r2012ciphers_sha256 sha256] || [wiki:r2012platformsimplementations_nslu2-openwrt_sha256_sphlib-small sphlib-small] || 20465 || 2594 || 376 || 93 || 73 || 63 || 53 || 2.4 || [wiki:r2012measureDetailsPage_307_sha256_sphlib-small Details]
|[wiki:r2012ciphers_sha512 sha512] || [wiki:r2012platformsimplementations_nslu2-openwrt_sha512_sphlib-small sphlib-small] || 41563 || 5220 || 654 || 271 || 231 || 220 || 210 || 4.8 || [wiki:r2012measureDetailsPage_307_sha512_sphlib-small Details]
|[wiki:r2012ciphers_skein256256 skein256256] || [wiki:r2012platformsimplementations_nslu2-openwrt_skein256256_opt opt] || 35528 || 4464 || 621 || 174 || 141 || 125 || 109 || 0.9 || [wiki:r2012measureDetailsPage_307_skein256256_opt Details]
|[wiki:r2012ciphers_skein512256 skein512256] || [wiki:r2012platformsimplementations_nslu2-openwrt_skein512256_opt opt] || 70507 || 8824 || 1103 || 274 || 213 || 183 || 152 || 0.5 || [wiki:r2012measureDetailsPage_307_skein512256_opt Details]
|[wiki:r2012ciphers_skein512512 skein512512] || [wiki:r2012platformsimplementations_nslu2-openwrt_skein512512_opt opt] || 71238 || 8938 || 1115 || 276 || 214 || 183 || 152 || 0.2 || [wiki:r2012measureDetailsPage_307_skein512512_opt Details]
