| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''Details''' 
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_fritzbox-7170_0hash_empty empty] || 13793 || 1708 || 213 || 27 || 13 || 7 || 0 || 1.4 || [wiki:r2011measureDetailsPage_311_0hash_empty Details]
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_fritzbox-7170_blake256_sphlib-small sphlib-small] || 37100 || 4667 || 658 || 150 || 114 || 96 || 77 || 0.6 || [wiki:r2011measureDetailsPage_311_blake256_sphlib-small Details]
|[wiki:r2011ciphers_blake512 blake512] || [wiki:r2011platformsimplementations_fritzbox-7170_blake512_ref ref] || 58380 || 7359 || 919 || 248 || 190 || 161 || 132 || 0.4 || [wiki:r2011measureDetailsPage_311_blake512_ref Details]
|[wiki:r2011ciphers_groestl256 groestl256] || [wiki:r2011platformsimplementations_fritzbox-7170_groestl256_8bit_c 8bit_c] || 94009 || 11879 || 1913 || 612 || 518 || 527 || 535 || 21.2 || [wiki:r2011measureDetailsPage_311_groestl256_8bit_c Details]
|[wiki:r2011ciphers_groestl512 groestl512] || [wiki:r2011platformsimplementations_fritzbox-7170_groestl512_sphlib-small sphlib-small] || 175695 || 21977 || 2748 || 952 || 886 || 757 || 629 || 22.9 || [wiki:r2011measureDetailsPage_311_groestl512_sphlib-small Details]
|[wiki:r2011ciphers_jh256 jh256] || [wiki:r2011platformsimplementations_fritzbox-7170_jh256_opt32 opt32] || 51503 || 9005 || 1111 || 401 || 351 || 326 || 301 || 20.3 || [wiki:r2011measureDetailsPage_311_jh256_opt32 Details]
|[wiki:r2011ciphers_jh512 jh512] || [wiki:r2011platformsimplementations_fritzbox-7170_jh512_opt32 opt32] || 51913 || 9055 || 1120 || 402 || 351 || 326 || 300 || 20.0 || [wiki:r2011measureDetailsPage_311_jh512_opt32 Details]
|[wiki:r2011ciphers_keccakc1024 keccakc1024] || [wiki:r2011platformsimplementations_fritzbox-7170_keccakc1024_simple32bi simple32bi] || 58313 || 7370 || 927 || 339 || 281 || 252 || 223 || 6.4 || [wiki:r2011measureDetailsPage_311_keccakc1024_simple32bi Details]
|[wiki:r2011ciphers_keccakc512 keccakc512] || [wiki:r2011platformsimplementations_fritzbox-7170_keccakc512_simple32bi simple32bi] || 58830 || 7422 || 933 || 218 || 175 || 154 || 132 || 28.2 || [wiki:r2011measureDetailsPage_311_keccakc512_simple32bi Details]
|[wiki:r2011ciphers_round3jh256 round3jh256] || [wiki:r2011platformsimplementations_fritzbox-7170_round3jh256_sphlib sphlib] || 91385 || 13823 || 1759 || 482 || 390 || 344 || 299 || 23.1 || [wiki:r2011measureDetailsPage_311_round3jh256_sphlib Details]
|[wiki:r2011ciphers_round3jh512 round3jh512] || [wiki:r2011platformsimplementations_fritzbox-7170_round3jh512_sphlib sphlib] || 91558 || 13838 || 1763 || 482 || 390 || 344 || 298 || 23.2 || [wiki:r2011measureDetailsPage_311_round3jh512_sphlib Details]
|[wiki:r2011ciphers_sha1 sha1] || [wiki:r2011platformsimplementations_fritzbox-7170_sha1_avrcryptolib avrcryptolib] || 36742 || 4648 || 758 || 256 || 220 || 202 || 184 || 23.1 || [wiki:r2011measureDetailsPage_311_sha1_avrcryptolib Details]
|[wiki:r2011ciphers_sha256 sha256] || [wiki:r2011platformsimplementations_fritzbox-7170_sha256_sphlib-small sphlib-small] || 46309 || 5954 || 816 || 162 || 115 || 92 || 68 || 0.5 || [wiki:r2011measureDetailsPage_311_sha256_sphlib-small Details]
|[wiki:r2011ciphers_sha512 sha512] || [wiki:r2011platformsimplementations_fritzbox-7170_sha512_sphlib sphlib] || 56578 || 7238 || 910 || 237 || 181 || 152 || 124 || 0.4 || [wiki:r2011measureDetailsPage_311_sha512_sphlib Details]
|[wiki:r2011ciphers_skein256256 skein256256] || [wiki:r2011platformsimplementations_fritzbox-7170_skein256256_opt opt] || 69602 || 8816 || 1165 || 229 || 162 || 129 || 95 || 0.4 || [wiki:r2011measureDetailsPage_311_skein256256_opt Details]
|[wiki:r2011ciphers_skein512512 skein512512] || [wiki:r2011platformsimplementations_fritzbox-7170_skein512512_sphlib-small sphlib-small] || 52430 || 6579 || 824 || 236 || 176 || 146 || 116 || 0.5 || [wiki:r2011measureDetailsPage_311_skein512512_sphlib-small Details]
