| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''Details''' 
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_fritzbox-7170_0hash_empty empty] || 13674 || 1706 || 215 || 27 || 13 || 7 || 0 || 1.3 || [wiki:r2011measureDetailsPage_309_0hash_empty Details]
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_fritzbox-7170_blake256_sphlib-small sphlib-small] || 37060 || 4644 || 656 || 150 || 114 || 96 || 77 || 0.6 || [wiki:r2011measureDetailsPage_309_blake256_sphlib-small Details]
|[wiki:r2011ciphers_blake512 blake512] || [wiki:r2011platformsimplementations_fritzbox-7170_blake512_ref ref] || 58353 || 7355 || 919 || 248 || 190 || 161 || 133 || 10.2 || [wiki:r2011measureDetailsPage_309_blake512_ref Details]
|[wiki:r2011ciphers_groestl256 groestl256] || [wiki:r2011platformsimplementations_fritzbox-7170_groestl256_sphlib-small sphlib-small] || 122364 || 15199 || 2388 || 685 || 561 || 566 || 570 || 16.3 || [wiki:r2011measureDetailsPage_309_groestl256_sphlib-small Details]
|[wiki:r2011ciphers_groestl512 groestl512] || [wiki:r2011platformsimplementations_fritzbox-7170_groestl512_sphlib-small sphlib-small] || 175669 || 21960 || 2746 || 952 || 781 || 758 || 735 || 33.6 || [wiki:r2011measureDetailsPage_309_groestl512_sphlib-small Details]
|[wiki:r2011ciphers_jh256 jh256] || [wiki:r2011platformsimplementations_fritzbox-7170_jh256_opt32 opt32] || 51463 || 9015 || 1113 || 402 || 351 || 326 || 300 || 27.9 || [wiki:r2011measureDetailsPage_309_jh256_opt32 Details]
|[wiki:r2011ciphers_jh512 jh512] || [wiki:r2011platformsimplementations_fritzbox-7170_jh512_opt32 opt32] || 51967 || 9060 || 1118 || 402 || 351 || 326 || 301 || 16.0 || [wiki:r2011measureDetailsPage_309_jh512_opt32 Details]
|[wiki:r2011ciphers_keccakc1024 keccakc1024] || [wiki:r2011platformsimplementations_fritzbox-7170_keccakc1024_simple32bi simple32bi] || 58260 || 7355 || 924 || 339 || 281 || 252 || 223 || 21.5 || [wiki:r2011measureDetailsPage_309_keccakc1024_simple32bi Details]
|[wiki:r2011ciphers_keccakc512 keccakc512] || [wiki:r2011platformsimplementations_fritzbox-7170_keccakc512_simple32bi simple32bi] || 58737 || 7422 || 934 || 218 || 175 || 154 || 132 || 0.5 || [wiki:r2011measureDetailsPage_309_keccakc512_simple32bi Details]
|[wiki:r2011ciphers_round3jh256 round3jh256] || [wiki:r2011platformsimplementations_fritzbox-7170_round3jh256_sphlib sphlib] || 91385 || 13835 || 1758 || 482 || 390 || 344 || 299 || 30.2 || [wiki:r2011measureDetailsPage_309_round3jh256_sphlib Details]
|[wiki:r2011ciphers_round3jh512 round3jh512] || [wiki:r2011platformsimplementations_fritzbox-7170_round3jh512_sphlib sphlib] || 91438 || 13830 || 1759 || 481 || 390 || 344 || 299 || 23.2 || [wiki:r2011measureDetailsPage_309_round3jh512_sphlib Details]
|[wiki:r2011ciphers_sha1 sha1] || [wiki:r2011platformsimplementations_fritzbox-7170_sha1_armcryptolib armcryptolib] || 36822 || 4649 || 756 || 256 || 220 || 202 || 184 || 22.8 || [wiki:r2011measureDetailsPage_309_sha1_armcryptolib Details]
|[wiki:r2011ciphers_sha256 sha256] || [wiki:r2011platformsimplementations_fritzbox-7170_sha256_sphlib-small sphlib-small] || 46084 || 5948 || 814 || 161 || 115 || 91 || 68 || 0.5 || [wiki:r2011measureDetailsPage_309_sha256_sphlib-small Details]
|[wiki:r2011ciphers_sha512 sha512] || [wiki:r2011platformsimplementations_fritzbox-7170_sha512_sphlib-small sphlib-small] || 56418 || 7218 || 907 || 237 || 181 || 152 || 124 || 0.5 || [wiki:r2011measureDetailsPage_309_sha512_sphlib-small Details]
|[wiki:r2011ciphers_skein256256 skein256256] || [wiki:r2011platformsimplementations_fritzbox-7170_skein256256_opt opt] || 69629 || 8800 || 1164 || 229 || 162 || 129 || 95 || 0.4 || [wiki:r2011measureDetailsPage_309_skein256256_opt Details]
|[wiki:r2011ciphers_skein512256 skein512256] || [wiki:r2011platformsimplementations_fritzbox-7170_skein512256_sphlib-small sphlib-small] || 52139 || 6539 || 819 || 235 || 176 || 146 || 116 || 0.6 || [wiki:r2011measureDetailsPage_309_skein512256_sphlib-small Details]
|[wiki:r2011ciphers_skein512512 skein512512] || [wiki:r2011platformsimplementations_fritzbox-7170_skein512512_sphlib-small sphlib-small] || 52391 || 6574 || 824 || 236 || 176 || 146 || 116 || 21.6 || [wiki:r2011measureDetailsPage_309_skein512512_sphlib-small Details]
