| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''Details''' 
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_artila_m501_0hash_empty empty] || 1080 || 136 || 17 || 2 || 1 || 1 || 0 || 15.4 || [wiki:r2011measureDetailsPage_313_0hash_empty Details]
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_artila_m501_blake256_sphlib sphlib] || 25211 || 3163 || 462 || 113 || 87 || 75 || 62 || 0.9 || [wiki:r2011measureDetailsPage_313_blake256_sphlib Details]
|[wiki:r2011ciphers_blake512 blake512] || [wiki:r2011platformsimplementations_artila_m501_blake512_sphlib-small sphlib-small] || 35483 || 4452 || 557 || 204 || 169 || 152 || 134 || 1.2 || [wiki:r2011measureDetailsPage_313_blake512_sphlib-small Details]
|[wiki:r2011ciphers_groestl256 groestl256] || [wiki:r2011platformsimplementations_artila_m501_groestl256_arm32 arm32] || 53021 || 6653 || 995 || 260 || 208 || 182 || 155 || 0.9 || [wiki:r2011measureDetailsPage_313_groestl256_arm32 Details]
|[wiki:r2011ciphers_groestl512 groestl512] || [wiki:r2011platformsimplementations_artila_m501_groestl512_arm32 arm32] || 95378 || 11917 || 1495 || 392 || 299 || 252 || 205 || 1.0 || [wiki:r2011measureDetailsPage_313_groestl512_arm32 Details]
|[wiki:r2011ciphers_jh256 jh256] || [wiki:r2011platformsimplementations_artila_m501_jh256_opt32 opt32] || 35438 || 7611 || 942 || 461 || 426 || 409 || 391 || 2.0 || [wiki:r2011measureDetailsPage_313_jh256_opt32 Details]
|[wiki:r2011ciphers_jh512 jh512] || [wiki:r2011platformsimplementations_artila_m501_jh512_opt32 opt32] || 35348 || 7635 || 947 || 460 || 426 || 415 || 404 || 2.1 || [wiki:r2011measureDetailsPage_313_jh512_opt32 Details]
|[wiki:r2011ciphers_keccakc1024 keccakc1024] || [wiki:r2011platformsimplementations_artila_m501_keccakc1024_opt32bi-rvku2 opt32bi-rvku2] || 26494 || 3362 || 423 || 249 || 222 || 207 || 193 || 0.7 || [wiki:r2011measureDetailsPage_313_keccakc1024_opt32bi-rvku2 Details]
|[wiki:r2011ciphers_keccakc512 keccakc512] || [wiki:r2011platformsimplementations_artila_m501_keccakc512_opt32bi-rvku2 opt32bi-rvku2] || 27911 || 3542 || 444 || 145 || 130 || 122 || 114 || 0.9 || [wiki:r2011measureDetailsPage_313_keccakc512_opt32bi-rvku2 Details]
|[wiki:r2011ciphers_round3jh256 round3jh256] || [wiki:r2011platformsimplementations_artila_m501_round3jh256_sphlib sphlib] || 58703 || 10959 || 1607 || 597 || 524 || 488 || 451 || 4.6 || [wiki:r2011measureDetailsPage_313_round3jh256_sphlib Details]
|[wiki:r2011ciphers_round3jh512 round3jh512] || [wiki:r2011platformsimplementations_artila_m501_round3jh512_sphlib sphlib] || 58613 || 10972 || 1610 || 597 || 524 || 505 || 486 || 4.6 || [wiki:r2011measureDetailsPage_313_round3jh512_sphlib Details]
|[wiki:r2011ciphers_sha1 sha1] || [wiki:r2011platformsimplementations_artila_m501_sha1_avrcryptolib avrcryptolib] || 17921 || 2229 || 492 || 248 || 231 || 222 || 213 || 0.6 || [wiki:r2011measureDetailsPage_313_sha1_avrcryptolib Details]
|[wiki:r2011ciphers_sha256 sha256] || [wiki:r2011platformsimplementations_artila_m501_sha256_sphlib-small sphlib-small] || 12544 || 1614 || 246 || 72 || 60 || 53 || 47 || 1.6 || [wiki:r2011measureDetailsPage_313_sha256_sphlib-small Details]
|[wiki:r2011ciphers_sha512 sha512] || [wiki:r2011platformsimplementations_artila_m501_sha512_sphlib-small sphlib-small] || 25729 || 3274 || 409 || 173 || 148 || 135 || 122 || 0.9 || [wiki:r2011measureDetailsPage_313_sha512_sphlib-small Details]
|[wiki:r2011ciphers_skein256256 skein256256] || [wiki:r2011platformsimplementations_artila_m501_skein256256_opt opt] || 26831 || 3381 || 484 || 158 || 135 || 123 || 112 || 0.8 || [wiki:r2011measureDetailsPage_313_skein256256_opt Details]
|[wiki:r2011ciphers_skein512256 skein512256] || [wiki:r2011platformsimplementations_artila_m501_skein512256_sphlib-small sphlib-small] || 29059 || 3635 || 456 || 207 || 183 || 170 || 157 || 0.9 || [wiki:r2011measureDetailsPage_313_skein512256_sphlib-small Details]
|[wiki:r2011ciphers_skein512512 skein512512] || [wiki:r2011platformsimplementations_artila_m501_skein512512_sphlib-small sphlib-small] || 29149 || 3665 || 459 || 208 || 182 || 170 || 158 || 1.5 || [wiki:r2011measureDetailsPage_313_skein512512_sphlib-small Details]
