| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''Details''' 
|[wiki:r2012ciphers_0hash 0hash] || [wiki:r2012platformsimplementations_artila_m501_0hash_empty empty] || 1080 || 131 || 17 || 2 || 1 || 1 || 0 || 13.4 || [wiki:r2012measureDetailsPage_325_0hash_empty Details]
|[wiki:r2012ciphers_bblake256 bblake256] || [wiki:r2012platformsimplementations_artila_m501_bblake256_regs regs] || 49253 || 6157 || 839 || 163 || 114 || 90 || 66 || 1.0 || [wiki:r2012measureDetailsPage_325_bblake256_regs Details]
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_artila_m501_blake256_sphlib sphlib] || 24953 || 3109 || 456 || 112 || 87 || 75 || 62 || 2.0 || [wiki:r2012measureDetailsPage_325_blake256_sphlib Details]
|[wiki:r2012ciphers_blake512 blake512] || [wiki:r2012platformsimplementations_artila_m501_blake512_sphlib-small sphlib-small] || 35775 || 4397 || 551 || 204 || 169 || 152 || 134 || 34.1 || [wiki:r2012measureDetailsPage_325_blake512_sphlib-small Details]
|[wiki:r2012ciphers_groestl256 groestl256] || [wiki:r2012platformsimplementations_artila_m501_groestl256_arm32 arm32] || 52560 || 6529 || 988 || 260 || 208 || 182 || 156 || 1.3 || [wiki:r2012measureDetailsPage_325_groestl256_arm32 Details]
|[wiki:r2012ciphers_groestl512 groestl512] || [wiki:r2012platformsimplementations_artila_m501_groestl512_arm32 arm32] || 94174 || 11807 || 1483 || 393 || 298 || 252 || 206 || 12.6 || [wiki:r2012measureDetailsPage_325_groestl512_arm32 Details]
|[wiki:r2012ciphers_jh256 jh256] || [wiki:r2012platformsimplementations_artila_m501_jh256_opt32 opt32] || 34954 || 7597 || 940 || 461 || 438 || 409 || 379 || 2.9 || [wiki:r2012measureDetailsPage_325_jh256_opt32 Details]
|[wiki:r2012ciphers_jh512 jh512] || [wiki:r2012platformsimplementations_artila_m501_jh512_opt32 opt32] || 35033 || 7614 || 944 || 460 || 426 || 409 || 392 || 1.5 || [wiki:r2012measureDetailsPage_325_jh512_opt32 Details]
|[wiki:r2012ciphers_keccakc1024 keccakc1024] || [wiki:r2012platformsimplementations_artila_m501_keccakc1024_opt32bi-rvku2 opt32bi-rvku2] || 25976 || 3333 || 416 || 249 || 221 || 207 || 193 || 1.1 || [wiki:r2012measureDetailsPage_325_keccakc1024_opt32bi-rvku2 Details]
|[wiki:r2012ciphers_keccakc512 keccakc512] || [wiki:r2012platformsimplementations_artila_m501_keccakc512_opt32bi-rvku2 opt32bi-rvku2] || 27551 || 3534 || 443 || 145 || 130 || 122 || 115 || 1.7 || [wiki:r2012measureDetailsPage_325_keccakc512_opt32bi-rvku2 Details]
|[wiki:r2012ciphers_mgrostl256 mgrostl256] || [wiki:r2012platformsimplementations_artila_m501_mgrostl256_ref ref] || 854449 || 108418 || 13354 || 6590 || 5745 || 5321 || 4897 || 1.6 || [wiki:r2012measureDetailsPage_325_mgrostl256_ref Details]
|[wiki:r2012ciphers_round3jh256 round3jh256] || [wiki:r2012platformsimplementations_artila_m501_round3jh256_sphlib sphlib] || 58444 || 10925 || 1601 || 597 || 524 || 504 || 485 || 10.7 || [wiki:r2012measureDetailsPage_325_round3jh256_sphlib Details]
|[wiki:r2012ciphers_round3jh512 round3jh512] || [wiki:r2012platformsimplementations_artila_m501_round3jh512_sphlib sphlib] || 58117 || 10906 || 1601 || 597 || 552 || 488 || 423 || 6.1 || [wiki:r2012measureDetailsPage_325_round3jh512_sphlib Details]
|[wiki:r2012ciphers_sha1 sha1] || [wiki:r2012platformsimplementations_artila_m501_sha1_armcryptolib armcryptolib] || 17854 || 2240 || 492 || 248 || 231 || 227 || 224 || 3.3 || [wiki:r2012measureDetailsPage_325_sha1_armcryptolib Details]
|[wiki:r2012ciphers_sha256 sha256] || [wiki:r2012platformsimplementations_artila_m501_sha256_sphlib-small sphlib-small] || 12510 || 1610 || 244 || 72 || 59 || 53 || 47 || 2.0 || [wiki:r2012measureDetailsPage_325_sha256_sphlib-small Details]
|[wiki:r2012ciphers_sha512 sha512] || [wiki:r2012platformsimplementations_artila_m501_sha512_sphlib-small sphlib-small] || 25841 || 3249 || 406 || 173 || 148 || 135 || 123 || 2.0 || [wiki:r2012measureDetailsPage_325_sha512_sphlib-small Details]
|[wiki:r2012ciphers_skein256256 skein256256] || [wiki:r2012platformsimplementations_artila_m501_skein256256_opt opt] || 26168 || 3313 || 475 || 157 || 134 || 123 || 112 || 2.5 || [wiki:r2012measureDetailsPage_325_skein256256_opt Details]
|[wiki:r2012ciphers_skein512256 skein512256] || [wiki:r2012platformsimplementations_artila_m501_skein512256_sphlib-small sphlib-small] || 29081 || 3610 || 450 || 207 || 182 || 170 || 157 || 1.2 || [wiki:r2012measureDetailsPage_325_skein512256_sphlib-small Details]
|[wiki:r2012ciphers_skein512512 skein512512] || [wiki:r2012platformsimplementations_artila_m501_skein512512_sphlib-small sphlib-small] || 29003 || 3624 || 454 || 207 || 182 || 170 || 157 || 3.7 || [wiki:r2012measureDetailsPage_325_skein512512_sphlib-small Details]
