| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''Details''' 
|[wiki:r2012ciphers_0hash 0hash] || [wiki:r2012platformsimplementations_lpc1114-evb_0hash_empty empty] || 127 || 16 || 2 || 0 || 0 || 0 || 0 || 0.8 || [wiki:r2012measureDetailsPage_319_0hash_empty Details]
|[wiki:r2012ciphers_blake256 blake256] || [wiki:r2012platformsimplementations_lpc1114-evb_blake256_sphlib sphlib] || 8838 || 1120 || 249 || 127 || 118 || 114 || 109 || 0.3 || [wiki:r2012measureDetailsPage_319_blake256_sphlib Details]
|[wiki:r2012ciphers_blake512 blake512] || [wiki:r2012platformsimplementations_lpc1114-evb_blake512_sphlib sphlib] || 33664 || 4222 || 526 || 310 || 276 || 260 || 243 || 0.0 || [wiki:r2012measureDetailsPage_319_blake512_sphlib Details]
|[wiki:r2012ciphers_groestl256 groestl256] || [wiki:r2012platformsimplementations_lpc1114-evb_groestl256_sphlib-small sphlib-small] || 79074 || 9898 || 2045 || 960 || 882 || 844 || 805 || 0.0 || [wiki:r2012measureDetailsPage_319_groestl256_sphlib-small Details]
|[wiki:r2012ciphers_groestl512 groestl512] || [wiki:r2012platformsimplementations_lpc1114-evb_groestl512_sphlib-small sphlib-small] || 272463 || 34073 || 4257 || 1970 || 1704 || 1571 || 1437 || 0.0 || [wiki:r2012measureDetailsPage_319_groestl512_sphlib-small Details]
|[wiki:r2012ciphers_jh256 jh256] || [wiki:r2012platformsimplementations_lpc1114-evb_jh256_sphlib sphlib] || 45645 || 11094 || 1389 || 761 || 716 || 694 || 671 || 0.0 || [wiki:r2012measureDetailsPage_319_jh256_sphlib Details]
|[wiki:r2012ciphers_jh512 jh512] || [wiki:r2012platformsimplementations_lpc1114-evb_jh512_sphlib sphlib] || 45669 || 11097 || 1389 || 761 || 716 || 694 || 671 || 0.0 || [wiki:r2012measureDetailsPage_319_jh512_sphlib Details]
|[wiki:r2012ciphers_keccakc1024 keccakc1024] || [wiki:r2012platformsimplementations_lpc1114-evb_keccakc1024_inplace32bi-armv6m_gcc inplace32bi-armv6m_gcc] || 21383 || 2697 || 358 || 340 || 319 || 308 || 298 || 0.0 || [wiki:r2012measureDetailsPage_319_keccakc1024_inplace32bi-armv6m_gcc Details]
|[wiki:r2012ciphers_keccakc512 keccakc512] || [wiki:r2012platformsimplementations_lpc1114-evb_keccakc512_inplace32bi-armv6m_gcc inplace32bi-armv6m_gcc] || 21249 || 2680 || 356 || 185 || 184 || 183 || 183 || 0.0 || [wiki:r2012measureDetailsPage_319_keccakc512_inplace32bi-armv6m_gcc Details]
|[wiki:r2012ciphers_round3jh256 round3jh256] || [wiki:r2012platformsimplementations_lpc1114-evb_round3jh256_sphlib sphlib] || 45645 || 11094 || 1389 || 761 || 716 || 694 || 671 || 0.0 || [wiki:r2012measureDetailsPage_319_round3jh256_sphlib Details]
|[wiki:r2012ciphers_round3jh512 round3jh512] || [wiki:r2012platformsimplementations_lpc1114-evb_round3jh512_sphlib sphlib] || 45668 || 11097 || 1389 || 761 || 716 || 694 || 671 || 0.0 || [wiki:r2012measureDetailsPage_319_round3jh512_sphlib Details]
|[wiki:r2012ciphers_sha1 sha1] || [wiki:r2012platformsimplementations_lpc1114-evb_sha1_avrcryptolib avrcryptolib] || 35220 || 4413 || 1085 || 604 || 570 || 553 || 535 || 0.4 || [wiki:r2012measureDetailsPage_319_sha1_avrcryptolib Details]
|[wiki:r2012ciphers_sha256 sha256] || [wiki:r2012platformsimplementations_lpc1114-evb_sha256_sphlib-small sphlib-small] || 9034 || 1150 || 267 || 144 || 135 || 131 || 126 || 0.0 || [wiki:r2012measureDetailsPage_319_sha256_sphlib-small Details]
|[wiki:r2012ciphers_sha512 sha512] || [wiki:r2012platformsimplementations_lpc1114-evb_sha512_sphlib-small sphlib-small] || 31514 || 3960 || 495 || 299 || 268 || 252 || 237 || 0.0 || [wiki:r2012measureDetailsPage_319_sha512_sphlib-small Details]
|[wiki:r2012ciphers_skein512256 skein512256] || [wiki:r2012platformsimplementations_lpc1114-evb_skein512256_sphlib-small sphlib-small] || 30356 || 3808 || 475 || 259 || 244 || 236 || 228 || 0.0 || [wiki:r2012measureDetailsPage_319_skein512256_sphlib-small Details]
|[wiki:r2012ciphers_skein512512 skein512512] || [wiki:r2012platformsimplementations_lpc1114-evb_skein512512_sphlib-small sphlib-small] || 30485 || 3824 || 477 || 260 || 244 || 236 || 228 || 0.0 || [wiki:r2012measureDetailsPage_319_skein512512_sphlib-small Details]
