| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''Details''' 
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_beagleboard_xm_0hash_empty empty] || 6250 || 774 || 98 || 13 || 7 || 4 || 0 || 13.6 || [wiki:r2011measureDetailsPage_306_0hash_empty Details]
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_beagleboard_xm_blake256_vect128-neon vect128-neon] || 10813 || 1328 || 190 || 44 || 34 || 28 || 23 || 13.5 || [wiki:r2011measureDetailsPage_306_blake256_vect128-neon Details]
|[wiki:r2011ciphers_blake512 blake512] || [wiki:r2011platformsimplementations_beagleboard_xm_blake512_vect128-neon-fixalign vect128-neon-fixalign] || 13438 || 1703 || 213 || 50 || 37 || 31 || 24 || 15.3 || [wiki:r2011measureDetailsPage_306_blake512_vect128-neon-fixalign Details]
|[wiki:r2011ciphers_groestl256 groestl256] || [wiki:r2011platformsimplementations_beagleboard_xm_groestl256_arm32 arm32] || 22438 || 2774 || 427 || 125 || 104 || 94 || 83 || 13.5 || [wiki:r2011measureDetailsPage_306_groestl256_arm32 Details]
|[wiki:r2011ciphers_groestl512 groestl512] || [wiki:r2011platformsimplementations_beagleboard_xm_groestl512_arm32 arm32] || 40563 || 5055 || 638 || 192 || 151 || 131 || 110 || 9.0 || [wiki:r2011measureDetailsPage_306_groestl512_arm32 Details]
|[wiki:r2011ciphers_jh256 jh256] || [wiki:r2011platformsimplementations_beagleboard_xm_jh256_arm11 arm11] || 17125 || 3133 || 379 || 146 || 129 || 120 || 112 || 7.6 || [wiki:r2011measureDetailsPage_306_jh256_arm11 Details]
|[wiki:r2011ciphers_jh512 jh512] || [wiki:r2011platformsimplementations_beagleboard_xm_jh512_opt32 opt32] || 20125 || 3969 || 496 || 219 || 199 || 190 || 180 || 4.9 || [wiki:r2011measureDetailsPage_306_jh512_opt32 Details]
|[wiki:r2011ciphers_keccakc1024 keccakc1024] || [wiki:r2011platformsimplementations_beagleboard_xm_keccakc1024_inplace-armv7a-neon inplace-armv7a-neon] || 11438 || 1438 || 179 || 85 || 72 || 66 || 60 || 10.6 || [wiki:r2011measureDetailsPage_306_keccakc1024_inplace-armv7a-neon Details]
|[wiki:r2011ciphers_keccakc512 keccakc512] || [wiki:r2011platformsimplementations_beagleboard_xm_keccakc512_inplace-armv7a-neon inplace-armv7a-neon] || 12375 || 1539 || 193 || 52 || 43 || 40 || 36 || 15.0 || [wiki:r2011measureDetailsPage_306_keccakc512_inplace-armv7a-neon Details]
|[wiki:r2011ciphers_round3jh256 round3jh256] || [wiki:r2011platformsimplementations_beagleboard_xm_round3jh256_arm11 arm11] || 16250 || 3016 || 367 || 145 || 128 || 120 || 111 || 6.3 || [wiki:r2011measureDetailsPage_306_round3jh256_arm11 Details]
|[wiki:r2011ciphers_round3jh512 round3jh512] || [wiki:r2011platformsimplementations_beagleboard_xm_round3jh512_sphlib sphlib] || 23875 || 4547 || 572 || 245 || 222 || 210 || 199 || 5.2 || [wiki:r2011measureDetailsPage_306_round3jh512_sphlib Details]
|[wiki:r2011ciphers_sha1 sha1] || [wiki:r2011platformsimplementations_beagleboard_xm_sha1_avrcryptolib avrcryptolib] || 14688 || 1852 || 353 || 152 || 138 || 131 || 125 || 5.1 || [wiki:r2011measureDetailsPage_306_sha1_avrcryptolib Details]
|[wiki:r2011ciphers_sha256 sha256] || [wiki:r2011platformsimplementations_beagleboard_xm_sha256_sphlib-small sphlib-small] || 10250 || 1289 || 189 || 47 || 36 || 31 || 26 || 11.3 || [wiki:r2011measureDetailsPage_306_sha256_sphlib-small Details]
|[wiki:r2011ciphers_sha512 sha512] || [wiki:r2011platformsimplementations_beagleboard_xm_sha512_sphlib sphlib] || 20313 || 2555 || 320 || 131 || 111 || 101 || 91 || 6.3 || [wiki:r2011measureDetailsPage_306_sha512_sphlib Details]
|[wiki:r2011ciphers_skein256256 skein256256] || [wiki:r2011platformsimplementations_beagleboard_xm_skein256256_arm_neon arm_neon] || 8688 || 1086 || 149 || 38 || 30 || 26 || 22 || 11.2 || [wiki:r2011measureDetailsPage_306_skein256256_arm_neon Details]
|[wiki:r2011ciphers_skein512256 skein512256] || [wiki:r2011platformsimplementations_beagleboard_xm_skein512256_arm_neon arm_neon] || 9750 || 1234 || 154 || 36 || 27 || 23 || 19 || 9.5 || [wiki:r2011measureDetailsPage_306_skein512256_arm_neon Details]
|[wiki:r2011ciphers_skein512512 skein512512] || [wiki:r2011platformsimplementations_beagleboard_xm_skein512512_arm_neon arm_neon] || 10438 || 1289 || 161 || 37 || 28 || 24 || 19 || 10.3 || [wiki:r2011measureDetailsPage_306_skein512512_arm_neon Details]
