| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_fritzbox-7170_0hash_empty empty] || 12707 || 1592 || 196 || 25 || 12 || 6 || 0 || [wiki:measureDetailsPage_11_0hash_empty Details]
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || 35099 || 4394 || 605 || 126 || 92 || 75 || 58 || [wiki:measureDetailsPage_11_blake32_sphlib-small Details]
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || 39777 || 5023 || 634 || 208 || 169 || 149 || 129 || [wiki:measureDetailsPage_11_blake64_armcryptolib Details]
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_armcryptolib-speed armcryptolib-speed] || 50350 || 6324 || 816 || 135 || 87 || 62 || 37 || [wiki:measureDetailsPage_11_bmw256_armcryptolib-speed Details]
|[wiki:ciphers_bmw512 bmw512] || [wiki:platformsimplementations_fritzbox-7170_bmw512_sphlib-small sphlib-small] || 79699 || 10111 || 1268 || 226 || 148 || 108 || 68 || [wiki:measureDetailsPage_11_bmw512_sphlib-small Details]
|[wiki:ciphers_cubehash161 cubehash161] || [wiki:platformsimplementations_fritzbox-7170_cubehash161_unrolled unrolled] || 135839 || 22384 || 7488 || 5656 || 5510 || 5439 || 5368 || [wiki:measureDetailsPage_11_cubehash161_unrolled Details]
|[wiki:ciphers_cubehash1616 cubehash1616] || [wiki:platformsimplementations_fritzbox-7170_cubehash1616_unrolled unrolled] || 136157 || 17114 || 2514 || 643 || 510 || 443 || 376 || [wiki:measureDetailsPage_11_cubehash1616_unrolled Details]
|[wiki:ciphers_cubehash162 cubehash162] || [wiki:platformsimplementations_fritzbox-7170_cubehash162_unrolled unrolled] || 135892 || 19751 || 4831 || 2967 || 2849 || 2777 || 2704 || [wiki:measureDetailsPage_11_cubehash162_unrolled Details]
|[wiki:ciphers_cubehash1632 cubehash1632] || [wiki:platformsimplementations_fritzbox-7170_cubehash1632_sphlib-small sphlib-small] || 90723 || 11365 || 1856 || 374 || 268 || 215 || 163 || [wiki:measureDetailsPage_11_cubehash1632_sphlib-small Details]
|[wiki:ciphers_cubehash164 cubehash164] || [wiki:platformsimplementations_fritzbox-7170_cubehash164_unrolled unrolled] || 135919 || 18449 || 3506 || 1639 || 1506 || 1447 || 1388 || [wiki:measureDetailsPage_11_cubehash164_unrolled Details]
|[wiki:ciphers_cubehash168 cubehash168] || [wiki:platformsimplementations_fritzbox-7170_cubehash168_unrolled unrolled] || 135773 || 17750 || 2839 || 975 || 842 || 775 || 709 || [wiki:measureDetailsPage_11_cubehash168_unrolled Details]
|[wiki:ciphers_cubehash81 cubehash81] || [wiki:platformsimplementations_fritzbox-7170_cubehash81_unrolled unrolled] || 82707 || 13182 || 4115 || 2978 || 2911 || 2865 || 2820 || [wiki:measureDetailsPage_11_cubehash81_unrolled Details]
|[wiki:ciphers_cubehash816 cubehash816] || [wiki:platformsimplementations_fritzbox-7170_cubehash816_unrolled unrolled] || 82601 || 10415 || 1512 || 379 || 299 || 258 || 217 || [wiki:measureDetailsPage_11_cubehash816_unrolled Details]
|[wiki:ciphers_cubehash82 cubehash82] || [wiki:platformsimplementations_fritzbox-7170_cubehash82_unrolled unrolled] || 82256 || 11769 || 2721 || 1592 || 1511 || 1478 || 1446 || [wiki:measureDetailsPage_11_cubehash82_unrolled Details]
|[wiki:ciphers_cubehash832 cubehash832] || [wiki:platformsimplementations_fritzbox-7170_cubehash832_unrolled unrolled] || 82362 || 10418 || 1426 || 293 || 212 || 171 || 131 || [wiki:measureDetailsPage_11_cubehash832_unrolled Details]
|[wiki:ciphers_cubehash84 cubehash84] || [wiki:platformsimplementations_fritzbox-7170_cubehash84_unrolled unrolled] || 82230 || 11104 || 2037 || 899 || 818 || 778 || 737 || [wiki:measureDetailsPage_11_cubehash84_unrolled Details]
|[wiki:ciphers_cubehash88 cubehash88] || [wiki:platformsimplementations_fritzbox-7170_cubehash88_unrolled unrolled] || 82707 || 10794 || 1691 || 553 || 472 || 431 || 391 || [wiki:measureDetailsPage_11_cubehash88_unrolled Details]
|[wiki:ciphers_echo256 echo256] || [wiki:platformsimplementations_fritzbox-7170_echo256_sphlib-small sphlib-small] || 73418 || 9199 || 1158 || 278 || 238 || 201 || 164 || [wiki:measureDetailsPage_11_echo256_sphlib-small Details]
|[wiki:ciphers_echo512 echo512] || [wiki:platformsimplementations_fritzbox-7170_echo512_sphlib-small sphlib-small] || 81832 || 10345 || 1290 || 485 || 405 || 365 || 324 || [wiki:measureDetailsPage_11_echo512_sphlib-small Details]
