| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_fritzbox-7170_0hash_empty empty] || 12707 || 1582 || 199 || 24 || 12 || 7 || 1 || [wiki:measureDetailsPage_31_0hash_empty Details]
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || 34848 || 4358 || 595 || 125 || 92 || 81 || 70 || [wiki:measureDetailsPage_31_blake32_sphlib-small Details]
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || 39724 || 5014 || 629 || 208 || 169 || 156 || 144 || [wiki:measureDetailsPage_31_blake64_armcryptolib Details]
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_optbgbe optbgbe] || 48058 || 6026 || 785 || 130 || 83 || 67 || 51 || [wiki:measureDetailsPage_31_bmw256_optbgbe Details]
|[wiki:ciphers_bmw512 bmw512] || [wiki:platformsimplementations_fritzbox-7170_bmw512_sphlib-small sphlib-small] || 79275 || 10050 || 1260 || 226 || 147 || 129 || 112 || [wiki:measureDetailsPage_31_bmw512_sphlib-small Details]
|[wiki:ciphers_cubehash1632 cubehash1632] || [wiki:platformsimplementations_fritzbox-7170_cubehash1632_sphlib-small sphlib-small] || 90643 || 11340 || 1851 || 374 || 268 || 225 || 183 || [wiki:measureDetailsPage_31_cubehash1632_sphlib-small Details]
|[wiki:ciphers_echo256 echo256] || [wiki:platformsimplementations_fritzbox-7170_echo256_sphlib-small sphlib-small] || 72915 || 9149 || 1145 || 275 || 236 || 210 || 184 || [wiki:measureDetailsPage_31_echo256_sphlib-small Details]
|[wiki:ciphers_echo512 echo512] || [wiki:platformsimplementations_fritzbox-7170_echo512_sphlib-small sphlib-small] || 81766 || 10188 || 1279 || 485 || 404 || 375 || 347 || [wiki:measureDetailsPage_31_echo512_sphlib-small Details]
|[wiki:ciphers_fugue256 fugue256] || [wiki:platformsimplementations_fritzbox-7170_fugue256_sphlib sphlib] || 69284 || 10002 || 1436 || 266 || 182 || 151 || 120 || [wiki:measureDetailsPage_31_fugue256_sphlib Details]
|[wiki:ciphers_fugue512 fugue512] || [wiki:platformsimplementations_fritzbox-7170_fugue512_sphlib sphlib] || 102635 || 14184 || 1939 || 402 || 294 || 258 || 222 || [wiki:measureDetailsPage_31_fugue512_sphlib Details]
|[wiki:ciphers_groestl256 groestl256] || [wiki:platformsimplementations_fritzbox-7170_groestl256_opt32-xbx-rolled opt32-xbx-rolled] || 175722 || 21856 || 3075 || 632 || 456 || 477 || 499 || [wiki:measureDetailsPage_31_groestl256_opt32-xbx-rolled Details]
|[wiki:ciphers_groestl512 groestl512] || [wiki:platformsimplementations_fritzbox-7170_groestl512_sphlib-small sphlib-small] || 156748 || 19580 || 2457 || 813 || 660 || 607 || 553 || [wiki:measureDetailsPage_31_groestl512_sphlib-small Details]
|[wiki:ciphers_hamsi hamsi] || [wiki:platformsimplementations_fritzbox-7170_hamsi_sphlib-small sphlib-small] || 52483 || 7016 || 1166 || 345 || 282 || 263 || 244 || [wiki:measureDetailsPage_31_hamsi_sphlib-small Details]
|[wiki:ciphers_hamsi512 hamsi512] || [wiki:platformsimplementations_fritzbox-7170_hamsi512_sphlib-small sphlib-small] || 78096 || 14260 || 2052 || 943 || 858 || 850 || 842 || [wiki:measureDetailsPage_31_hamsi512_sphlib-small Details]
|[wiki:ciphers_jh256 jh256] || [wiki:platformsimplementations_fritzbox-7170_jh256_sphlib-small sphlib-small] || 66489 || 10655 || 1330 || 418 || 353 || 334 || 314 || [wiki:measureDetailsPage_31_jh256_sphlib-small Details]
|[wiki:ciphers_jh512 jh512] || [wiki:platformsimplementations_fritzbox-7170_jh512_sphlib-small sphlib-small] || 66846 || 10633 || 1327 || 418 || 353 || 336 || 319 || [wiki:measureDetailsPage_31_jh512_sphlib-small Details]
|[wiki:ciphers_keccak keccak] || [wiki:platformsimplementations_fritzbox-7170_keccak_opt32u2nit_xbx opt32u2nit_xbx] || 73591 || 9462 || 1184 || 284 || 209 || 188 || 167 || [wiki:measureDetailsPage_31_keccak_opt32u2nit_xbx Details]
|[wiki:ciphers_keccakc1024 keccakc1024] || [wiki:platformsimplementations_fritzbox-7170_keccakc1024_sphlib-small sphlib-small] || 100276 || 12541 || 1563 || 640 || 540 || 618 || 695 || [wiki:measureDetailsPage_31_keccakc1024_sphlib-small Details]
|[wiki:ciphers_keccakc512 keccakc512] || [wiki:platformsimplementations_fritzbox-7170_keccakc512_opt32u2nit_xbx opt32u2nit_xbx] || 72186 || 9232 || 1161 || 252 || 193 || 175 || 158 || [wiki:measureDetailsPage_31_keccakc512_opt32u2nit_xbx Details]
|[wiki:ciphers_luffa256 luffa256] || [wiki:platformsimplementations_fritzbox-7170_luffa256_sphlib sphlib] || 34795 || 4426 || 816 || 194 || 149 || 135 || 120 || [wiki:measureDetailsPage_31_luffa256_sphlib Details]
|[wiki:ciphers_luffa384 luffa384] || [wiki:platformsimplementations_fritzbox-7170_luffa384_arm arm] || 59015 || 7397 || 1235 || 415 || 357 || 338 || 320 || [wiki:measureDetailsPage_31_luffa384_arm Details]
