| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_nslu2-openwrt_0hash_empty empty] || 7099 || 890 || 110 || 14 || 7 || 3 || 0 || [wiki:measureDetailsPage_30_0hash_empty Details]
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_nslu2-openwrt_blake32_sphlib sphlib] || 31471 || 3942 || 544 || 114 || 83 || 68 || 52 || [wiki:measureDetailsPage_30_blake32_sphlib Details]
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_nslu2-openwrt_blake64_sphlib-small sphlib-small] || 44405 || 5576 || 696 || 236 || 192 || 170 || 148 || [wiki:measureDetailsPage_30_blake64_sphlib-small Details]
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_nslu2-openwrt_bmw256_sphlib sphlib] || 24406 || 3082 || 429 || 91 || 67 || 54 || 42 || [wiki:measureDetailsPage_30_bmw256_sphlib Details]
|[wiki:ciphers_bmw512 bmw512] || [wiki:platformsimplementations_nslu2-openwrt_bmw512_sphlib sphlib] || 67597 || 8471 || 1060 || 211 || 144 || 111 || 78 || [wiki:measureDetailsPage_30_bmw512_sphlib Details]
|[wiki:ciphers_cubehash1632 cubehash1632] || [wiki:platformsimplementations_nslu2-openwrt_cubehash1632_sphlib-small sphlib-small] || 70889 || 8861 || 1345 || 304 || 229 || 201 || 172 || [wiki:measureDetailsPage_30_cubehash1632_sphlib-small Details]
|[wiki:ciphers_echo256 echo256] || [wiki:platformsimplementations_nslu2-openwrt_echo256_sphlib-small sphlib-small] || 61114 || 7641 || 959 || 279 || 258 || 228 || 198 || [wiki:measureDetailsPage_30_echo256_sphlib-small Details]
|[wiki:ciphers_echo512 echo512] || [wiki:platformsimplementations_nslu2-openwrt_echo512_sphlib-small sphlib-small] || 70357 || 8807 || 1102 || 525 || 456 || 421 || 386 || [wiki:measureDetailsPage_30_echo512_sphlib-small Details]
|[wiki:ciphers_fugue256 fugue256] || [wiki:platformsimplementations_nslu2-openwrt_fugue256_sphlib sphlib] || 42776 || 5985 || 884 || 219 || 171 || 147 || 123 || [wiki:measureDetailsPage_30_fugue256_sphlib Details]
|[wiki:ciphers_fugue512 fugue512] || [wiki:platformsimplementations_nslu2-openwrt_fugue512_sphlib sphlib] || 71188 || 9609 || 1405 || 381 || 307 || 270 || 233 || [wiki:measureDetailsPage_30_fugue512_sphlib Details]
|[wiki:ciphers_groestl256 groestl256] || [wiki:platformsimplementations_nslu2-openwrt_groestl256_opt32-xbx-rolled opt32-xbx-rolled] || 106034 || 13271 || 1959 || 503 || 400 || 348 || 296 || [wiki:measureDetailsPage_30_groestl256_opt32-xbx-rolled Details]
|[wiki:ciphers_groestl512 groestl512] || [wiki:platformsimplementations_nslu2-openwrt_groestl512_sphlib sphlib] || 205618 || 25773 || 3227 || 992 || 789 || 688 || 587 || [wiki:measureDetailsPage_30_groestl512_sphlib Details]
|[wiki:ciphers_hamsi hamsi] || [wiki:platformsimplementations_nslu2-openwrt_hamsi_sphlib sphlib] || 27465 || 3849 || 788 || 377 || 328 || 294 || 260 || [wiki:measureDetailsPage_30_hamsi_sphlib Details]
|[wiki:ciphers_hamsi512 hamsi512] || [wiki:platformsimplementations_nslu2-openwrt_hamsi512_sphlib-small sphlib-small] || 43441 || 11187 || 1579 || 948 || 919 || 864 || 809 || [wiki:measureDetailsPage_30_hamsi512_sphlib-small Details]
|[wiki:ciphers_jh256 jh256] || [wiki:platformsimplementations_nslu2-openwrt_jh256_sphlib-small sphlib-small] || 49792 || 9445 || 1187 || 501 || 451 || 427 || 402 || [wiki:measureDetailsPage_30_jh256_sphlib-small Details]
|[wiki:ciphers_jh512 jh512] || [wiki:platformsimplementations_nslu2-openwrt_jh512_sphlib-small sphlib-small] || 49676 || 9426 || 1186 || 500 || 451 || 427 || 402 || [wiki:measureDetailsPage_30_jh512_sphlib-small Details]
|[wiki:ciphers_keccak keccak] || [wiki:platformsimplementations_nslu2-openwrt_keccak_opt32u2nit_xbx opt32u2nit_xbx] || 49193 || 6251 || 783 || 281 || 231 || 205 || 180 || [wiki:measureDetailsPage_30_keccak_opt32u2nit_xbx Details]
|[wiki:ciphers_keccakc1024 keccakc1024] || [wiki:platformsimplementations_nslu2-openwrt_keccakc1024_sphlib-small sphlib-small] || 79401 || 9931 || 1239 || 736 || 658 || 628 || 597 || [wiki:measureDetailsPage_30_keccakc1024_sphlib-small Details]
