| '''Cipher''' || '''Implementation''' || '''Empty Message''' || '''8 byte''' || '''64 bytes''' || '''512 bytes''' || '''1024 bytes''' || '''2048 bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_fritzbox-7170_0hash_empty empty] || 12694 || 1572 || 197 || 25 || 12 || 6 || 0 || [wiki:measureDetailsPage_10_0hash_empty Details]
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || 35152 || 4373 || 602 || 126 || 92 || 75 || 58 || [wiki:measureDetailsPage_10_blake32_sphlib-small Details]
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || 39538 || 4995 || 630 || 208 || 169 || 149 || 129 || [wiki:measureDetailsPage_10_blake64_armcryptolib Details]
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_armcryptolib-speed armcryptolib-speed] || 49900 || 6299 || 820 || 135 || 87 || 62 || 37 || [wiki:measureDetailsPage_10_bmw256_armcryptolib-speed Details]
|[wiki:ciphers_bmw512 bmw512] || [wiki:platformsimplementations_fritzbox-7170_bmw512_sphlib-small sphlib-small] || 79659 || 10083 || 1267 || 226 || 148 || 108 || 68 || [wiki:measureDetailsPage_10_bmw512_sphlib-small Details]
|[wiki:ciphers_cubehash161 cubehash161] || [wiki:platformsimplementations_fritzbox-7170_cubehash161_unrolled unrolled] || 135654 || 22384 || 7487 || 5653 || 5507 || 5439 || 5371 || [wiki:measureDetailsPage_10_cubehash161_unrolled Details]
|[wiki:ciphers_cubehash1616 cubehash1616] || [wiki:platformsimplementations_fritzbox-7170_cubehash1616_unrolled unrolled] || 136131 || 17109 || 2508 || 643 || 510 || 443 || 376 || [wiki:measureDetailsPage_10_cubehash1616_unrolled Details]
|[wiki:ciphers_cubehash162 cubehash162] || [wiki:platformsimplementations_fritzbox-7170_cubehash162_unrolled unrolled] || 135826 || 19753 || 4833 || 2967 || 2848 || 2777 || 2706 || [wiki:measureDetailsPage_10_cubehash162_unrolled Details]
|[wiki:ciphers_cubehash1632 cubehash1632] || [wiki:platformsimplementations_fritzbox-7170_cubehash1632_sphlib-small sphlib-small] || 91001 || 11413 || 1860 || 375 || 268 || 215 || 162 || [wiki:measureDetailsPage_10_cubehash1632_sphlib-small Details]
|[wiki:ciphers_cubehash164 cubehash164] || [wiki:platformsimplementations_fritzbox-7170_cubehash164_unrolled unrolled] || 135958 || 18426 || 3503 || 1639 || 1506 || 1447 || 1387 || [wiki:measureDetailsPage_10_cubehash164_unrolled Details]
|[wiki:ciphers_cubehash168 cubehash168] || [wiki:platformsimplementations_fritzbox-7170_cubehash168_unrolled unrolled] || 135561 || 17748 || 2837 || 975 || 842 || 775 || 708 || [wiki:measureDetailsPage_10_cubehash168_unrolled Details]
|[wiki:ciphers_cubehash81 cubehash81] || [wiki:platformsimplementations_fritzbox-7170_cubehash81_unrolled unrolled] || 82561 || 13187 || 4111 || 2978 || 2911 || 2864 || 2818 || [wiki:measureDetailsPage_10_cubehash81_unrolled Details]
