| '''Cipher''' || '''Implementation''' || '''Empty Message''' || '''8 byte''' || '''64 bytes''' || '''512 bytes''' || '''1024 bytes''' || '''2048 bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_atmega1281_16mhz_0hash_empty empty] || 72 || 9 || 1 || 0 || 0 || 0 || 0 || [wiki:measureDetailsPage_3_0hash_empty Details]
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_atmega1281_16mhz_blake32_sphlib sphlib] || 60206 || 7521 || 1841 || 1004 || 944 || 914 || 884 || [wiki:measureDetailsPage_3_blake32_sphlib Details]
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_atmega1281_16mhz_blake64_armcryptolib armcryptolib] || 497823 || 62252 || 7788 || 4767 || 4281 || 4038 || 3795 || [wiki:measureDetailsPage_3_blake64_armcryptolib Details]
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_atmega1281_16mhz_bmw256_avrcryptolib_asm avrcryptolib_asm] || 64288 || 8038 || 1489 || 610 || 548 || 516 || 485 || [wiki:measureDetailsPage_3_bmw256_avrcryptolib_asm Details]
|[wiki:ciphers_bmw512 bmw512] || [wiki:platformsimplementations_atmega1281_16mhz_bmw512_avrcryptolib avrcryptolib] || 766272 || 95792 || 11981 || 4466 || 3717 || 3343 || 2969 || [wiki:measureDetailsPage_3_bmw512_avrcryptolib Details]
|[wiki:ciphers_cubehash161 cubehash161] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash161_unrolled unrolled] || 3473278 || 599664 || 219705 || 172210 || 168817 || 167121 || 165425 || [wiki:measureDetailsPage_3_cubehash161_unrolled Details]
|[wiki:ciphers_cubehash1616 cubehash1616] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash1616_unrolled unrolled] || 3473277 || 434843 || 65191 || 17696 || 14303 || 12607 || 10911 || [wiki:measureDetailsPage_3_cubehash1616_unrolled Details]
|[wiki:ciphers_cubehash162 cubehash162] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash162_unrolled unrolled] || 3473284 || 517240 || 137281 || 89785 || 86392 || 84696 || 83000 || [wiki:measureDetailsPage_3_cubehash162_unrolled Details]
|[wiki:ciphers_cubehash1632 cubehash1632] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash1632_avrcryptolib_cwbasm avrcryptolib_cwbasm] || 2795615 || 349460 || 47850 || 9628 || 6898 || 5533 || 4168 || [wiki:measureDetailsPage_3_cubehash1632_avrcryptolib_cwbasm Details]
|[wiki:ciphers_cubehash164 cubehash164] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash164_unrolled unrolled] || 3473286 || 476070 || 96110 || 48615 || 45222 || 43526 || 41829 || [wiki:measureDetailsPage_3_cubehash164_unrolled Details]
|[wiki:ciphers_cubehash168 cubehash168] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash168_unrolled unrolled] || 3473286 || 455457 || 75498 || 28002 || 24609 || 22913 || 21217 || [wiki:measureDetailsPage_3_cubehash168_unrolled Details]
|[wiki:ciphers_cubehash81 cubehash81] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash81_unrolled unrolled] || 1762427 || 304338 || 111504 || 87399 || 85677 || 84816 || 83955 || [wiki:measureDetailsPage_3_cubehash81_unrolled Details]
|[wiki:ciphers_cubehash816 cubehash816] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash816_unrolled unrolled] || 1762427 || 220986 || 33367 || 9262 || 7541 || 6680 || 5819 || [wiki:measureDetailsPage_3_cubehash816_unrolled Details]
|[wiki:ciphers_cubehash82 cubehash82] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash82_unrolled unrolled] || 1762427 || 262648 || 69814 || 45709 || 43987 || 43126 || 42265 || [wiki:measureDetailsPage_3_cubehash82_unrolled Details]
|[wiki:ciphers_cubehash832 cubehash832] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash832_unrolled unrolled] || 1762427 || 220986 || 30761 || 6656 || 4934 || 4073 || 3212 || [wiki:measureDetailsPage_3_cubehash832_unrolled Details]
|[wiki:ciphers_cubehash84 cubehash84] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash84_unrolled unrolled] || 1762427 || 241845 || 49011 || 24906 || 23184 || 22323 || 21462 || [wiki:measureDetailsPage_3_cubehash84_unrolled Details]
|[wiki:ciphers_cubehash88 cubehash88] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash88_unrolled unrolled] || 1762423 || 231415 || 38582 || 14477 || 12755 || 11894 || 11033 || [wiki:measureDetailsPage_3_cubehash88_unrolled Details]
|[wiki:ciphers_echo256 echo256] || [wiki:platformsimplementations_atmega1281_16mhz_echo256_avrcryptolib avrcryptolib] || 220677 || 27587 || 3455 || 1285 || 1280 || 1173 || 1065 || [wiki:measureDetailsPage_3_echo256_avrcryptolib Details]
|[wiki:ciphers_echo512 echo512] || [wiki:platformsimplementations_atmega1281_16mhz_echo512_avrcryptolib avrcryptolib] || 272838 || 34108 || 4270 || 2642 || 2375 || 2242 || 2108 || [wiki:measureDetailsPage_3_echo512_avrcryptolib Details]
|[wiki:ciphers_essence224 essence224] || [wiki:platformsimplementations_atmega1281_16mhz_essence224_gcc gcc] || 480181 || 178245 || 29601 || 16515 || 15580 || 15113 || 14645 || [wiki:measureDetailsPage_3_essence224_gcc Details]
|[wiki:ciphers_essence256 essence256] || [wiki:platformsimplementations_atmega1281_16mhz_essence256_gcc gcc] || 480661 || 178305 || 29609 || 16516 || 15580 || 15113 || 14645 || [wiki:measureDetailsPage_3_essence256_gcc Details]
|[wiki:ciphers_essence384 essence384] || [wiki:platformsimplementations_atmega1281_16mhz_essence384_gcc gcc] || 1012342 || 371779 || 46468 || 19007 || 17045 || 16065 || 15084 || [wiki:measureDetailsPage_3_essence384_gcc Details]
|[wiki:ciphers_essence512 essence512] || [wiki:platformsimplementations_atmega1281_16mhz_essence512_gcc gcc] || 1018524 || 372552 || 46565 || 19019 || 17051 || 16068 || 15084 || [wiki:measureDetailsPage_3_essence512_gcc Details]
|[wiki:ciphers_fugue256 fugue256] || [wiki:platformsimplementations_atmega1281_16mhz_fugue256_sphlib sphlib] || 113353 || 15237 || 2611 || 1035 || 922 || 866 || 810 || [wiki:measureDetailsPage_3_fugue256_sphlib Details]
|[wiki:ciphers_fugue512 fugue512] || [wiki:platformsimplementations_atmega1281_16mhz_fugue512_sphlib sphlib] || 263856 || 34797 || 5704 || 2069 || 1809 || 1679 || 1549 || [wiki:measureDetailsPage_3_fugue512_sphlib Details]
|[wiki:ciphers_groestl512 groestl512] || [wiki:platformsimplementations_atmega1281_16mhz_groestl512_sphlib-small sphlib-small] || 654500 || 81807 || 10220 || 4647 || 4006 || 3686 || 3365 || [wiki:measureDetailsPage_3_groestl512_sphlib-small Details]
|[wiki:ciphers_hamsi hamsi] || [wiki:platformsimplementations_atmega1281_16mhz_hamsi_sphlib-small sphlib-small] || 89950 || 16595 || 6758 || 5529 || 5441 || 5397 || 5353 || [wiki:measureDetailsPage_3_hamsi_sphlib-small Details]
|[wiki:ciphers_jh224 jh224] || [wiki:platformsimplementations_atmega1281_16mhz_jh224_bitslice_opt32 bitslice_opt32] || 217375 || 53900 || 6727 || 3755 || 3543 || 3437 || 3331 || [wiki:measureDetailsPage_3_jh224_bitslice_opt32 Details]
|[wiki:ciphers_jh256 jh256] || [wiki:platformsimplementations_atmega1281_16mhz_jh256_sphlib-small sphlib-small] || 179153 || 43534 || 5470 || 2991 || 2814 || 2726 || 2637 || [wiki:measureDetailsPage_3_jh256_sphlib-small Details]
|[wiki:ciphers_jh384 jh384] || [wiki:platformsimplementations_atmega1281_16mhz_jh384_bitslice_opt32 bitslice_opt32] || 217524 || 53919 || 6729 || 3755 || 3543 || 3437 || 3331 || [wiki:measureDetailsPage_3_jh384_bitslice_opt32 Details]
