| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_fritzbox-7170_0hash_empty empty] || 12402 || 1555 || 194 || 24 || 12 || 6 || 0 || [wiki:measureDetailsPage_12_0hash_empty Details]
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || 35113 || 4389 || 605 || 126 || 92 || 75 || 58 || [wiki:measureDetailsPage_12_blake32_sphlib-small Details]
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || 39578 || 5025 || 634 || 209 || 169 || 149 || 129 || [wiki:measureDetailsPage_12_blake64_armcryptolib Details]
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_armcryptolib-speed armcryptolib-speed] || 50204 || 6317 || 822 || 136 || 87 || 62 || 37 || [wiki:measureDetailsPage_12_bmw256_armcryptolib-speed Details]
|[wiki:ciphers_bmw512 bmw512] || [wiki:platformsimplementations_fritzbox-7170_bmw512_sphlib-small sphlib-small] || 79540 || 10067 || 1265 || 226 || 148 || 108 || 68 || [wiki:measureDetailsPage_12_bmw512_sphlib-small Details]
|[wiki:ciphers_cubehash161 cubehash161] || [wiki:platformsimplementations_fritzbox-7170_cubehash161_unrolled unrolled] || 135945 || 22424 || 7486 || 5654 || 5510 || 5439 || 5367 || [wiki:measureDetailsPage_12_cubehash161_unrolled Details]
|[wiki:ciphers_cubehash1616 cubehash1616] || [wiki:platformsimplementations_fritzbox-7170_cubehash1616_unrolled unrolled] || 135985 || 17079 || 2503 || 643 || 510 || 443 || 377 || [wiki:measureDetailsPage_12_cubehash1616_unrolled Details]
|[wiki:ciphers_cubehash162 cubehash162] || [wiki:platformsimplementations_fritzbox-7170_cubehash162_unrolled unrolled] || 135905 || 19738 || 4827 || 2968 || 2849 || 2777 || 2706 || [wiki:measureDetailsPage_12_cubehash162_unrolled Details]
|[wiki:ciphers_cubehash1632 cubehash1632] || [wiki:platformsimplementations_fritzbox-7170_cubehash1632_sphlib-small sphlib-small] || 91094 || 11375 || 1857 || 374 || 268 || 215 || 163 || [wiki:measureDetailsPage_12_cubehash1632_sphlib-small Details]
|[wiki:ciphers_cubehash164 cubehash164] || [wiki:platformsimplementations_fritzbox-7170_cubehash164_unrolled unrolled] || 135945 || 18419 || 3502 || 1639 || 1506 || 1446 || 1387 || [wiki:measureDetailsPage_12_cubehash164_unrolled Details]
|[wiki:ciphers_cubehash168 cubehash168] || [wiki:platformsimplementations_fritzbox-7170_cubehash168_unrolled unrolled] || 135667 || 17724 || 2837 || 974 || 841 || 775 || 709 || [wiki:measureDetailsPage_12_cubehash168_unrolled Details]
|[wiki:ciphers_cubehash81 cubehash81] || [wiki:platformsimplementations_fritzbox-7170_cubehash81_unrolled unrolled] || 82640 || 13169 || 4111 || 2978 || 2911 || 2865 || 2819 || [wiki:measureDetailsPage_12_cubehash81_unrolled Details]
|[wiki:ciphers_cubehash816 cubehash816] || [wiki:platformsimplementations_fritzbox-7170_cubehash816_unrolled unrolled] || 82362 || 10428 || 1510 || 379 || 298 || 258 || 217 || [wiki:measureDetailsPage_12_cubehash816_unrolled Details]
|[wiki:ciphers_cubehash82 cubehash82] || [wiki:platformsimplementations_fritzbox-7170_cubehash82_unrolled unrolled] || 82336 || 11791 || 2726 || 1592 || 1511 || 1478 || 1446 || [wiki:measureDetailsPage_12_cubehash82_unrolled Details]
|[wiki:ciphers_cubehash832 cubehash832] || [wiki:platformsimplementations_fritzbox-7170_cubehash832_unrolled unrolled] || 82349 || 10420 || 1427 || 294 || 212 || 171 || 131 || [wiki:measureDetailsPage_12_cubehash832_unrolled Details]
|[wiki:ciphers_cubehash84 cubehash84] || [wiki:platformsimplementations_fritzbox-7170_cubehash84_unrolled unrolled] || 82137 || 11087 || 2035 || 900 || 818 || 778 || 737 || [wiki:measureDetailsPage_12_cubehash84_unrolled Details]
|[wiki:ciphers_cubehash88 cubehash88] || [wiki:platformsimplementations_fritzbox-7170_cubehash88_unrolled unrolled] || 82521 || 10787 || 1688 || 553 || 472 || 431 || 391 || [wiki:measureDetailsPage_12_cubehash88_unrolled Details]
|[wiki:ciphers_echo256 echo256] || [wiki:platformsimplementations_fritzbox-7170_echo256_sphlib-small sphlib-small] || 73683 || 9214 || 1159 || 277 || 238 || 201 || 164 || [wiki:measureDetailsPage_12_echo256_sphlib-small Details]
|[wiki:ciphers_echo512 echo512] || [wiki:platformsimplementations_fritzbox-7170_echo512_sphlib-small sphlib-small] || 82389 || 10363 || 1293 || 487 || 406 || 365 || 323 || [wiki:measureDetailsPage_12_echo512_sphlib-small Details]
|[wiki:ciphers_echosp256 echosp256] || [wiki:platformsimplementations_fritzbox-7170_echosp256_generic_opt32 generic_opt32] || 156257 || 19804 || 2491 || 672 || 505 || 462 || 419 || [wiki:measureDetailsPage_12_echosp256_generic_opt32 Details]
|[wiki:ciphers_echosp512 echosp512] || [wiki:platformsimplementations_fritzbox-7170_echosp512_generic_opt32 generic_opt32] || 172952 || 21889 || 2743 || 758 || 672 || 581 || 490 || [wiki:measureDetailsPage_12_echosp512_generic_opt32 Details]
|[wiki:ciphers_essence224 essence224] || [wiki:platformsimplementations_fritzbox-7170_essence224_gcc gcc] || 94645 || 24648 || 3838 || 1820 || 1676 || 1613 || 1551 || [wiki:measureDetailsPage_12_essence224_gcc Details]
|[wiki:ciphers_essence256 essence256] || [wiki:platformsimplementations_fritzbox-7170_essence256_gcc gcc] || 94923 || 24703 || 3837 || 1821 || 1676 || 1614 || 1551 || [wiki:measureDetailsPage_12_essence256_gcc Details]
