| '''Cipher''' || '''Implementation''' || '''Empty Message''' || '''8 byte''' || '''64 bytes''' || '''512 bytes''' || '''1024 bytes''' || '''2048 bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_artila_m501_0hash_empty empty] || 1136 || 134 || 13 || 2 || 1 || 1 || 0 || [wiki:measureDetailsPage_7_0hash_empty Details]
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_sphlib sphlib] || 20081 || 2481 || 353 || 86 || 66 || 57 || 47 || [wiki:measureDetailsPage_7_blake32_sphlib Details]
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_artila_m501_blake64_sphlib-small sphlib-small] || 34009 || 4224 || 520 || 185 || 159 || 137 || 114 || [wiki:measureDetailsPage_7_blake64_sphlib-small Details]
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_artila_m501_bmw256_optc04 optc04] || 20824 || 2589 || 352 || 66 || 46 || 35 || 25 || [wiki:measureDetailsPage_7_bmw256_optc04 Details]
|[wiki:ciphers_bmw512 bmw512] || [wiki:platformsimplementations_artila_m501_bmw512_sphlib-small sphlib-small] || 34909 || 4490 || 556 || 152 || 116 || 99 || 82 || [wiki:measureDetailsPage_7_bmw512_sphlib-small Details]
|[wiki:ciphers_cubehash161 cubehash161] || [wiki:platformsimplementations_artila_m501_cubehash161_simple simple] || 687026 || 119690 || 46444 || 43310 || 41488 || 42057 || 42627 || [wiki:measureDetailsPage_7_cubehash161_simple Details]
|[wiki:ciphers_cubehash1616 cubehash1616] || [wiki:platformsimplementations_artila_m501_cubehash1616_simple simple] || 710865 || 86292 || 12783 || 3452 || 3059 || 2781 || 2504 || [wiki:measureDetailsPage_7_cubehash1616_simple Details]
|[wiki:ciphers_cubehash162 cubehash162] || [wiki:platformsimplementations_artila_m501_cubehash162_simple simple] || 683719 || 104510 || 28884 || 19508 || 19939 || 21087 || 22235 || [wiki:measureDetailsPage_7_cubehash162_simple Details]
|[wiki:ciphers_cubehash1632 cubehash1632] || [wiki:platformsimplementations_artila_m501_cubehash1632_sphlib-small sphlib-small] || 57623 || 7138 || 1118 || 266 || 205 || 176 || 146 || [wiki:measureDetailsPage_7_cubehash1632_sphlib-small Details]
|[wiki:ciphers_cubehash164 cubehash164] || [wiki:platformsimplementations_artila_m501_cubehash164_simple simple] || 697489 || 93959 || 19212 || 11250 || 11901 || 10466 || 9031 || [wiki:measureDetailsPage_7_cubehash164_simple Details]
|[wiki:ciphers_cubehash168 cubehash168] || [wiki:platformsimplementations_artila_m501_cubehash168_simple simple] || 686475 || 90260 || 16714 || 6010 || 5527 || 5430 || 5334 || [wiki:measureDetailsPage_7_cubehash168_simple Details]
|[wiki:ciphers_cubehash81 cubehash81] || [wiki:platformsimplementations_artila_m501_cubehash81_simple simple] || 343991 || 59257 || 22115 || 19538 || 20853 || 20787 || 20721 || [wiki:measureDetailsPage_7_cubehash81_simple Details]
|[wiki:ciphers_cubehash816 cubehash816] || [wiki:platformsimplementations_artila_m501_cubehash816_simple simple] || 343620 || 42991 || 6420 || 1732 || 1675 || 1379 || 1084 || [wiki:measureDetailsPage_7_cubehash816_simple Details]
|[wiki:ciphers_cubehash82 cubehash82] || [wiki:platformsimplementations_artila_m501_cubehash82_simple simple] || 344093 || 51152 || 13889 || 9381 || 8951 || 9774 || 10596 || [wiki:measureDetailsPage_7_cubehash82_simple Details]
|[wiki:ciphers_cubehash832 cubehash832] || [wiki:platformsimplementations_artila_m501_cubehash832_simple simple] || 343564 || 43005 || 5912 || 1227 || 903 || 725 || 546 || [wiki:measureDetailsPage_7_cubehash832_simple Details]
|[wiki:ciphers_cubehash84 cubehash84] || [wiki:platformsimplementations_artila_m501_cubehash84_simple simple] || 343575 || 47095 || 9552 || 5002 || 5011 || 5420 || 5828 || [wiki:measureDetailsPage_7_cubehash84_simple Details]
|[wiki:ciphers_cubehash88 cubehash88] || [wiki:platformsimplementations_artila_m501_cubehash88_simple simple] || 343935 || 45097 || 7435 || 2795 || 2933 || 2444 || 1955 || [wiki:measureDetailsPage_7_cubehash88_simple Details]
|[wiki:ciphers_echo256 echo256] || [wiki:platformsimplementations_artila_m501_echo256_sphlib sphlib] || 63855 || 8125 || 1014 || 259 || 229 || 196 || 163 || [wiki:measureDetailsPage_7_echo256_sphlib Details]
|[wiki:ciphers_echo512 echo512] || [wiki:platformsimplementations_artila_m501_echo512_sphlib sphlib] || 73744 || 9117 || 1143 || 504 || 395 || 370 || 346 || [wiki:measureDetailsPage_7_echo512_sphlib Details]
|[wiki:ciphers_echosp256 echosp256] || [wiki:platformsimplementations_artila_m501_echosp256_generic_opt32 generic_opt32] || 68771 || 8716 || 1100 || 281 || 207 || 189 || 170 || [wiki:measureDetailsPage_7_echosp256_generic_opt32 Details]
|[wiki:ciphers_echosp512 echosp512] || [wiki:platformsimplementations_artila_m501_echosp512_generic_opt32 generic_opt32] || 77153 || 9862 || 1234 || 326 || 287 || 248 || 208 || [wiki:measureDetailsPage_7_echosp512_generic_opt32 Details]
|[wiki:ciphers_essence224 essence224] || [wiki:platformsimplementations_artila_m501_essence224_gcc gcc] || 125449 || 42584 || 6819 || 3890 || 4079 || 3902 || 3725 || [wiki:measureDetailsPage_7_essence224_gcc Details]
|[wiki:ciphers_essence256 essence256] || [wiki:platformsimplementations_artila_m501_essence256_gcc gcc] || 124988 || 41328 || 6722 || 4259 || 3836 || 3773 || 3710 || [wiki:measureDetailsPage_7_essence256_gcc Details]
|[wiki:ciphers_essence384 essence384] || [wiki:platformsimplementations_artila_m501_essence384_gcc gcc] || 153000 || 49937 || 6212 || 3549 || 2304 || 2172 || 2041 || [wiki:measureDetailsPage_7_essence384_gcc Details]
|[wiki:ciphers_essence512 essence512] || [wiki:platformsimplementations_artila_m501_essence512_gcc gcc] || 154316 || 53101 || 6237 || 2485 || 2372 || 2454 || 2536 || [wiki:measureDetailsPage_7_essence512_gcc Details]
|[wiki:ciphers_fugue256 fugue256] || [wiki:platformsimplementations_artila_m501_fugue256_sphlib sphlib] || 37361 || 5342 || 810 || 197 || 150 || 128 || 106 || [wiki:measureDetailsPage_7_fugue256_sphlib Details]
|[wiki:ciphers_fugue512 fugue512] || [wiki:platformsimplementations_artila_m501_fugue512_sphlib sphlib] || 63225 || 8862 || 1276 || 334 || 272 || 232 || 192 || [wiki:measureDetailsPage_7_fugue512_sphlib Details]
|[wiki:ciphers_groestl256 groestl256] || [wiki:platformsimplementations_artila_m501_groestl256_sphlib-small sphlib-small] || 54495 || 6861 || 1096 || 340 || 287 || 262 || 237 || [wiki:measureDetailsPage_7_groestl256_sphlib-small Details]
|[wiki:ciphers_groestl512 groestl512] || [wiki:platformsimplementations_artila_m501_groestl512_sphlib-small sphlib-small] || 130759 || 16360 || 2032 || 841 || 703 || 654 || 605 || [wiki:measureDetailsPage_7_groestl512_sphlib-small Details]
|[wiki:ciphers_hamsi hamsi] || [wiki:platformsimplementations_artila_m501_hamsi_sphlib-small sphlib-small] || 21330 || 3132 || 657 || 307 || 281 || 270 || 259 || [wiki:measureDetailsPage_7_hamsi_sphlib-small Details]
|[wiki:ciphers_hamsi512 hamsi512] || [wiki:platformsimplementations_artila_m501_hamsi512_sphlib-small sphlib-small] || 32681 || 7393 || 1244 || 775 || 814 || 855 || 897 || [wiki:measureDetailsPage_7_hamsi512_sphlib-small Details]
|[wiki:ciphers_jh224 jh224] || [wiki:platformsimplementations_artila_m501_jh224_bitslice_opt32 bitslice_opt32] || 32636 || 6715 || 834 || 397 || 365 || 349 || 333 || [wiki:measureDetailsPage_7_jh224_bitslice_opt32 Details]
|[wiki:ciphers_jh256 jh256] || [wiki:platformsimplementations_artila_m501_jh256_bitslice_opt32 bitslice_opt32] || 32580 || 6718 || 828 || 395 || 370 || 363 || 356 || [wiki:measureDetailsPage_7_jh256_bitslice_opt32 Details]
|[wiki:ciphers_jh384 jh384] || [wiki:platformsimplementations_artila_m501_jh384_bitslice_opt32 bitslice_opt32] || 31804 || 6639 || 835 || 399 || 365 || 362 || 359 || [wiki:measureDetailsPage_7_jh384_bitslice_opt32 Details]
|[wiki:ciphers_jh512 jh512] || [wiki:platformsimplementations_artila_m501_jh512_bitslice_opt32 bitslice_opt32] || 33064 || 6739 || 829 || 396 || 365 || 350 || 334 || [wiki:measureDetailsPage_7_jh512_bitslice_opt32 Details]
|[wiki:ciphers_keccak keccak] || [wiki:platformsimplementations_artila_m501_keccak_opt32u2 opt32u2] || 37620 || 4942 || 665 || 255 || 212 || 192 || 173 || [wiki:measureDetailsPage_7_keccak_opt32u2 Details]
|[wiki:ciphers_keccak256 keccak256] || [wiki:platformsimplementations_artila_m501_keccak256_sphlib-small sphlib-small] || 68074 || 8570 || 1065 || 377 || 350 || 348 || 346 || [wiki:measureDetailsPage_7_keccak256_sphlib-small Details]
|[wiki:ciphers_keccak512 keccak512] || [wiki:platformsimplementations_artila_m501_keccak512_sphlib-small sphlib-small] || 64946 || 8162 || 1011 || 687 || 623 || 615 || 607 || [wiki:measureDetailsPage_7_keccak512_sphlib-small Details]
|[wiki:ciphers_keccakc512 keccakc512] || [wiki:platformsimplementations_artila_m501_keccakc512_opt32u6 opt32u6] || 47936 || 6003 || 809 || 227 || 190 || 179 || 168 || [wiki:measureDetailsPage_7_keccakc512_opt32u6 Details]
|[wiki:ciphers_lane256 lane256] || [wiki:platformsimplementations_artila_m501_lane256_c c] || 122333 || 21811 || 2720 || 1049 || 960 || 948 || 936 || [wiki:measureDetailsPage_7_lane256_c Details]
|[wiki:ciphers_lane512 lane512] || [wiki:platformsimplementations_artila_m501_lane512_c c] || 354105 || 65545 || 8399 || 2004 || 1948 || 1789 || 1629 || [wiki:measureDetailsPage_7_lane512_c Details]
|[wiki:ciphers_luffa256 luffa256] || [wiki:platformsimplementations_artila_m501_luffa256_sphlib sphlib] || 16223 || 1934 || 385 || 124 || 105 || 96 || 86 || [wiki:measureDetailsPage_7_luffa256_sphlib Details]
|[wiki:ciphers_luffa512 luffa512] || [wiki:platformsimplementations_artila_m501_luffa512_sphlib sphlib] || 30173 || 3720 || 756 || 237 || 200 || 182 || 163 || [wiki:measureDetailsPage_7_luffa512_sphlib Details]
|[wiki:ciphers_mcssha4 mcssha4] || [wiki:platformsimplementations_artila_m501_mcssha4_ref ref] || 17055 || 2323 || 399 || 158 || 142 || 133 || 125 || [wiki:measureDetailsPage_7_mcssha4_ref Details]
|[wiki:ciphers_mcssha5 mcssha5] || [wiki:platformsimplementations_artila_m501_mcssha5_ref ref] || 24446 || 3355 || 518 || 173 || 149 || 137 || 125 || [wiki:measureDetailsPage_7_mcssha5_ref Details]
|[wiki:ciphers_mcssha6 mcssha6] || [wiki:platformsimplementations_artila_m501_mcssha6_ref ref] || 18540 || 2512 || 417 || 163 || 143 || 137 || 131 || [wiki:measureDetailsPage_7_mcssha6_ref Details]
|[wiki:ciphers_nasha256 nasha256] || [wiki:platformsimplementations_artila_m501_nasha256_opt_v4 opt_v4] || 25751 || 3246 || 460 || 107 || 82 || 69 || 56 || [wiki:measureDetailsPage_7_nasha256_opt_v4 Details]
|[wiki:ciphers_nasha512 nasha512] || [wiki:platformsimplementations_artila_m501_nasha512_opt opt] || 22489 || 2787 || 354 || 118 || 97 || 86 || 74 || [wiki:measureDetailsPage_7_nasha512_opt Details]
|[wiki:ciphers_sarmal256 sarmal256] || [wiki:platformsimplementations_artila_m501_sarmal256_opt64 opt64] || 76028 || 9453 || 1181 || 538 || 467 || 479 || 491 || [wiki:measureDetailsPage_7_sarmal256_opt64 Details]
|[wiki:ciphers_sarmal512 sarmal512] || [wiki:platformsimplementations_artila_m501_sarmal512_opt64 opt64] || 89876 || 11351 || 1432 || 655 || 564 || 553 || 542 || [wiki:measureDetailsPage_7_sarmal512_opt64 Details]
|[wiki:ciphers_shabal256 shabal256] || [wiki:platformsimplementations_artila_m501_shabal256_sphlib sphlib] || 22118 || 2799 || 515 || 86 || 56 || 43 || 30 || [wiki:measureDetailsPage_7_shabal256_sphlib Details]
|[wiki:ciphers_shabal512 shabal512] || [wiki:platformsimplementations_artila_m501_shabal512_sphlib sphlib] || 22455 || 2807 || 526 || 88 || 57 || 40 || 24 || [wiki:measureDetailsPage_7_shabal512_sphlib Details]
|[wiki:ciphers_simd256 simd256] || [wiki:platformsimplementations_artila_m501_simd256_sphlib-small sphlib-small] || 31556 || 5932 || 737 || 303 || 269 || 256 || 243 || [wiki:measureDetailsPage_7_simd256_sphlib-small Details]
|[wiki:ciphers_simd512 simd512] || [wiki:platformsimplementations_artila_m501_simd512_opt opt] || 63304 || 13359 || 1669 || 463 || 397 || 369 || 340 || [wiki:measureDetailsPage_7_simd512_opt Details]
|[wiki:ciphers_skein256 skein256] || [wiki:platformsimplementations_artila_m501_skein256_sphlib-small sphlib-small] || 29363 || 3658 || 800 || 206 || 164 || 143 || 122 || [wiki:measureDetailsPage_7_skein256_sphlib-small Details]
|[wiki:ciphers_skein512 skein512] || [wiki:platformsimplementations_artila_m501_skein512_sphlib-small sphlib-small] || 29914 || 3694 || 473 || 209 || 183 || 173 || 162 || [wiki:measureDetailsPage_7_skein512_sphlib-small Details]
|[wiki:ciphers_whirlpool whirlpool] || [wiki:platformsimplementations_artila_m501_whirlpool_ref ref] || 58725 || 7351 || 1309 || 514 || 458 || 452 || 445 || [wiki:measureDetailsPage_7_whirlpool_ref Details]
