| '''Cipher''' || '''Implementation''' || '''Empty Message''' || '''8 byte''' || '''64 bytes''' || '''512 bytes''' || '''1024 bytes''' || '''2048 bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:ciphers_0hash 0hash] || empty || 72 || 9 || 1 || 0 || 0 || 0 || 0 || [wiki:measureDetailsPage_4_0hash_empty Details]
|[wiki:ciphers_blake32 blake32] || light || 68796 || 8726 || 2040 || 1100 || 1033 || 999 || 966 || [wiki:measureDetailsPage_4_blake32_light Details]
|[wiki:ciphers_blake64 blake64] || avrcryptolib || 518765 || 64870 || 8115 || 4971 || 4464 || 4210 || 3957 || [wiki:measureDetailsPage_4_blake64_avrcryptolib Details]
|[wiki:ciphers_bmw256 bmw256] || avrcryptolib_asm || 64248 || 8033 || 1488 || 610 || 547 || 516 || 485 || [wiki:measureDetailsPage_4_bmw256_avrcryptolib_asm Details]
|[wiki:ciphers_bmw512 bmw512] || avrcryptolib || 765804 || 95734 || 11973 || 4463 || 3715 || 3341 || 2967 || [wiki:measureDetailsPage_4_bmw512_avrcryptolib Details]
|[wiki:ciphers_cubehash161 cubehash161] || spec || 4013713 || 708574 || 269517 || 214642 || 210722 || 208763 || 206803 || [wiki:measureDetailsPage_4_cubehash161_spec Details]
|[wiki:ciphers_cubehash1616 cubehash1616] || simple || 4182863 || 523889 || 79593 || 22387 || 18301 || 16258 || 14215 || [wiki:measureDetailsPage_4_cubehash1616_simple Details]
|[wiki:ciphers_cubehash162 cubehash162] || simple || 4182881 || 630465 || 172838 || 115632 || 111545 || 109503 || 107460 || [wiki:measureDetailsPage_4_cubehash162_simple Details]
|[wiki:ciphers_cubehash1632 cubehash1632] || unrolled || 3478414 || 435469 || 60115 || 12549 || 9152 || 7453 || 5754 || [wiki:measureDetailsPage_4_cubehash1632_unrolled Details]
|[wiki:ciphers_cubehash164 cubehash164] || simple || 4182891 || 577207 || 119579 || 62373 || 58287 || 56244 || 54200 || [wiki:measureDetailsPage_4_cubehash164_simple Details]
|[wiki:ciphers_cubehash168 cubehash168] || simple || 4182890 || 550550 || 92922 || 35716 || 31630 || 29586 || 27543 || [wiki:measureDetailsPage_4_cubehash168_simple Details]
|[wiki:ciphers_cubehash81 cubehash81] || simple || 2097965 || 369248 || 139659 || 110958 || 108907 || 107882 || 106857 || [wiki:measureDetailsPage_4_cubehash81_simple Details]
|[wiki:ciphers_cubehash816 cubehash816] || simple || 2097965 || 263277 || 40317 || 11615 || 9565 || 8540 || 7515 || [wiki:measureDetailsPage_4_cubehash816_simple Details]
|[wiki:ciphers_cubehash82 cubehash82] || simple || 2097964 || 316248 || 86659 || 57958 || 55907 || 54882 || 53857 || [wiki:measureDetailsPage_4_cubehash82_simple Details]
|[wiki:ciphers_cubehash832 cubehash832] || simple || 2097965 || 263277 || 37003 || 8301 || 6251 || 5226 || 4201 || [wiki:measureDetailsPage_4_cubehash832_simple Details]
|[wiki:ciphers_cubehash84 cubehash84] || simple || 2097965 || 289790 || 60201 || 31500 || 29449 || 28424 || 27399 || [wiki:measureDetailsPage_4_cubehash84_simple Details]
|[wiki:ciphers_echo256 echo256] || avrcryptolib || 220541 || 27571 || 3453 || 1284 || 1280 || 1172 || 1064 || [wiki:measureDetailsPage_4_echo256_avrcryptolib Details]
|[wiki:ciphers_echo512 echo512] || avrcryptolib || 272670 || 34087 || 4268 || 2640 || 2374 || 2240 || 2107 || [wiki:measureDetailsPage_4_echo512_avrcryptolib Details]
|[wiki:ciphers_essence224 essence224] || gcc || 479825 || 178112 || 29580 || 16504 || 15570 || 15103 || 14636 || [wiki:measureDetailsPage_4_essence224_gcc Details]
|[wiki:ciphers_essence256 essence256] || gcc || 480305 || 178172 || 29588 || 16505 || 15571 || 15104 || 14636 || [wiki:measureDetailsPage_4_essence256_gcc Details]
|[wiki:ciphers_essence384 essence384] || gcc || 1008762 || 370442 || 46301 || 18937 || 16983 || 16006 || 15028 || [wiki:measureDetailsPage_4_essence384_gcc Details]
|[wiki:ciphers_essence512 essence512] || gcc || 1014940 || 371214 || 46398 || 18949 || 16989 || 16009 || 15028 || [wiki:measureDetailsPage_4_essence512_gcc Details]
|[wiki:ciphers_fugue256 fugue256] || ref-xbx || 202542 || 28018 || 5669 || 2875 || 2676 || 2576 || 2477 || [wiki:measureDetailsPage_4_fugue256_ref-xbx Details]
|[wiki:ciphers_fugue512 fugue512] || ref-xbx || 467862 || 63523 || 12202 || 5784 || 5326 || 5097 || 4868 || [wiki:measureDetailsPage_4_fugue512_ref-xbx Details]
|[wiki:ciphers_groestl256 groestl256] || opt32-avr || 136279 || 17145 || 3438 || 1575 || 1442 || 1375 || 1309 || [wiki:measureDetailsPage_4_groestl256_opt32-avr Details]
|[wiki:ciphers_groestl512 groestl512] || avrcryptolib || 1887716 || 235973 || 29503 || 13509 || 11666 || 10744 || 9822 || [wiki:measureDetailsPage_4_groestl512_avrcryptolib Details]
|[wiki:ciphers_jh224 jh224] || bitslice_opt32 || 217267 || 53870 || 6721 || 3750 || 3538 || 3432 || 3326 || [wiki:measureDetailsPage_4_jh224_bitslice_opt32 Details]
|[wiki:ciphers_jh256 jh256] || bitslice_opt32 || 217282 || 53872 || 6721 || 3751 || 3538 || 3432 || 3326 || [wiki:measureDetailsPage_4_jh256_bitslice_opt32 Details]
|[wiki:ciphers_jh384 jh384] || bitslice_opt32 || 217416 || 53889 || 6723 || 3751 || 3538 || 3432 || 3326 || [wiki:measureDetailsPage_4_jh384_bitslice_opt32 Details]
|[wiki:ciphers_jh512 jh512] || bitslice_opt32 || 217537 || 53904 || 6725 || 3751 || 3539 || 3432 || 3326 || [wiki:measureDetailsPage_4_jh512_bitslice_opt32 Details]
|[wiki:ciphers_keccak512 keccak512] || avrcryptolib || 1199640 || 149963 || 18752 || 18703 || 17532 || 16946 || 16360 || [wiki:measureDetailsPage_4_keccak512_avrcryptolib Details]
|[wiki:ciphers_mcssha4 mcssha4] || ref || 33751 || 4769 || 1076 || 615 || 582 || 565 || 549 || [wiki:measureDetailsPage_4_mcssha4_ref Details]
|[wiki:ciphers_mcssha5 mcssha5] || ref || 71825 || 9528 || 1671 || 689 || 619 || 584 || 549 || [wiki:measureDetailsPage_4_mcssha5_ref Details]
|[wiki:ciphers_mcssha6 mcssha6] || ref || 82096 || 10812 || 1831 || 709 || 629 || 589 || 549 || [wiki:measureDetailsPage_4_mcssha6_ref Details]
|[wiki:ciphers_nasha256 nasha256] || opt || 51565 || 6450 || 1336 || 623 || 572 || 547 || 521 || [wiki:measureDetailsPage_4_nasha256_opt Details]
|[wiki:ciphers_nasha512 nasha512] || opt || 98983 || 12377 || 1551 || 706 || 609 || 560 || 511 || [wiki:measureDetailsPage_4_nasha512_opt Details]
|[wiki:ciphers_shabal256 shabal256] || avrcryptolib_asm || 52293 || 6538 || 1027 || 312 || 261 || 235 || 210 || [wiki:measureDetailsPage_4_shabal256_avrcryptolib_asm Details]
|[wiki:ciphers_shabal512 shabal512] || avrcryptolib_asm || 52515 || 6566 || 1030 || 312 || 261 || 235 || 210 || [wiki:measureDetailsPage_4_shabal512_avrcryptolib_asm Details]
|[wiki:ciphers_skein256 skein256] || avrcryptolib_asm || 117853 || 14745 || 2449 || 1359 || 1281 || 1242 || 1203 || [wiki:measureDetailsPage_4_skein256_avrcryptolib_asm Details]
|[wiki:ciphers_skein512 skein512] || avrcryptolib_asm || 279780 || 34985 || 4384 || 1810 || 1626 || 1534 || 1443 || [wiki:measureDetailsPage_4_skein512_avrcryptolib_asm Details]
