| '''Cipher''' || '''Implementation''' || '''Empty Message''' || '''8 byte''' || '''64 bytes''' || '''512 bytes''' || '''1024 bytes''' || '''2048 bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_nslu2-openwrt_0hash_empty empty] || 5603 || 711 || 89 || 11 || 6 || 3 || 0 || [wiki:measureDetailsPage_21_0hash_empty Details]
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_nslu2-openwrt_blake32_sphlib sphlib] || 27631 || 3421 || 477 || 101 || 74 || 60 || 46 || [wiki:measureDetailsPage_21_blake32_sphlib Details]
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_nslu2-openwrt_blake64_sphlib-small sphlib-small] || 37174 || 4643 || 583 || 222 || 186 || 167 || 147 || [wiki:measureDetailsPage_21_blake64_sphlib-small Details]
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_nslu2-openwrt_bmw256_sphlib sphlib] || 23009 || 2885 || 402 || 87 || 65 || 53 || 42 || [wiki:measureDetailsPage_21_bmw256_sphlib Details]
|[wiki:ciphers_bmw512 bmw512] || [wiki:platformsimplementations_nslu2-openwrt_bmw512_sphlib-small sphlib-small] || 55029 || 6908 || 866 || 212 || 158 || 131 || 104 || [wiki:measureDetailsPage_21_bmw512_sphlib-small Details]
|[wiki:ciphers_cubehash161 cubehash161] || [wiki:platformsimplementations_nslu2-openwrt_cubehash161_unrolled unrolled] || 106816 || 17905 || 6215 || 4784 || 4668 || 4608 || 4549 || [wiki:measureDetailsPage_21_cubehash161_unrolled Details]
|[wiki:ciphers_cubehash1616 cubehash1616] || [wiki:platformsimplementations_nslu2-openwrt_cubehash1616_unrolled unrolled] || 106766 || 13396 || 1993 || 531 || 426 || 374 || 322 || [wiki:measureDetailsPage_21_cubehash1616_unrolled Details]
|[wiki:ciphers_cubehash162 cubehash162] || [wiki:platformsimplementations_nslu2-openwrt_cubehash162_unrolled unrolled] || 106733 || 15653 || 3967 || 2534 || 2414 || 2356 || 2297 || [wiki:measureDetailsPage_21_cubehash162_unrolled Details]
|[wiki:ciphers_cubehash1632 cubehash1632] || [wiki:platformsimplementations_nslu2-openwrt_cubehash1632_sphlib-small sphlib-small] || 65220 || 8146 || 1275 || 289 || 218 || 183 || 147 || [wiki:measureDetailsPage_21_cubehash1632_sphlib-small Details]
|[wiki:ciphers_cubehash164 cubehash164] || [wiki:platformsimplementations_nslu2-openwrt_cubehash164_unrolled unrolled] || 106799 || 14549 || 2840 || 1376 || 1271 || 1227 || 1183 || [wiki:measureDetailsPage_21_cubehash164_unrolled Details]
