| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_atmega1281_16mhz_0hash_empty empty] || 72 || 9 || 1 || 0 || 0 || 0 || 0 || [wiki:measureDetailsPage_26_0hash_empty Details]
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_atmega1281_16mhz_blake32_sphlib sphlib] || 60940 || 7614 || 1865 || 1014 || 953 || 923 || 892 || [wiki:measureDetailsPage_26_blake32_sphlib Details]
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_atmega1281_16mhz_blake64_armcryptolib armcryptolib] || 497839 || 62254 || 7788 || 4767 || 4281 || 4038 || 3795 || [wiki:measureDetailsPage_26_blake64_armcryptolib Details]
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_atmega1281_16mhz_bmw256_avrcryptolib_asm avrcryptolib_asm] || 64290 || 8038 || 1489 || 610 || 548 || 516 || 485 || [wiki:measureDetailsPage_26_bmw256_avrcryptolib_asm Details]
|[wiki:ciphers_bmw512 bmw512] || [wiki:platformsimplementations_atmega1281_16mhz_bmw512_avrcryptolib avrcryptolib] || 766289 || 95794 || 11981 || 4466 || 3717 || 3343 || 2969 || [wiki:measureDetailsPage_26_bmw512_avrcryptolib Details]
|[wiki:ciphers_cubehash161 cubehash161] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash161_unrolled unrolled] || 3473333 || 599673 || 219709 || 172212 || 168820 || 167123 || 165427 || [wiki:measureDetailsPage_26_cubehash161_unrolled Details]
|[wiki:ciphers_cubehash1616 cubehash1616] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash1616_unrolled unrolled] || 3473324 || 434849 || 65192 || 17696 || 14303 || 12607 || 10911 || [wiki:measureDetailsPage_26_cubehash1616_unrolled Details]
|[wiki:ciphers_cubehash162 cubehash162] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash162_unrolled unrolled] || 3473323 || 517245 || 137282 || 89786 || 86393 || 84697 || 83001 || [wiki:measureDetailsPage_26_cubehash162_unrolled Details]
|[wiki:ciphers_cubehash1632 cubehash1632] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash1632_bitsliced bitsliced] || 2367077 || 295890 || 40764 || 8402 || 6090 || 4934 || 3778 || [wiki:measureDetailsPage_26_cubehash1632_bitsliced Details]
|[wiki:ciphers_cubehash164 cubehash164] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash164_unrolled unrolled] || 3473290 || 476070 || 96110 || 48615 || 45222 || 43526 || 41830 || [wiki:measureDetailsPage_26_cubehash164_unrolled Details]
|[wiki:ciphers_cubehash168 cubehash168] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash168_unrolled unrolled] || 3473297 || 455458 || 75498 || 28002 || 24609 || 22913 || 21217 || [wiki:measureDetailsPage_26_cubehash168_unrolled Details]
|[wiki:ciphers_cubehash512 cubehash512] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash512_bitsliced bitsliced] || 476734 || 59597 || 11227 || 4709 || 4244 || 4011 || 3778 || [wiki:measureDetailsPage_26_cubehash512_bitsliced Details]
|[wiki:ciphers_cubehash81 cubehash81] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash81_unrolled unrolled] || 1762431 || 304339 || 111504 || 87399 || 85678 || 84817 || 83956 || [wiki:measureDetailsPage_26_cubehash81_unrolled Details]
|[wiki:ciphers_cubehash816 cubehash816] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash816_unrolled unrolled] || 1762434 || 220987 || 33368 || 9262 || 7541 || 6680 || 5819 || [wiki:measureDetailsPage_26_cubehash816_unrolled Details]
|[wiki:ciphers_cubehash82 cubehash82] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash82_unrolled unrolled] || 1762436 || 262649 || 69814 || 45709 || 43987 || 43126 || 42265 || [wiki:measureDetailsPage_26_cubehash82_unrolled Details]
|[wiki:ciphers_cubehash832 cubehash832] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash832_unrolled unrolled] || 1762435 || 220987 || 30761 || 6656 || 4934 || 4073 || 3212 || [wiki:measureDetailsPage_26_cubehash832_unrolled Details]
|[wiki:ciphers_cubehash84 cubehash84] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash84_unrolled unrolled] || 1762437 || 241846 || 49011 || 24906 || 23184 || 22323 || 21462 || [wiki:measureDetailsPage_26_cubehash84_unrolled Details]
|[wiki:ciphers_cubehash88 cubehash88] || [wiki:platformsimplementations_atmega1281_16mhz_cubehash88_unrolled unrolled] || 1762431 || 231416 || 38582 || 14477 || 12755 || 11894 || 11033 || [wiki:measureDetailsPage_26_cubehash88_unrolled Details]
|[wiki:ciphers_echo256 echo256] || [wiki:platformsimplementations_atmega1281_16mhz_echo256_avrcryptolib avrcryptolib] || 220678 || 27588 || 3455 || 1285 || 1280 || 1173 || 1065 || [wiki:measureDetailsPage_26_echo256_avrcryptolib Details]
|[wiki:ciphers_echo512 echo512] || [wiki:platformsimplementations_atmega1281_16mhz_echo512_avrcryptolib avrcryptolib] || 272839 || 34108 || 4270 || 2642 || 2375 || 2242 || 2108 || [wiki:measureDetailsPage_26_echo512_avrcryptolib Details]
