| '''Cipher''' || '''Implementation''' || '''Empty Message''' || '''8 byte''' || '''64 bytes''' || '''512 bytes''' || '''1024 bytes''' || '''2048 bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:ciphers_0hash 0hash] || empty || 5852 || 707 || 93 || 12 || 6 || 3 || 0 || [wiki:measureDetailsPage_23_0hash_empty Details]
|[wiki:ciphers_blake32 blake32] || sphlib || 27697 || 3464 || 480 || 101 || 74 || 60 || 46 || [wiki:measureDetailsPage_23_blake32_sphlib Details]
|[wiki:ciphers_blake64 blake64] || sphlib || 37523 || 4676 || 591 || 224 || 186 || 167 || 147 || [wiki:measureDetailsPage_23_blake64_sphlib Details]
|[wiki:ciphers_bmw256 bmw256] || sphlib || 23076 || 2924 || 407 || 88 || 65 || 53 || 42 || [wiki:measureDetailsPage_23_bmw256_sphlib Details]
|[wiki:ciphers_bmw512 bmw512] || sphlib || 65918 || 8294 || 1038 || 206 || 141 || 109 || 76 || [wiki:measureDetailsPage_23_bmw512_sphlib Details]
|[wiki:ciphers_cubehash161 cubehash161] || unrolled || 106849 || 17924 || 6217 || 4785 || 4668 || 4608 || 4549 || [wiki:measureDetailsPage_23_cubehash161_unrolled Details]
|[wiki:ciphers_cubehash1616 cubehash1616] || unrolled || 106882 || 13419 || 1994 || 531 || 427 || 374 || 321 || [wiki:measureDetailsPage_23_cubehash1616_unrolled Details]
|[wiki:ciphers_cubehash162 cubehash162] || unrolled || 106782 || 15673 || 3968 || 2536 || 2414 || 2355 || 2296 || [wiki:measureDetailsPage_23_cubehash162_unrolled Details]
|[wiki:ciphers_cubehash1632 cubehash1632] || sphlib-small || 65336 || 8128 || 1274 || 289 || 218 || 183 || 147 || [wiki:measureDetailsPage_23_cubehash1632_sphlib-small Details]
|[wiki:ciphers_cubehash164 cubehash164] || unrolled || 106816 || 14543 || 2839 || 1376 || 1288 || 1227 || 1166 || [wiki:measureDetailsPage_23_cubehash164_unrolled Details]
|[wiki:ciphers_cubehash168 cubehash168] || unrolled || 106832 || 13975 || 2277 || 813 || 708 || 664 || 620 || [wiki:measureDetailsPage_23_cubehash168_unrolled Details]
|[wiki:ciphers_cubehash81 cubehash81] || unrolled || 61795 || 10127 || 3366 || 2551 || 2474 || 2437 || 2400 || [wiki:measureDetailsPage_23_cubehash81_unrolled Details]
|[wiki:ciphers_cubehash816 cubehash816] || unrolled || 61629 || 7768 || 1155 || 309 || 248 || 227 || 205 || [wiki:measureDetailsPage_23_cubehash816_unrolled Details]
|[wiki:ciphers_cubehash82 cubehash82] || unrolled || 61695 || 8944 || 2192 || 1342 || 1298 || 1259 || 1220 || [wiki:measureDetailsPage_23_cubehash82_unrolled Details]
|[wiki:ciphers_cubehash832 cubehash832] || unrolled || 61529 || 7737 || 1080 || 235 || 175 || 153 || 131 || [wiki:measureDetailsPage_23_cubehash832_unrolled Details]
|[wiki:ciphers_cubehash84 cubehash84] || unrolled || 62859 || 8512 || 1625 || 764 || 702 || 679 || 655 || [wiki:measureDetailsPage_23_cubehash84_unrolled Details]
|[wiki:ciphers_cubehash88 cubehash88] || unrolled || 61629 || 8069 || 1300 || 457 || 396 || 365 || 335 || [wiki:measureDetailsPage_23_cubehash88_unrolled Details]
|[wiki:ciphers_echo256 echo256] || sphlib-small || 59784 || 7404 || 937 || 277 || 257 || 226 || 196 || [wiki:measureDetailsPage_23_echo256_sphlib-small Details]
|[wiki:ciphers_echo512 echo512] || sphlib-small || 68861 || 8664 || 1080 || 522 || 455 || 419 || 384 || [wiki:measureDetailsPage_23_echo512_sphlib-small Details]
|[wiki:ciphers_echosp256 echosp256] || generic_opt32 || 95577 || 12126 || 1533 || 376 || 279 || 251 || 223 || [wiki:measureDetailsPage_23_echosp256_generic_opt32 Details]
|[wiki:ciphers_echosp512 echosp512] || generic_opt32 || 105851 || 15769 || 1698 || 436 || 382 || 328 || 273 || [wiki:measureDetailsPage_23_echosp512_generic_opt32 Details]
|[wiki:ciphers_fugue256 fugue256] || sphlib || 41313 || 5800 || 861 || 220 || 172 || 148 || 123 || [wiki:measureDetailsPage_23_fugue256_sphlib Details]
|[wiki:ciphers_fugue512 fugue512] || sphlib || 70307 || 9499 || 1393 || 381 || 308 || 270 || 233 || [wiki:measureDetailsPage_23_fugue512_sphlib Details]
|[wiki:ciphers_groestl256 groestl256] || opt32-xbx-rolled || 106915 || 13275 || 1967 || 507 || 402 || 349 || 295 || [wiki:measureDetailsPage_23_groestl256_opt32-xbx-rolled Details]
|[wiki:ciphers_groestl512 groestl512] || opt32 || 184970 || 23250 || 2915 || 816 || 633 || 541 || 449 || [wiki:measureDetailsPage_23_groestl512_opt32 Details]
|[wiki:ciphers_hamsi hamsi] || sphlib || 25902 || 3722 || 792 || 380 || 331 || 295 || 260 || [wiki:measureDetailsPage_23_hamsi_sphlib Details]
|[wiki:ciphers_hamsi512 hamsi512] || sphlib-small || 42144 || 9244 || 1564 || 950 || 914 || 863 || 811 || [wiki:measureDetailsPage_23_hamsi512_sphlib-small Details]
|[wiki:ciphers_jh224 jh224] || bitslice_opt32 || 36026 || 6918 || 860 || 365 || 329 || 311 || 293 || [wiki:measureDetailsPage_23_jh224_bitslice_opt32 Details]
|[wiki:ciphers_jh256 jh256] || bitslice_opt32 || 36043 || 6879 || 860 || 365 || 329 || 311 || 293 || [wiki:measureDetailsPage_23_jh256_bitslice_opt32 Details]
|[wiki:ciphers_jh384 jh384] || bitslice_opt32 || 36209 || 6885 || 855 || 365 || 329 || 311 || 292 || [wiki:measureDetailsPage_23_jh384_bitslice_opt32 Details]
|[wiki:ciphers_jh512 jh512] || bitslice_opt32 || 36292 || 6885 || 861 || 365 || 329 || 311 || 292 || [wiki:measureDetailsPage_23_jh512_bitslice_opt32 Details]
|[wiki:ciphers_keccak keccak] || opt32u2 || 51820 || 6721 || 906 || 324 || 267 || 238 || 208 || [wiki:measureDetailsPage_23_keccak_opt32u2 Details]
