| '''Cipher''' || '''Implementation''' || '''Empty Message''' || '''8 byte''' || '''64 bytes''' || '''512 bytes''' || '''1024 bytes''' || '''2048 bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_nslu2-openwrt_0hash_empty empty] || 6500 || 804 || 99 || 13 || 7 || 3 || 0 || [wiki:measureDetailsPage_19_0hash_empty Details]
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_nslu2-openwrt_blake32_sphlib sphlib] || 28229 || 3552 || 489 || 103 || 75 || 61 || 46 || [wiki:measureDetailsPage_19_blake32_sphlib Details]
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_nslu2-openwrt_blake64_sphlib sphlib] || 38420 || 4811 || 604 || 226 || 187 || 167 || 148 || [wiki:measureDetailsPage_19_blake64_sphlib Details]
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_nslu2-openwrt_bmw256_sphlib sphlib] || 23425 || 2947 || 413 || 89 || 66 || 54 || 42 || [wiki:measureDetailsPage_19_bmw256_sphlib Details]
|[wiki:ciphers_bmw512 bmw512] || [wiki:platformsimplementations_nslu2-openwrt_bmw512_sphlib sphlib] || 66483 || 8319 || 1043 || 207 || 142 || 109 || 76 || [wiki:measureDetailsPage_19_bmw512_sphlib Details]
|[wiki:ciphers_cubehash161 cubehash161] || [wiki:platformsimplementations_nslu2-openwrt_cubehash161_unrolled unrolled] || 107664 || 18005 || 6232 || 4787 || 4669 || 4609 || 4549 || [wiki:measureDetailsPage_19_cubehash161_unrolled Details]
|[wiki:ciphers_cubehash1616 cubehash1616] || [wiki:platformsimplementations_nslu2-openwrt_cubehash1616_unrolled unrolled] || 107381 || 13485 || 2003 || 533 || 427 || 374 || 322 || [wiki:measureDetailsPage_19_cubehash1616_unrolled Details]
|[wiki:ciphers_cubehash162 cubehash162] || [wiki:platformsimplementations_nslu2-openwrt_cubehash162_unrolled unrolled] || 107481 || 15744 || 3980 || 2504 || 2415 || 2356 || 2296 || [wiki:measureDetailsPage_19_cubehash162_unrolled Details]
|[wiki:ciphers_cubehash1632 cubehash1632] || [wiki:platformsimplementations_nslu2-openwrt_cubehash1632_sphlib-small sphlib-small] || 65536 || 8192 || 1281 || 290 || 219 || 183 || 147 || [wiki:measureDetailsPage_19_cubehash1632_sphlib-small Details]
|[wiki:ciphers_cubehash164 cubehash164] || [wiki:platformsimplementations_nslu2-openwrt_cubehash164_unrolled unrolled] || 107497 || 14603 || 2853 || 1378 || 1272 || 1228 || 1183 || [wiki:measureDetailsPage_19_cubehash164_unrolled Details]
|[wiki:ciphers_cubehash168 cubehash168] || [wiki:platformsimplementations_nslu2-openwrt_cubehash168_unrolled unrolled] || 107647 || 14054 || 2286 || 815 || 709 || 665 || 621 || [wiki:measureDetailsPage_19_cubehash168_unrolled Details]
|[wiki:ciphers_cubehash81 cubehash81] || [wiki:platformsimplementations_nslu2-openwrt_cubehash81_unrolled unrolled] || 62194 || 10216 || 3379 || 2520 || 2476 || 2438 || 2400 || [wiki:measureDetailsPage_19_cubehash81_unrolled Details]
|[wiki:ciphers_cubehash816 cubehash816] || [wiki:platformsimplementations_nslu2-openwrt_cubehash816_unrolled unrolled] || 62244 || 7833 || 1164 || 310 || 249 || 218 || 187 || [wiki:measureDetailsPage_19_cubehash816_unrolled Details]
|[wiki:ciphers_cubehash82 cubehash82] || [wiki:platformsimplementations_nslu2-openwrt_cubehash82_unrolled unrolled] || 62344 || 9019 || 2202 || 1343 || 1300 || 1259 || 1219 || [wiki:measureDetailsPage_19_cubehash82_unrolled Details]
|[wiki:ciphers_cubehash832 cubehash832] || [wiki:platformsimplementations_nslu2-openwrt_cubehash832_unrolled unrolled] || 62178 || 7843 || 1089 || 236 || 175 || 145 || 114 || [wiki:measureDetailsPage_19_cubehash832_unrolled Details]
