| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_atmega1284p_16mhz_0hash_empty empty] || 72 || 9 || 1 || 0 || 0 || 0 || 0 || [wiki:measureDetailsPage_22_0hash_empty Details]
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_atmega1284p_16mhz_blake32_sphlib sphlib] || 60206 || 7521 || 1841 || 1004 || 944 || 914 || 884 || [wiki:measureDetailsPage_22_blake32_sphlib Details]
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_atmega1284p_16mhz_blake64_avrcryptolib avrcryptolib] || 519086 || 64910 || 8120 || 4974 || 4467 || 4213 || 3960 || [wiki:measureDetailsPage_22_blake64_avrcryptolib Details]
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_atmega1284p_16mhz_bmw256_avrcryptolib_asm avrcryptolib_asm] || 64288 || 8038 || 1489 || 610 || 548 || 516 || 485 || [wiki:measureDetailsPage_22_bmw256_avrcryptolib_asm Details]
|[wiki:ciphers_bmw512 bmw512] || [wiki:platformsimplementations_atmega1284p_16mhz_bmw512_avrcryptolib avrcryptolib] || 766276 || 95793 || 11981 || 4466 || 3717 || 3343 || 2969 || [wiki:measureDetailsPage_22_bmw512_avrcryptolib Details]
|[wiki:ciphers_cubehash161 cubehash161] || [wiki:platformsimplementations_atmega1284p_16mhz_cubehash161_unrolled unrolled] || 3473293 || 599666 || 219706 || 172210 || 168818 || 167122 || 165425 || [wiki:measureDetailsPage_22_cubehash161_unrolled Details]
|[wiki:ciphers_cubehash1616 cubehash1616] || [wiki:platformsimplementations_atmega1284p_16mhz_cubehash1616_unrolled unrolled] || 3473290 || 434844 || 65192 || 17696 || 14303 || 12607 || 10911 || [wiki:measureDetailsPage_22_cubehash1616_unrolled Details]
|[wiki:ciphers_cubehash162 cubehash162] || [wiki:platformsimplementations_atmega1284p_16mhz_cubehash162_unrolled unrolled] || 3473293 || 517241 || 137281 || 89785 || 86393 || 84696 || 83000 || [wiki:measureDetailsPage_22_cubehash162_unrolled Details]
|[wiki:ciphers_cubehash1632 cubehash1632] || [wiki:platformsimplementations_atmega1284p_16mhz_cubehash1632_avrcryptolib_cwbasm avrcryptolib_cwbasm] || 2795621 || 349461 || 47850 || 9628 || 6898 || 5533 || 4168 || [wiki:measureDetailsPage_22_cubehash1632_avrcryptolib_cwbasm Details]
|[wiki:ciphers_cubehash164 cubehash164] || [wiki:platformsimplementations_atmega1284p_16mhz_cubehash164_unrolled unrolled] || 3473293 || 476070 || 96111 || 48615 || 45222 || 43526 || 41830 || [wiki:measureDetailsPage_22_cubehash164_unrolled Details]
