| '''Cipher''' || '''Implementation''' || '''Empty Message''' || '''8 byte''' || '''64 bytes''' || '''512 bytes''' || '''1024 bytes''' || '''2048 bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:ciphers_0hash 0hash] || empty || 979 || 120 || 15 || 2 || 1 || 0 || 0 || [wiki:measureDetailsPage_8_0hash_empty Details]
|[wiki:ciphers_blake32 blake32] || sphlib || 19204 || 2436 || 348 || 85 || 66 || 56 || 46 || [wiki:measureDetailsPage_8_blake32_sphlib Details]
|[wiki:ciphers_blake64 blake64] || sphlib || 33008 || 4156 || 520 || 185 || 152 || 136 || 120 || [wiki:measureDetailsPage_8_blake64_sphlib Details]
|[wiki:ciphers_bmw256 bmw256] || optc04 || 20340 || 2562 || 347 || 65 || 45 || 35 || 25 || [wiki:measureDetailsPage_8_bmw256_optc04 Details]
|[wiki:ciphers_bmw512 bmw512] || sphlib-small || 35471 || 4381 || 549 || 150 || 116 || 99 || 81 || [wiki:measureDetailsPage_8_bmw512_sphlib-small Details]
|[wiki:ciphers_cubehash161 cubehash161] || simple || 694080 || 117759 || 43281 || 33784 || 33113 || 32801 || 32489 || [wiki:measureDetailsPage_8_cubehash161_simple Details]
|[wiki:ciphers_cubehash1616 cubehash1616] || simple || 683303 || 85461 || 12928 || 3415 || 2740 || 2400 || 2059 || [wiki:measureDetailsPage_8_cubehash1616_simple Details]
|[wiki:ciphers_cubehash162 cubehash162] || simple || 694598 || 103127 || 27074 || 17599 || 16911 || 16571 || 16230 || [wiki:measureDetailsPage_8_cubehash162_simple Details]
|[wiki:ciphers_cubehash1632 cubehash1632] || sphlib-small || 56722 || 7090 || 1109 || 264 || 204 || 174 || 144 || [wiki:measureDetailsPage_8_cubehash1632_sphlib-small Details]
|[wiki:ciphers_cubehash164 cubehash164] || simple || 696488 || 93502 || 18985 || 9491 || 8812 || 8474 || 8136 || [wiki:measureDetailsPage_8_cubehash164_simple Details]
|[wiki:ciphers_cubehash168 cubehash168] || simple || 683460 || 89518 || 14937 || 5437 || 4762 || 4425 || 4088 || [wiki:measureDetailsPage_8_cubehash168_simple Details]
|[wiki:ciphers_cubehash81 cubehash81] || simple || 343901 || 59227 || 21771 || 16928 || 16581 || 16442 || 16303 || [wiki:measureDetailsPage_8_cubehash81_simple Details]
|[wiki:ciphers_cubehash816 cubehash816] || simple || 344014 || 43040 || 6422 || 1742 || 1396 || 1222 || 1048 || [wiki:measureDetailsPage_8_cubehash816_simple Details]
|[wiki:ciphers_cubehash82 cubehash82] || simple || 343553 || 51106 || 13679 || 8832 || 8486 || 8313 || 8139 || [wiki:measureDetailsPage_8_cubehash82_simple Details]
|[wiki:ciphers_cubehash832 cubehash832] || simple || 343575 || 43005 || 5913 || 1213 || 878 || 715 || 553 || [wiki:measureDetailsPage_8_cubehash832_simple Details]
|[wiki:ciphers_cubehash84 cubehash84] || simple || 343946 || 47080 || 9458 || 4779 || 4432 || 4263 || 4093 || [wiki:measureDetailsPage_8_cubehash84_simple Details]
|[wiki:ciphers_cubehash88 cubehash88] || simple || 343924 || 45075 || 7433 || 2754 || 2406 || 2235 || 2063 || [wiki:measureDetailsPage_8_cubehash88_simple Details]
|[wiki:ciphers_echo256 echo256] || sphlib-small || 50051 || 6245 || 782 || 245 || 232 || 207 || 183 || [wiki:measureDetailsPage_8_echo256_sphlib-small Details]
|[wiki:ciphers_echo512 echo512] || sphlib || 71775 || 9001 || 1139 || 465 || 394 || 374 || 354 || [wiki:measureDetailsPage_8_echo512_sphlib Details]
|[wiki:ciphers_echosp256 echosp256] || generic_opt32 || 67534 || 8682 || 1099 || 277 || 207 || 188 || 170 || [wiki:measureDetailsPage_8_echosp256_generic_opt32 Details]
|[wiki:ciphers_echosp512 echosp512] || generic_opt32 || 76196 || 9723 || 1231 || 323 || 287 || 247 || 207 || [wiki:measureDetailsPage_8_echosp512_generic_opt32 Details]
|[wiki:ciphers_essence224 essence224] || gcc || 124808 || 41283 || 6714 || 3634 || 3390 || 3271 || 3153 || [wiki:measureDetailsPage_8_essence224_gcc Details]
|[wiki:ciphers_essence256 essence256] || gcc || 124762 || 41254 || 6717 || 3633 || 3389 || 3269 || 3148 || [wiki:measureDetailsPage_8_essence256_gcc Details]
|[wiki:ciphers_essence384 essence384] || gcc || 152910 || 49736 || 6209 || 2450 || 2147 || 2005 || 1862 || [wiki:measureDetailsPage_8_essence384_gcc Details]
|[wiki:ciphers_essence512 essence512] || gcc || 154035 || 49833 || 6221 || 2450 || 2148 || 2007 || 1867 || [wiki:measureDetailsPage_8_essence512_gcc Details]
|[wiki:ciphers_fugue256 fugue256] || sphlib || 36416 || 5324 || 812 || 193 || 151 || 139 || 127 || [wiki:measureDetailsPage_8_fugue256_sphlib Details]
|[wiki:ciphers_fugue512 fugue512] || sphlib || 62674 || 8857 || 1279 || 336 || 267 || 235 || 203 || [wiki:measureDetailsPage_8_fugue512_sphlib Details]
|[wiki:ciphers_groestl256 groestl256] || sphlib-small || 53899 || 6796 || 1091 || 341 || 286 || 282 || 278 || [wiki:measureDetailsPage_8_groestl256_sphlib-small Details]
|[wiki:ciphers_groestl512 groestl512] || opt32 || 138240 || 17326 || 2179 || 834 || 705 || 638 || 571 || [wiki:measureDetailsPage_8_groestl512_opt32 Details]
|[wiki:ciphers_hamsi hamsi] || sphlib-small || 21330 || 3119 || 662 || 305 || 281 || 267 || 254 || [wiki:measureDetailsPage_8_hamsi_sphlib-small Details]
|[wiki:ciphers_hamsi512 hamsi512] || sphlib-small || 33165 || 7667 || 1246 || 762 || 746 || 719 || 691 || [wiki:measureDetailsPage_8_hamsi512_sphlib-small Details]
|[wiki:ciphers_jh224 jh224] || bitslice_opt32 || 33053 || 6843 || 856 || 404 || 377 || 357 || 337 || [wiki:measureDetailsPage_8_jh224_bitslice_opt32 Details]
|[wiki:ciphers_jh256 jh256] || bitslice_opt32 || 32445 || 6747 || 828 || 397 || 365 || 363 || 362 || [wiki:measureDetailsPage_8_jh256_bitslice_opt32 Details]
|[wiki:ciphers_jh384 jh384] || bitslice_opt32 || 32513 || 6656 || 835 || 395 || 365 || 362 || 359 || [wiki:measureDetailsPage_8_jh384_bitslice_opt32 Details]
|[wiki:ciphers_jh512 jh512] || bitslice_opt32 || 32558 || 6653 || 828 || 395 || 369 || 352 || 335 || [wiki:measureDetailsPage_8_jh512_bitslice_opt32 Details]
|[wiki:ciphers_keccak keccak] || opt32u6 || 46035 || 6091 || 803 || 255 || 204 || 185 || 167 || [wiki:measureDetailsPage_8_keccak_opt32u6 Details]
|[wiki:ciphers_keccak256 keccak256] || sphlib-small || 68063 || 8530 || 1066 || 377 || 357 || 359 || 361 || [wiki:measureDetailsPage_8_keccak256_sphlib-small Details]
|[wiki:ciphers_keccak512 keccak512] || sphlib-small || 64946 || 8152 || 1011 || 687 || 670 || 606 || 541 || [wiki:measureDetailsPage_8_keccak512_sphlib-small Details]
|[wiki:ciphers_keccakc512 keccakc512] || opt32u6 || 46766 || 6130 || 807 || 226 || 190 || 180 || 170 || [wiki:measureDetailsPage_8_keccakc512_opt32u6 Details]
|[wiki:ciphers_lane256 lane256] || c || 122288 || 21758 || 2711 || 1061 || 935 || 965 || 994 || [wiki:measureDetailsPage_8_lane256_c Details]
|[wiki:ciphers_lane512 lane512] || c || 322076 || 59761 || 7370 || 1818 || 1605 || 1532 || 1459 || [wiki:measureDetailsPage_8_lane512_c Details]
|[wiki:ciphers_luffa256 luffa256] || sphlib || 16054 || 1932 || 397 || 124 || 106 || 96 || 87 || [wiki:measureDetailsPage_8_luffa256_sphlib Details]
|[wiki:ciphers_luffa512 luffa512] || sphlib || 30173 || 3731 || 758 || 237 || 200 || 181 || 163 || [wiki:measureDetailsPage_8_luffa512_sphlib Details]
|[wiki:ciphers_mcssha4 mcssha4] || ref || 16898 || 2326 || 393 || 159 || 148 || 133 || 119 || [wiki:measureDetailsPage_8_mcssha4_ref Details]
|[wiki:ciphers_mcssha5 mcssha5] || ref || 24761 || 3232 || 518 || 174 || 149 || 137 || 125 || [wiki:measureDetailsPage_8_mcssha5_ref Details]
|[wiki:ciphers_mcssha6 mcssha6] || ref || 18641 || 2503 || 424 || 163 || 143 || 134 || 125 || [wiki:measureDetailsPage_8_mcssha6_ref Details]
|[wiki:ciphers_nasha256 nasha256] || opt_v4 || 25549 || 3201 || 456 || 107 || 82 || 69 || 56 || [wiki:measureDetailsPage_8_nasha256_opt_v4 Details]
|[wiki:ciphers_nasha512 nasha512] || opt || 22714 || 2799 || 349 || 120 || 97 || 86 || 75 || [wiki:measureDetailsPage_8_nasha512_opt Details]
|[wiki:ciphers_sarmal256 sarmal256] || opt64 || 76815 || 9558 || 1191 || 539 || 460 || 437 || 414 || [wiki:measureDetailsPage_8_sarmal256_opt64 Details]
|[wiki:ciphers_sarmal512 sarmal512] || opt64 || 90405 || 11292 || 1410 || 664 || 563 || 526 || 489 || [wiki:measureDetailsPage_8_sarmal512_opt64 Details]
|[wiki:ciphers_shabal256 shabal256] || sphlib || 22028 || 2734 || 516 || 86 || 56 || 40 || 25 || [wiki:measureDetailsPage_8_shabal256_sphlib Details]
|[wiki:ciphers_shabal512 shabal512] || sphlib || 22275 || 2744 || 522 || 86 || 56 || 40 || 25 || [wiki:measureDetailsPage_8_shabal512_sphlib Details]
|[wiki:ciphers_simd256 simd256] || sphlib-small || 31860 || 5958 || 739 || 303 || 269 || 254 || 239 || [wiki:measureDetailsPage_8_simd256_sphlib-small Details]
|[wiki:ciphers_simd512 simd512] || opt || 63945 || 13278 || 1672 || 462 || 415 || 386 || 357 || [wiki:measureDetailsPage_8_simd512_opt Details]
|[wiki:ciphers_skein256 skein256] || sphlib-small || 29171 || 3617 || 797 || 206 || 164 || 143 || 121 || [wiki:measureDetailsPage_8_skein256_sphlib-small Details]
|[wiki:ciphers_skein512 skein512] || sphlib-small || 29959 || 3738 || 474 || 208 || 188 || 185 || 182 || [wiki:measureDetailsPage_8_skein512_sphlib-small Details]
|[wiki:ciphers_whirlpool whirlpool] || ref || 57994 || 7258 || 1320 || 513 || 471 || 451 || 431 || [wiki:measureDetailsPage_8_whirlpool_ref Details]
