| '''Run time [s]''' || '''Cycles XBD''' || '''Cycles XBH''' || '''Deviation [cycles]''' || '''Deviation [PPM nominal]''' 
|0 || 266051870 || 266056725 || 4855 || 18
|5 || 266033516 || 266037622 || 4106 || 15
|9 || 266030058 || 266033682 || 3624 || 14
|13 || 266032452 || 266036858 || 4406 || 17
|18 || 266030856 || 266037190 || 6334 || 24
|22 || 266028195 || 266032319 || 4124 || 16
|169 || 266043092 || 266047265 || 4173 || 16
|346 || 266060914 || 266070806 || 9892 || 37
|578 || 266040166 || 266044505 || 4339 || 16
|1230 || 266031121 || 266037307 || 6186 || 23
|1740 || 266027132 || 266031471 || 4339 || 16
|1907 || 266041762 || 266045769 || 4007 || 15
|2230 || 266027664 || 266031604 || 3940 || 15
|2529 || 266021546 || 266025719 || 4173 || 16
|2754 || 266042826 || 266047149 || 4323 || 16
|2855 || 266047348 || 266051937 || 4589 || 17
|3181 || 266049476 || 266059667 || 10191 || 38
|3518 || 266037506 || 266043292 || 5786 || 22
|3793 || 266026334 || 266030457 || 4123 || 15
|4075 || 266039101 || 266043558 || 4457 || 17
|4394 || 266048678 || 266053333 || 4655 || 17
|4650 || 266046550 || 266051055 || 4505 || 17
|4794 || 266043890 || 266048628 || 4738 || 18
|5206 || 266044156 || 266048595 || 4439 || 17
|5831 || 266061977 || 266071770 || 9793 || 37
|6161 || 266046018 || 266050972 || 4954 || 19
|6597 || 266059052 || 266069193 || 10141 || 38
|6703 || 266026334 || 266030490 || 4156 || 16
|6749 || 266029791 || 266034131 || 4340 || 16
|6792 || 266040431 || 266044838 || 4407 || 17
|6848 || 266031121 || 266035129 || 4008 || 15
|7265 || 266029526 || 266033682 || 4156 || 16
|7415 || 266029260 || 266033416 || 4156 || 16
|7993 || 266043890 || 266048445 || 4555 || 17
|8331 || 266031388 || 266035046 || 3658 || 14
|8543 || 266037240 || 266041745 || 4505 || 17
|8891 || 266044688 || 266049011 || 4323 || 16
|9265 || 266023408 || 266027398 || 3990 || 15
|9751 || 266034047 || 266038271 || 4224 || 16
|10035 || 266045220 || 266049792 || 4572 || 17
|10418 || 266045752 || 266050490 || 4738 || 18
|11036 || 266037772 || 266041829 || 4057 || 15
|11279 || 266046550 || 266050474 || 3924 || 15
|11601 || 266048146 || 266054464 || 6318 || 24
|12182 || 266067298 || 266076924 || 9626 || 36
|12312 || 266048944 || 266058803 || 9859 || 37
|12432 || 266066233 || 266076425 || 10192 || 38
|12619 || 266040166 || 266044306 || 4140 || 16
|12712 || 266048944 || 266059035 || 10091 || 38
|12954 || 266048411 || 266052751 || 4340 || 16
|13103 || 266030058 || 266036010 || 5952 || 22
|13179 || 266042028 || 266046168 || 4140 || 16
|13320 || 266046816 || 266051105 || 4289 || 16
|13451 || 266034314 || 266038088 || 3774 || 14
|13621 || 266044688 || 266048944 || 4256 || 16
|13681 || 266030324 || 266034314 || 3990 || 15
|13753 || 266046816 || 266051105 || 4289 || 16
|13914 || 266028728 || 266032934 || 4206 || 16
|14052 || 266049476 || 266058969 || 9493 || 36
|14550 || 266024472 || 266028695 || 4223 || 16
|15354 || 266039101 || 266045386 || 6285 || 24
|15723 || 266064903 || 266074729 || 9826 || 37
|16125 || 266037240 || 266041529 || 4289 || 16
|16309 || 266041762 || 266045868 || 4106 || 15
|16738 || 266050274 || 266060016 || 9742 || 37
|16786 || 266041496 || 266045735 || 4239 || 16
|16788 || 266058254 || 266067631 || 9377 || 35
|16789 || 266044156 || 266048179 || 4023 || 15
|16790 || 266038570 || 266044006 || 5436 || 20
|16792 || 266025802 || 266030075 || 4273 || 16
