| '''Run time [s]''' || '''Cycles XBD''' || '''Cycles XBH''' || '''Deviation [cycles]''' || '''Deviation [PPM nominal]''' 
|0 || 180686880 || 107252141141 || 107071454261 || 592580127
|5 || 181670220 || 181659679 || 10541 || 58
|6 || 181044000 || 181036035 || 7965 || 44
|7 || 180928619 || 180919361 || 9258 || 51
|8 || 180791460 || 180782415 || 9045 || 50
|13 || 180566100 || 180558338 || 7762 || 43
|142 || 181373580 || 181365221 || 8359 || 46
|374 || 181021860 || 181008551 || 13309 || 74
|560 || 181505339 || 181491851 || 13488 || 74
|800 || 181477980 || 181470510 || 7470 || 41
|1031 || 180384840 || 180377775 || 7065 || 39
|1491 || 181329479 || 181322258 || 7221 || 40
|2118 || 181483380 || 181475258 || 8122 || 45
|2373 || 180340740 || 180334598 || 6142 || 34
|2644 || 181686600 || 181675373 || 11227 || 62
|2895 || 183422520 || 183412755 || 9765 || 53
|3949 || 184856220 || 184844790 || 11430 || 62
|4094 || 181648080 || 181639913 || 8167 || 45
|4351 || 180966960 || 180954416 || 12544 || 69
|6144 || 181115280 || 181106336 || 8944 || 49
|6376 || 181653660 || 181644255 || 9405 || 52
|6614 || 180664920 || 180655403 || 9517 || 53
|6857 || 181247400 || 181239773 || 7627 || 42
|7059 || 181714140 || 181703171 || 10969 || 60
|7196 || 180659340 || 180648709 || 10631 || 59
|7397 || 180818819 || 180807154 || 11665 || 65
|7885 || 181269180 || 181257570 || 11610 || 64
|8390 || 180374040 || 180361688 || 12352 || 68
|8763 || 180494640 || 180484650 || 9990 || 55
|9028 || 181450260 || 181437660 || 12600 || 69
|9180 || 181582200 || 181570691 || 11509 || 63
|9318 || 180763740 || 180749779 || 13961 || 77
|9428 || 180390420 || 180380430 || 9990 || 55
|9540 || 181626120 || 181617176 || 8944 || 49
|9644 || 181829340 || 181818731 || 10609 || 58
|9779 || 180631980 || 180625140 || 6840 || 38
|14529 || 181230660 || 181224506 || 6154 || 34
|15191 || 181692359 || 181683371 || 8988 || 49
|15290 || 181142820 || 181130726 || 12094 || 67
|15568 || 180972540 || 180960188 || 12352 || 68
|15868 || 181972260 || 181962461 || 9799 || 54
|16151 || 181197720 || 181188079 || 9641 || 53
|16512 || 181290960 || 181286505 || 4455 || 25
|16807 || 181829520 || 181819283 || 10237 || 56
|17403 || 181296540 || 181284851 || 11689 || 64
|17627 || 186921360 || 186910245 || 11115 || 59
|18101 || 181291320 || 181278945 || 12375 || 68
|18798 || 181417320 || 181408590 || 8730 || 48
|19772 || 181911780 || 181907516 || 4264 || 23
|20622 || 181170180 || 181162991 || 7189 || 40
|21394 || 180978120 || 180966499 || 11621 || 64
|22406 || 185504219 || 185493521 || 10698 || 58
|23204 || 181428300 || 181422000 || 6300 || 35
|23411 || 181280160 || 181269585 || 10575 || 58
|23628 || 181170360 || 181157850 || 12510 || 69
|23880 || 180368459 || 180355725 || 12734 || 71
|24074 || 181714140 || 181707896 || 6244 || 34
|24292 || 181818360 || 181810958 || 7402 || 41
|24416 || 180302580 || 180295178 || 7402 || 41
|24528 || 180637740 || 180631418 || 6322 || 35
|24660 || 180758340 || 180751466 || 6874 || 38
|24795 || 182944620 || 182935665 || 8955 || 49
|24886 || 180955980 || 180947340 || 8640 || 48
|25008 || 180571500 || 180560880 || 10620 || 59
|25119 || 180868140 || 180856946 || 11194 || 62
|25258 || 180368280 || 180357255 || 11025 || 61
|25538 || 181159380 || 181145520 || 13860 || 77
|25740 || 180873540 || 180868331 || 5209 || 29
|26068 || 182812500 || 182806279 || 6221 || 34
|26541 || 181494360 || 181485506 || 8854 || 49
|27180 || 181818360 || 181809326 || 9034 || 50
|27863 || 180912060 || 180905974 || 6086 || 34
|28332 || 182016360 || 182009306 || 7054 || 39
|28577 || 180373680 || 180365378 || 8302 || 46
|28689 || 181944720 || 181936519 || 8201 || 45
|28870 || 180511020 || 180501784 || 9236 || 51
|29137 || 181455840 || 181449518 || 6322 || 35
|29221 || 181708560 || 181701000 || 7560 || 42
|29223 || 181703160 || 181694925 || 8235 || 45
|29224 || 181488960 || 181477463 || 11497 || 63
|29225 || 181461420 || 181453208 || 8212 || 45
|29226 || 181862460 || 181855508 || 6952 || 38
