| '''Run time [s]''' || '''Cycles XBD''' || '''Cycles XBH''' || '''Deviation [cycles]''' || '''Deviation [PPM nominal]''' 
|0 || 600023 || 599986 || 37 || 62
|1 || 600023 || 599986 || 37 || 62
|1 || 600023 || 599986 || 37 || 62
|2 || 600023 || 599986 || 37 || 62
|2 || 600023 || 599986 || 37 || 62
|2 || 600023 || 599986 || 37 || 62
|89 || 600023 || 599985 || 38 || 63
|342 || 600023 || 599986 || 37 || 62
|607 || 600023 || 599986 || 37 || 62
|865 || 600023 || 599986 || 37 || 62
|1235 || 600023 || 599986 || 37 || 62
|2567 || 600023 || 599986 || 37 || 62
|4033 || 600023 || 599986 || 37 || 62
|4643 || 600023 || 599985 || 38 || 63
|5356 || 600023 || 599986 || 37 || 62
|5538 || 600023 || 599986 || 37 || 62
|5861 || 600023 || 599986 || 37 || 62
|6040 || 600023 || 599986 || 37 || 62
|6147 || 600023 || 599986 || 37 || 62
|6148 || 600023 || 599986 || 37 || 62
|6148 || 600023 || 599986 || 37 || 62
|6148 || 600023 || 599986 || 37 || 62
|6149 || 600023 || 599986 || 37 || 62
