| '''Run time [s]''' || '''Cycles XBD''' || '''Cycles XBH''' || '''Deviation [cycles]''' || '''Deviation [PPM nominal]''' 
|0 || 266051870 || 266056043 || 4173 || 16
|1 || 266029526 || 266034098 || 4572 || 17
|3 || 266026334 || 266030906 || 4572 || 17
|4 || 266061180 || 266071205 || 10025 || 38
|5 || 266040698 || 266044987 || 4289 || 16
|7 || 266047613 || 266052319 || 4706 || 18
|43 || 266022876 || 266027647 || 4771 || 18
|153 || 266030590 || 266035378 || 4788 || 18
|244 || 266049476 || 266060083 || 10607 || 40
|380 || 266049210 || 266053449 || 4239 || 16
|525 || 266035112 || 266039202 || 4090 || 15
|624 || 266037772 || 266042211 || 4439 || 17
|720 || 266023674 || 266028346 || 4672 || 18
|818 || 266029260 || 266033716 || 4456 || 17
|901 || 266051072 || 266055877 || 4805 || 18
|975 || 266031121 || 266035727 || 4606 || 17
|1142 || 266043624 || 266048595 || 4971 || 19
|1271 || 266026600 || 266030690 || 4090 || 15
|1359 || 266023142 || 266028063 || 4921 || 18
|1589 || 266056126 || 266066184 || 10058 || 38
|1685 || 266044688 || 266048894 || 4206 || 16
|1762 || 266035377 || 266039468 || 4091 || 15
|1904 || 266046283 || 266050607 || 4324 || 16
|2102 || 266044156 || 266048395 || 4239 || 16
|2196 || 266044156 || 266048628 || 4472 || 17
|2288 || 266024737 || 266029426 || 4689 || 18
|2520 || 266026865 || 266031305 || 4440 || 17
|2613 || 266047613 || 266052286 || 4673 || 18
|2683 || 266025004 || 266029277 || 4273 || 16
|2712 || 266041762 || 266046417 || 4655 || 17
|2781 || 266043890 || 266048379 || 4489 || 17
|2971 || 266029526 || 266034131 || 4605 || 17
|3164 || 266066766 || 266077074 || 10308 || 39
|3445 || 266052136 || 266060232 || 8096 || 30
|4153 || 266025270 || 266029958 || 4688 || 18
|4254 || 266044954 || 266049925 || 4971 || 19
|4332 || 266030590 || 266035328 || 4738 || 18
|4448 || 266036973 || 266041380 || 4407 || 17
|4604 || 266052402 || 266062992 || 10590 || 40
|4606 || 266046283 || 266050490 || 4207 || 16
|4607 || 266031654 || 266036509 || 4855 || 18
|4608 || 266030058 || 266034430 || 4372 || 16
|4609 || 266060914 || 266070889 || 9975 || 37
