| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:ciphers_shabal256 <-] shabal256 [wiki:platformsciphers_nslu2-openwrt_shabal256 ->] || [wiki:platformsimplementations_nslu2-openwrt_shabal256_tiny_armeb-mixed tiny_armeb-mixed] || 87614 || 22477 || 2808 || 394 || 87 || 64 || 53 || 42 || 0.6 || 560 || 556 || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:runs_24 Run 24]
|[wiki:ciphers_shabal512 <-] shabal512 [wiki:platformsciphers_nslu2-openwrt_shabal512 ->] || [wiki:platformsimplementations_nslu2-openwrt_shabal512_tiny_armeb-mixed tiny_armeb-mixed] || 87630 || 22510 || 2822 || 395 || 87 || 64 || 53 || 42 || 0.5 || 560 || 588 || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:runs_24 Run 24]
|[wiki:ciphers_bmw256 <-] bmw256 [wiki:platformsciphers_nslu2-openwrt_bmw256 ->] || [wiki:platformsimplementations_nslu2-openwrt_bmw256_sphlib sphlib] || 88395 || 23408 || 2957 || 411 || 88 || 65 || 54 || 42 || 2.2 || 7124 || 740 || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:runs_17 Run 17]
|[wiki:ciphers_blake32 <-] blake32 [wiki:platformsciphers_nslu2-openwrt_blake32 ->] || [wiki:platformsimplementations_nslu2-openwrt_blake32_sphlib sphlib] || 99933 || 28229 || 3552 || 489 || 103 || 75 || 61 || 46 || 1.2 || 10896 || 1324 || [wiki:compilernames armeb-uclibc-gcc -O3] || 4.1.2 || [wiki:runs_19 Run 19]
|[wiki:ciphers_luffa256 <-] luffa256 [wiki:platformsciphers_nslu2-openwrt_luffa256 ->] || [wiki:platformsimplementations_nslu2-openwrt_luffa256_sphlib sphlib] || 138121 || 19418 || 2409 || 438 || 121 || 98 || 86 || 75 || 2.3 || 6052 || 524 || [wiki:compilernames armeb-uclibc-gcc -O2] || 4.1.2 || [wiki:runs_18 Run 18]
|[wiki:ciphers_bmw512 <-] bmw512 [wiki:platformsciphers_nslu2-openwrt_bmw512 ->] || [wiki:platformsimplementations_nslu2-openwrt_bmw512_sphlib sphlib] || 184272 || 66483 || 8319 || 1043 || 207 || 142 || 109 || 76 || 0.9 || 26048 || 3260 || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:runs_19 Run 19]
|[wiki:ciphers_cubehash1632 <-] cubehash1632 [wiki:platformsciphers_nslu2-openwrt_cubehash1632 ->] || [wiki:platformsimplementations_nslu2-openwrt_cubehash1632_unrolled5 unrolled5] || 200315 || 44671 || 5615 || 798 || 189 || 145 || 123 || 101 || 0.2 || 2600 || 356 || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:runs_24 Run 24]
|[wiki:ciphers_skein256 <-] skein256 [wiki:platformsciphers_nslu2-openwrt_skein256 ->] || [wiki:platformsimplementations_nslu2-openwrt_skein256_sphlib-small sphlib-small] || 218320 || 36691 || 4591 || 875 || 207 || 158 || 134 || 110 || 0.7 || 23912 || 1836 || [wiki:compilernames armeb-uclibc-gcc -Os] || 4.1.2 || [wiki:runs_20 Run 20]
|[wiki:ciphers_shavite3256 <-] shavite3256 [wiki:platformsciphers_nslu2-openwrt_shavite3256 ->] || [wiki:platformsimplementations_nslu2-openwrt_shavite3256_sphlib sphlib] || 226915 || 49094 || 6153 || 882 || 212 || 164 || 140 || 115 || 0.6 || 21992 || 924 || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:runs_30 Run 30]
|[wiki:ciphers_fugue256 <-] fugue256 [wiki:platformsciphers_nslu2-openwrt_fugue256 ->] || [wiki:platformsimplementations_nslu2-openwrt_fugue256_sphlib sphlib] || 238170 || 42427 || 5933 || 880 || 218 || 171 || 147 || 123 || 0.6 || 14298 || 708 || [wiki:compilernames armeb-uclibc-gcc -O1] || 4.1.2 || [wiki:runs_24 Run 24]
