| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:ciphers_shabal256 <-] shabal256 [wiki:platformsciphers_atmega1281_16mhz_shabal256 ->] || [wiki:platformsimplementations_atmega1281_16mhz_shabal256_tiny_avr8-fast tiny_avr8-fast] || 312048 || 45825 || 5731 || 889 || 263 || 218 || 196 || 173 || 0.0 || 980 || 272 || [wiki:compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || [wiki:runs_26 Run 26]
|[wiki:ciphers_shabal512 <-] shabal512 [wiki:platformsciphers_atmega1281_16mhz_shabal512 ->] || [wiki:platformsimplementations_atmega1281_16mhz_shabal512_tiny_avr8-fast tiny_avr8-fast] || 312272 || 46049 || 5759 || 893 || 263 || 218 || 196 || 173 || 0.0 || 980 || 304 || [wiki:compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || [wiki:runs_26 Run 26]
|[wiki:ciphers_bmw256 <-] bmw256 [wiki:platformsciphers_atmega1281_16mhz_bmw256 ->] || [wiki:platformsimplementations_atmega1281_16mhz_bmw256_avrcryptolib_asm avrcryptolib_asm] || 809047 || 64287 || 8038 || 1489 || 610 || 548 || 516 || 485 || 0.0 || 11776 || 3166 || [wiki:compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || [wiki:runs_1 Run 1]
|[wiki:ciphers_luffa256 <-] luffa256 [wiki:platformsciphers_atmega1281_16mhz_luffa256 ->] || [wiki:platformsimplementations_atmega1281_16mhz_luffa256_avr avr] || 1166385 || 46141 || 5770 || 1450 || 819 || 774 || 752 || 729 || 0.0 || 894 || 152 || [wiki:compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || [wiki:runs_26 Run 26]
|[wiki:ciphers_fugue256 <-] fugue256 [wiki:platformsciphers_atmega1281_16mhz_fugue256 ->] || [wiki:platformsimplementations_atmega1281_16mhz_fugue256_sphlib sphlib] || 1358657 || 113354 || 15237 || 2611 || 1035 || 922 || 866 || 810 || 0.0 || 41788 || 5326 || [wiki:compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || [wiki:runs_4 Run 4]
|[wiki:ciphers_blake32 <-] blake32 [wiki:platformsciphers_atmega1281_16mhz_blake32 ->] || [wiki:platformsimplementations_atmega1281_16mhz_blake32_sphlib sphlib] || 1419667 || 60206 || 7521 || 1841 || 1004 || 944 || 914 || 884 || 0.0 || 39902 || 1764 || [wiki:compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || [wiki:runs_2 Run 2]
|[wiki:ciphers_luffa384 <-] luffa384 [wiki:platformsciphers_atmega1281_16mhz_luffa384 ->] || [wiki:platformsimplementations_atmega1281_16mhz_luffa384_avr avr] || 1719754 || 98357 || 12297 || 2592 || 1248 || 1152 || 1104 || 1056 || 0.0 || 5792 || 456 || [wiki:compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || [wiki:runs_26 Run 26]
|[wiki:ciphers_skein256 <-] skein256 [wiki:platformsciphers_atmega1281_16mhz_skein256 ->] || [wiki:platformsimplementations_atmega1281_16mhz_skein256_avrcryptolib_asm avrcryptolib_asm] || 1929005 || 117924 || 14754 || 2451 || 1360 || 1282 || 1243 || 1204 || 0.0 || 2398 || 268 || [wiki:compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || [wiki:runs_2 Run 2]
|[wiki:ciphers_echo256 <-] echo256 [wiki:platformsciphers_atmega1281_16mhz_echo256 ->] || [wiki:platformsimplementations_atmega1281_16mhz_echo256_avrcryptolib avrcryptolib] || 1964790 || 220677 || 27587 || 3455 || 1285 || 1280 || 1173 || 1065 || 0.0 || 3534 || 704 || [wiki:compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || [wiki:runs_3 Run 3]
|[wiki:ciphers_groestl256 <-] groestl256 [wiki:platformsciphers_atmega1281_16mhz_groestl256 ->] || [wiki:platformsimplementations_atmega1281_16mhz_groestl256_opt32-avr opt32-avr] || 2147656 || 136362 || 17155 || 3440 || 1576 || 1443 || 1376 || 1309 || 0.0 || 24596 || 487 || [wiki:compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || [wiki:runs_4 Run 4]
|[wiki:ciphers_luffa512 <-] luffa512 [wiki:platformsciphers_atmega1281_16mhz_luffa512 ->] || [wiki:platformsimplementations_atmega1281_16mhz_luffa512_avr avr] || 2327265 || 133583 || 16700 || 3515 || 1689 || 1559 || 1493 || 1428 || 0.0 || 1138 || 248 || [wiki:compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || [wiki:runs_26 Run 26]
|[wiki:ciphers_skein512 <-] skein512 [wiki:platformsciphers_atmega1281_16mhz_skein512 ->] || [wiki:platformsimplementations_atmega1281_16mhz_skein512_avrcryptolib_asm avrcryptolib_asm] || 2405522 || 279950 || 35007 || 4387 || 1811 || 1627 || 1535 || 1443 || 0.0 || 2500 || 429 || [wiki:compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || [wiki:runs_2 Run 2]
