| '''Run time [s]''' || '''Cycles XBD''' || '''Cycles XBH''' || '''Deviation [cycles]''' || '''Deviation [PPM nominal]''' 
|0 || 12000009 || 11999212 || 797 || 66
|1 || 12000009 || 11999212 || 797 || 66
|2 || 12000009 || 11999212 || 797 || 66
|4 || 12000009 || 11999212 || 797 || 66
|5 || 12000009 || 11999212 || 797 || 66
|6 || 12000009 || 11999213 || 796 || 66
|40 || 12000009 || 11999212 || 797 || 66
|101 || 12000009 || 11999212 || 797 || 66
|254 || 12000009 || 11999212 || 797 || 66
|391 || 12000009 || 11999212 || 797 || 66
|2653 || 12000009 || 11999212 || 797 || 66
|3113 || 12000009 || 11999213 || 796 || 66
|3998 || 12000009 || 11999213 || 796 || 66
|4888 || 12000009 || 11999213 || 796 || 66
|10749 || 12000009 || 11999213 || 796 || 66
|16578 || 12000009 || 11999212 || 797 || 66
|16684 || 12000009 || 11999212 || 797 || 66
|16789 || 12000009 || 11999212 || 797 || 66
|16902 || 12000009 || 11999212 || 797 || 66
|17039 || 12000009 || 11999213 || 796 || 66
|17119 || 12000009 || 11999213 || 796 || 66
|19879 || 12000009 || 4.25369619123186e+16 || 4.25369619003186e+16 || 3.54474416646843e+15
|19947 || 12000009 || 11999212 || 797 || 66
|22741 || 12000009 || 11999212 || 797 || 66
|22745 || 12000009 || 11999212 || 797 || 66
|22749 || 12000009 || 11999212 || 797 || 66
|22750 || 12000009 || 11999213 || 796 || 66
|22752 || 12000009 || 11999213 || 796 || 66
