| '''Run time [s]''' || '''Cycles XBD''' || '''Cycles XBH''' || '''Deviation [cycles]''' || '''Deviation [PPM nominal]''' 
|0 || 181637100 || 181627009 || 10091 || 56
|2 || 180934380 || 180927259 || 7121 || 39
|3 || 180637380 || 180626355 || 11025 || 61
|4 || 180401220 || 180391084 || 10136 || 56
|6 || 180785700 || 180774518 || 11182 || 62
|7 || 180983519 || 180980798 || 2721 || 15
|65 || 181247400 || 181243316 || 4084 || 23
|139 || 181681020 || 181671221 || 9799 || 54
|339 || 181472400 || 181463546 || 8854 || 49
|586 || 180582660 || 180578633 || 4027 || 22
|1193 || 180950580 || 180947565 || 3015 || 17
|1778 || 181422900 || 181411661 || 11239 || 62
|2385 || 181812780 || 181805726 || 7054 || 39
|3053 || 180972540 || 180964834 || 7706 || 43
