| '''Run time [s]''' || '''Cycles XBD''' || '''Cycles XBH''' || '''Deviation [cycles]''' || '''Deviation [PPM nominal]''' 
|0 || 12000009 || 4.25363633036038e+16 || 4.25363632916038e+16 || 3.54469428244627e+15
|2 || 12000009 || 11999213 || 796 || 66
|3 || 12000009 || 11999212 || 797 || 66
|4 || 12000009 || 11999212 || 797 || 66
|5 || 12000009 || 11999213 || 796 || 66
|7 || 12000009 || 11999213 || 796 || 66
|41 || 12000009 || 11999213 || 796 || 66
|104 || 12000009 || 11999213 || 796 || 66
|356 || 12000009 || 11999212 || 797 || 66
|504 || 12000009 || 11999213 || 796 || 66
|2817 || 12000009 || 11999212 || 797 || 66
|3277 || 12000009 || 11999213 || 796 || 66
|4155 || 12000009 || 11999213 || 796 || 66
|5095 || 12000009 || 11999212 || 797 || 66
|10953 || 12000009 || 11999213 || 796 || 66
|16948 || 12000009 || 11999212 || 797 || 66
|17054 || 12000009 || 11999212 || 797 || 66
|17162 || 12000009 || 11999212 || 797 || 66
|17241 || 12000009 || 11999212 || 797 || 66
|17364 || 12000009 || 11999212 || 797 || 66
|17444 || 12000009 || 11999212 || 797 || 66
|20192 || 12000009 || 4.25366056082768e+16 || 4.25366055962768e+16 || 3.54471447448721e+15
|20236 || 12000009 || 11999212 || 797 || 66
|23039 || 12000009 || 11999212 || 797 || 66
|23040 || 12000009 || 11999213 || 796 || 66
|23042 || 12000009 || 11999213 || 796 || 66
|23043 || 12000009 || 11999212 || 797 || 66
|23044 || 12000009 || 11999213 || 796 || 66
