| '''Run time [s]''' || '''Cycles XBD''' || '''Cycles XBH''' || '''Deviation [cycles]''' || '''Deviation [PPM nominal]''' 
|0 || 4194327 || 4194167 || 160 || 38
|2 || 4194327 || 4194168 || 159 || 38
|3 || 4194327 || 4194168 || 159 || 38
|4 || 4194327 || 4194168 || 159 || 38
|5 || 4194327 || 4194168 || 159 || 38
|6 || 4194327 || 4194168 || 159 || 38
|165 || 4194327 || 4194168 || 159 || 38
|980 || 4194327 || 4194168 || 159 || 38
|1314 || 4194327 || 4194168 || 159 || 38
|2124 || 4194327 || 4194169 || 158 || 38
|3756 || 4194327 || 4194169 || 158 || 38
|5048 || 4194327 || 4194169 || 158 || 38
|10833 || 4194327 || 4194170 || 157 || 37
|15622 || 4194327 || 4194170 || 157 || 37
|18283 || 4194327 || 4194170 || 157 || 37
|20735 || 4194327 || 4194172 || 155 || 37
|21090 || 4194327 || 4194171 || 156 || 37
|21741 || 4194327 || 4194171 || 156 || 37
|22289 || 4194327 || 4194169 || 158 || 38
|22915 || 4194327 || 4194170 || 157 || 37
|23482 || 4194327 || 4194170 || 157 || 37
|24163 || 4194327 || 4194171 || 156 || 37
|24164 || 4194327 || 4194172 || 155 || 37
|24165 || 4194327 || 4194172 || 155 || 37
|24166 || 4194327 || 4194172 || 155 || 37
|24167 || 4194327 || 4194172 || 155 || 37
