| '''Run time [s]''' || '''Cycles XBD''' || '''Cycles XBH''' || '''Deviation [cycles]''' || '''Deviation [PPM nominal]''' 
|0 || 600023 || 599986 || 37 || 62
|0 || 600023 || 599986 || 37 || 62
|0 || 600023 || 599986 || 37 || 62
|1 || 600023 || 599986 || 37 || 62
|1 || 600023 || 599986 || 37 || 62
|1 || 600023 || 599986 || 37 || 62
|90 || 600023 || 599986 || 37 || 62
|445 || 600023 || 599986 || 37 || 62
|714 || 600023 || 599986 || 37 || 62
|1259 || 600023 || 599986 || 37 || 62
|1801 || 600023 || 599986 || 37 || 62
|3099 || 600023 || 599986 || 37 || 62
|4353 || 600023 || 599986 || 37 || 62
|7420 || 600023 || 599986 || 37 || 62
|10473 || 600023 || 599986 || 37 || 62
|10725 || 600023 || 599986 || 37 || 62
|10956 || 600023 || 599986 || 37 || 62
|11185 || 600023 || 599986 || 37 || 62
|11544 || 600023 || 599986 || 37 || 62
|11724 || 600023 || 599986 || 37 || 62
|12033 || 600023 || 599986 || 37 || 62
|12327 || 600023 || 599986 || 37 || 62
|12690 || 600023 || 599986 || 37 || 62
|12691 || 600023 || 599986 || 37 || 62
|12691 || 600023 || 599986 || 37 || 62
|12692 || 600023 || 599986 || 37 || 62
|12692 || 600023 || 599986 || 37 || 62
