| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2012ciphers_blake256 <-] blake256 [wiki:r2012platformsciphers_msp430fg4618_4mhz_blake256 ->] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_blake256_sphlib sphlib] || 598541 || 25851 || 3233 || 782 || 424 || 398 || 385 || 373 || 200.0 || 31982 || 2488 || msp430-gcc  -mmcu=msp430fg4618 -Wl,-section-start= text=0x3200 -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.6.1 20110627 (mspgcc dev 20120125) (GCC) || [wiki:r2012runs_318 Run 318]
|[wiki:r2012ciphers_sha256 <-] sha256 [wiki:r2012platformsciphers_msp430fg4618_4mhz_sha256 ->] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_sha256_sphlib-small sphlib-small] || 897525 || 36673 || 4598 || 1133 || 632 || 596 || 578 || 560 || 0.0 || 21984 || 930 || msp430-gcc  -mmcu=msp430fg4618 -Wl,-section-start= text=0x3200 -O3 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.6.1 20110627 (mspgcc dev 20120125) (GCC) || [wiki:r2012runs_318 Run 318]
|[wiki:r2012ciphers_groestl256 <-] groestl256 [wiki:r2012platformsciphers_msp430fg4618_4mhz_groestl256 ->] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_groestl256_sphlib-small sphlib-small] || 1155845 || 70098 || 8762 || 1806 || 844 || 775 || 741 || 707 || 0.0 || 21482 || 1196 || msp430-gcc  -mmcu=msp430fg4618 -Wl,-section-start= text=0x3200 -O3 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.6.1 20110627 (mspgcc dev 20120125) (GCC) || [wiki:r2012runs_318 Run 318]
|[wiki:r2012ciphers_blake512 <-] blake512 [wiki:r2012platformsciphers_msp430fg4618_4mhz_blake512 ->] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_blake512_sphlib-small sphlib-small] || 1423289 || 115001 || 14384 || 1795 || 1077 || 964 || 908 || 851 || 0.0 || 13746 || 1360 || msp430-gcc  -mmcu=msp430fg4618 -Wl,-section-start= text=0x3200 -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.6.1 20110627 (mspgcc dev 20120125) (GCC) || [wiki:r2012runs_318 Run 318]
|[wiki:r2012ciphers_keccakc512 <-] keccakc512 [wiki:r2012platformsciphers_msp430fg4618_4mhz_keccakc512 ->] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_keccakc512_armcryptolibr3 armcryptolibr3] || 1514301 || 128205 || 16030 || 2004 || 989 || 987 || 985 || 984 || 0.0 || 7642 || 604 || msp430-gcc  -mmcu=msp430fg4618 -Wl,-section-start= text=0x3200 -O3 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.6.1 20110627 (mspgcc dev 20120125) (GCC) || [wiki:r2012runs_318 Run 318]
|[wiki:r2012ciphers_skein512256 <-] skein512256 [wiki:r2012platformsciphers_msp430fg4618_4mhz_skein512256 ->] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_skein512256_sphlib-small sphlib-small] || 1980258 || 160630 || 20083 || 2511 || 1396 || 1316 || 1276 || 1236 || 0.0 || 26944 || 1268 || msp430-gcc  -mmcu=msp430fg4618 -Wl,-section-start= text=0x3200 -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.6.1 20110627 (mspgcc dev 20120125) (GCC) || [wiki:r2012runs_318 Run 318]
|[wiki:r2012ciphers_skein512512 <-] skein512512 [wiki:r2012platformsciphers_msp430fg4618_4mhz_skein512512 ->] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_skein512512_sphlib-small sphlib-small] || 1981642 || 162014 || 20256 || 2533 || 1399 || 1317 || 1277 || 1236 || 0.0 || 26944 || 1300 || msp430-gcc  -mmcu=msp430fg4618 -Wl,-section-start= text=0x3200 -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.6.1 20110627 (mspgcc dev 20120125) (GCC) || [wiki:r2012runs_317 Run 317]
|[wiki:r2012ciphers_sha512 <-] sha512 [wiki:r2012platformsciphers_msp430fg4618_4mhz_sha512 ->] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_sha512_sphlib-small sphlib-small] || 2298812 || 180410 || 22571 || 2822 || 1732 || 1555 || 1467 || 1379 || 0.0 || 19848 || 2188 || msp430-gcc  -mmcu=msp430fg4618 -Wl,-section-start= text=0x3200 -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.6.1 20110627 (mspgcc dev 20120125) (GCC) || [wiki:r2012runs_318 Run 318]
|[wiki:r2012ciphers_jh256 <-] jh256 [wiki:r2012platformsciphers_msp430fg4618_4mhz_jh256 ->] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_jh256_opt32 opt32] || 2368860 || 96035 || 23920 || 2980 || 1667 || 1573 || 1527 || 1480 || 0.0 || 9676 || 378 || msp430-gcc  -mmcu=msp430fg4618 -Wl,-section-start= text=0x3200 -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.6.1 20110627 (mspgcc dev 20120125) (GCC) || [wiki:r2012runs_318 Run 318]
|[wiki:r2012ciphers_jh512 <-] jh512 [wiki:r2012platformsciphers_msp430fg4618_4mhz_jh512 ->] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_jh512_opt32 opt32] || 2369022 || 96196 || 23940 || 2983 || 1668 || 1574 || 1527 || 1480 || 0.0 || 9676 || 410 || msp430-gcc  -mmcu=msp430fg4618 -Wl,-section-start= text=0x3200 -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.6.1 20110627 (mspgcc dev 20120125) (GCC) || [wiki:r2012runs_316 Run 316]
