| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2012ciphers_0hash <-] 0hash [wiki:r2012platformsciphers_lpc1114-evb_0hash ->] || [wiki:r2012platformsimplementations_lpc1114-evb_0hash_empty empty] || 127 || 127 || 16 || 2 || 0 || 0 || 0 || 0 || 0.8 || 0 || 0 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -Os || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_327 Run 327]
|[wiki:r2012ciphers_blake256 <-] blake256 [wiki:r2012platformsciphers_lpc1114-evb_blake256 ->] || [wiki:r2012platformsimplementations_lpc1114-evb_blake256_sphlib sphlib] || 177116 || 8838 || 1120 || 249 || 127 || 118 || 114 || 109 || 0.3 || 9124 || 772 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -O1 || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_328 Run 328]
|[wiki:r2012ciphers_sha256 <-] sha256 [wiki:r2012platformsciphers_lpc1114-evb_sha256 ->] || [wiki:r2012platformsimplementations_lpc1114-evb_sha256_sphlib-small sphlib-small] || 203382 || 9034 || 1150 || 267 || 144 || 135 || 131 || 126 || 0.0 || 5964 || 296 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -O1 || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_319 Run 319]
|[wiki:r2012ciphers_keccakc512 <-] keccakc512 [wiki:r2012platformsciphers_lpc1114-evb_keccakc512 ->] || [wiki:r2012platformsimplementations_lpc1114-evb_keccakc512_inplace32bi-armv6m_gcc inplace32bi-armv6m_gcc] || 281569 || 21249 || 2680 || 356 || 185 || 184 || 183 || 183 || 0.0 || 5312 || 256 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -Os || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_319 Run 319]
|[wiki:r2012ciphers_skein512256 <-] skein512256 [wiki:r2012platformsciphers_lpc1114-evb_skein512256 ->] || [wiki:r2012platformsimplementations_lpc1114-evb_skein512256_sphlib-small sphlib-small] || 366341 || 30357 || 3808 || 475 || 259 || 244 || 236 || 228 || 0.0 || 5516 || 760 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -Os || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_328 Run 328]
|[wiki:r2012ciphers_skein512512 <-] skein512512 [wiki:r2012platformsciphers_lpc1114-evb_skein512512 ->] || [wiki:r2012platformsimplementations_lpc1114-evb_skein512512_sphlib-small sphlib-small] || 366470 || 30485 || 3824 || 477 || 260 || 244 || 236 || 228 || 0.0 || 5516 || 792 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -Os || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_328 Run 328]
|[wiki:r2012ciphers_sha512 <-] sha512 [wiki:r2012platformsciphers_lpc1114-evb_sha512 ->] || [wiki:r2012platformsimplementations_lpc1114-evb_sha512_sphlib-small sphlib-small] || 395352 || 31514 || 3960 || 495 || 299 || 268 || 252 || 237 || 0.0 || 4116 || 824 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -O1 || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_319 Run 319]
|[wiki:r2012ciphers_blake512 <-] blake512 [wiki:r2012platformsciphers_lpc1114-evb_blake512 ->] || [wiki:r2012platformsimplementations_lpc1114-evb_blake512_sphlib-small sphlib-small] || 407462 || 33665 || 4222 || 526 || 310 || 276 || 260 || 243 || 0.0 || 5876 || 824 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -O1 || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_327 Run 327]
|[wiki:r2012ciphers_keccakc1024 <-] keccakc1024 [wiki:r2012platformsciphers_lpc1114-evb_keccakc1024 ->] || [wiki:r2012platformsimplementations_lpc1114-evb_keccakc1024_inplace32bi-armv6m_gcc inplace32bi-armv6m_gcc] || 478788 || 21383 || 2697 || 358 || 340 || 319 || 308 || 298 || 0.0 || 5248 || 312 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -O1 || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_319 Run 319]
|[wiki:r2012ciphers_sha1 <-] sha1 [wiki:r2012platformsciphers_lpc1114-evb_sha1 ->] || [wiki:r2012platformsimplementations_lpc1114-evb_sha1_avrcryptolib avrcryptolib] || 857445 || 35220 || 4413 || 1085 || 604 || 570 || 553 || 535 || 0.4 || 3004 || 304 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -O1 || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_315 Run 315]
|[wiki:r2012ciphers_jh256 <-] jh256 [wiki:r2012platformsciphers_lpc1114-evb_jh256 ->] || [wiki:r2012platformsimplementations_lpc1114-evb_jh256_sphlib sphlib] || 1077074 || 45646 || 11094 || 1389 || 761 || 716 || 694 || 671 || 0.0 || 10624 || 660 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -Os || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_328 Run 328]
