| '''Platform''' || '''Implementation''' || '''Try Cycles (1536)''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2011platforms_beagleboard_xm <-] beagleboard_xm [wiki:r2011platformsciphers_beagleboard_xm_groestl512 ->] || [wiki:r2011platformsimplementations_beagleboard_xm_groestl512_arm32 arm32] || 212500 || 39000 || 4891 || 620 || 187 || 149 || 131 || 113 || arm-none-linux-gnueabi-gcc -pipe -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections -mcpu=cortex-a8 -mfpu=neon || 4.3.3 (Sourcery G++ Lite 2009q1-203) || [wiki:r2011runs_305 Run 305]
|[wiki:r2011platforms_artila_m501 <-] artila_m501 [wiki:r2011platformsciphers_artila_m501_groestl512 ->] || [wiki:r2011platformsimplementations_artila_m501_groestl512_arm32 arm32] || 410501 || 95378 || 11917 || 1495 || 392 || 299 || 252 || 205 || [wiki:r2011compilernames arm-artila-gcc -O0] || 3.3.2 || [wiki:r2011runs_313 Run 313]
|[wiki:r2011platforms_nslu2-openwrt <-] nslu2-openwrt [wiki:r2011platformsciphers_nslu2-openwrt_groestl512 ->] || [wiki:r2011platformsimplementations_nslu2-openwrt_groestl512_opt32 opt32] || 671750 || 121745 || 15060 || 1885 || 595 || 477 || 418 || 358 || [wiki:r2011compilernames armeb-uclibc-gcc -Os] || 4.1.2 || [wiki:r2011runs_307 Run 307]
|[wiki:r2011platforms_lm3s811-evb <-] lm3s811-evb [wiki:r2011platformsciphers_lm3s811-evb_groestl512 ->] || [wiki:r2011platformsimplementations_lm3s811-evb_groestl512_sphlib-adapted sphlib-adapted] || 779227 || 88583 || 11075 || 1378 || 623 || 536 || 493 || 449 || [wiki:r2011compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:r2011runs_304 Run 304]
|[wiki:r2011platforms_fritzbox-7170 <-] fritzbox-7170 [wiki:r2011platformsciphers_fritzbox-7170_groestl512 ->] || [wiki:r2011platformsimplementations_fritzbox-7170_groestl512_sphlib-small sphlib-small] || 1239604 || 175695 || 21977 || 2748 || 952 || 886 || 757 || 629 || [wiki:r2011compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:r2011runs_311 Run 311]
|[wiki:r2011platforms_lpc1114-evb <-] lpc1114-evb [wiki:r2011platformsciphers_lpc1114-evb_groestl512 ->] || [wiki:r2011platformsimplementations_lpc1114-evb_groestl512_sphlib-small sphlib-small] || 2480606 || 272464 || 34073 || 4257 || 1970 || 1704 || 1571 || 1437 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -O1 || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2011runs_315 Run 315]
|[wiki:r2011platforms_msp430fg4618_4mhz <-] msp430fg4618_4mhz [wiki:r2011platformsciphers_msp430fg4618_4mhz_groestl512 ->] || [wiki:r2011platformsimplementations_msp430fg4618_4mhz_groestl512_sphlib-small sphlib-small] || 3623328 || 404589 || 50574 || 6318 || 2887 || 2491 || 2293 || 2095 || msp430-gcc  -mmcu=msp430fg4618 -Wl,-section-start= text=0x3200 -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.6.1 20110627 (mspgcc dev 20120125) (GCC) || [wiki:r2011runs_318 Run 318]
|[wiki:r2011platforms_atmega1284p_16mhz <-] atmega1284p_16mhz [wiki:r2011platformsciphers_atmega1284p_16mhz_groestl512 ->] || [wiki:r2011platformsimplementations_atmega1284p_16mhz_groestl512_sphlib-small sphlib-small] || 6179989 || 689884 || 86230 || 10773 || 4924 || 4249 || 3911 || 3573 || [wiki:r2011compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || [wiki:r2011runs_302 Run 302]
