| '''Platform''' || '''Implementation''' || '''Try Cycles (1536)''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:r2012platforms_beagleboard_xm <-] beagleboard_xm [wiki:r2012platformsciphers_beagleboard_xm_sha256 ->] || [wiki:r2012platformsimplementations_beagleboard_xm_sha256_sphlib-small sphlib-small] || 50188 || 9813 || 1242 || 178 || 46 || 36 || 32 || 27 || arm-none-linux-gnueabi-gcc -pipe -O3 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections -mcpu=cortex-a8 -mfpu=neon -mthumb || 4.3.3 (Sourcery G++ Lite 2009q1-203) || [wiki:r2012runs_305 Run 305]
|[wiki:r2012platforms_lm3s811-evb <-] lm3s811-evb [wiki:r2012platformsciphers_lm3s811-evb_sha256 ->] || [wiki:r2012platformsimplementations_lm3s811-evb_sha256_sphlib sphlib] || 65663 || 3239 || 413 || 91 || 47 || 44 || 42 || 41 || [wiki:r2012compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:r2012runs_324 Run 324]
|[wiki:r2012platforms_artila_m501 <-] artila_m501 [wiki:r2012platformsciphers_artila_m501_sha256 ->] || [wiki:r2012platformsimplementations_artila_m501_sha256_sphlib-small sphlib-small] || 85039 || 12724 || 1633 || 247 || 72 || 60 || 53 || 47 || [wiki:r2012compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:r2012runs_312 Run 312]
|[wiki:r2012platforms_nslu2-openwrt <-] nslu2-openwrt [wiki:r2012platformsciphers_nslu2-openwrt_sha256 ->] || [wiki:r2012platformsimplementations_nslu2-openwrt_sha256_sphlib-small sphlib-small] || 102177 || 20465 || 2594 || 376 || 93 || 73 || 63 || 53 || [wiki:r2012compilernames armeb-uclibc-gcc -Os] || 4.1.2 || [wiki:r2012runs_307 Run 307]
|[wiki:r2012platforms_fritzbox-7170 <-] fritzbox-7170 [wiki:r2012platformsciphers_fritzbox-7170_sha256 ->] || [wiki:r2012platformsimplementations_fritzbox-7170_sha256_sphlib-small sphlib-small] || 152402 || 46084 || 5948 || 814 || 161 || 115 || 91 || 68 || [wiki:r2012compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:r2012runs_309 Run 309]
|[wiki:r2012platforms_lpc1114-evb <-] lpc1114-evb [wiki:r2012platformsciphers_lpc1114-evb_sha256 ->] || [wiki:r2012platformsimplementations_lpc1114-evb_sha256_sphlib-small sphlib-small] || 203382 || 9034 || 1150 || 267 || 144 || 135 || 131 || 126 || arm-none-eabi-gcc -pipe -Wall -mthumb -mcpu=cortex-m0 -Dtarget=lpc11xx -std=c99 -T memconfig app ld  -Wl,-gc-sections -fomit-frame-pointer -ffunction-sections -fdata-sections -fmessage-length=0 -fno-builtin  -O1 || 4.5.2 (Sourcery G++ Lite 2011.03-42) || [wiki:r2012runs_319 Run 319]
|[wiki:r2012platforms_msp430fg4618_4mhz <-] msp430fg4618_4mhz [wiki:r2012platformsciphers_msp430fg4618_4mhz_sha256 ->] || [wiki:r2012platformsimplementations_msp430fg4618_4mhz_sha256_sphlib-small sphlib-small] || 897525 || 36673 || 4598 || 1133 || 632 || 596 || 578 || 560 || msp430-gcc  -mmcu=msp430fg4618 -Wl,-section-start= text=0x3200 -O3 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.6.1 20110627 (mspgcc dev 20120125) (GCC) || [wiki:r2012runs_318 Run 318]
|[wiki:r2012platforms_atmega1284p_16mhz <-] atmega1284p_16mhz [wiki:r2012platformsciphers_atmega1284p_16mhz_sha256 ->] || [wiki:r2012platformsimplementations_atmega1284p_16mhz_sha256_sphlib-small sphlib-small] || 4128524 || 169182 || 21179 || 5221 || 2908 || 2743 || 2660 || 2578 || [wiki:r2012compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || [wiki:r2012runs_322 Run 322]
