| '''Hash''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' 
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_artila_m501_0hash_empty empty] || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 2992973 || 1271 || 0 (22037) || 0 (472) || 0 (2736) || 0(13) || Checksum OK
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_artila_m501_0hash_empty empty] || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 2352893 || 1001 || 0 (16884) || 0 (472) || 0 (2736) || 0(0) || Checksum OK
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_artila_m501_0hash_empty empty] || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 2292908 || 1103 || 0 (16680) || 0 (472) || 0 (2736) || 0(0) || Checksum OK
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_artila_m501_0hash_empty empty] || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 2283941 || 1080 || 0 (20020) || 0 (472) || 0 (2736) || 0(0) || Checksum OK
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_artila_m501_0hash_empty empty] || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 2314013 || 1114 || 0 (16541) || 0 (472) || 0 (2736) || 0(0) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_armcryptolib armcryptolib] || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 9483255 || 680423 || 3992 (26029) || 0 (472) || 0 (2736) || 272(285) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_armcryptolib armcryptolib] || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 4002030 || 172238 || 2136 (19020) || 0 (472) || 0 (2736) || 276(276) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_armcryptolib armcryptolib] || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 3841065 || 162799 || 2156 (18836) || 0 (472) || 0 (2736) || 280(280) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_armcryptolib armcryptolib] || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 3874961 || 165364 || 3712 (23732) || 0 (472) || 0 (2736) || 428(428) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_armcryptolib armcryptolib] || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 3860370 || 159525 || 2080 (18621) || 0 (472) || 0 (2736) || 280(280) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_light light] || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 5758414 || 275344 || 7209 (29246) || 4 (476) || 0 (2736) || 404(417) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_light light] || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 3737689 || 138555 || 4032 (20916) || 8 (480) || 0 (2736) || 420(420) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_light light] || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 3708158 || 140861 || 4352 (21032) || 8 (480) || 0 (2736) || 512(512) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_light light] || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 3689629 || 141514 || 4744 (24764) || 8 (480) || 0 (2736) || 508(508) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_light light] || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 3768761 || 143944 || 4360 (20901) || 8 (480) || 0 (2736) || 520(520) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_sphlib sphlib] || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 9807199 || 282263 || 31952 (53989) || 0 (472) || 0 (2736) || 508(521) || Checksum OK
