| '''Cipher''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' 
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 1374197 || 144491 || 5986 (37431) || 64 (1004) || 0 (1004) || 736(792) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 1397226 || 144783 || 5991 (37492) || 64 (1004) || 0 (1004) || 736(792) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 1503902 || 150745 || 5770 (36920) || 64 (1004) || 0 (1004) || 608(664) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 9378218 || 635258 || 5870 (48020) || 60 (1004) || 32 (1004) || 456(504) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 2947423 || 239070 || 3782 (36827) || 60 (1000) || 32 (1000) || 488(544) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 3008943 || 244966 || 3638 (35083) || 60 (1000) || 32 (1000) || 496(552) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 3114148 || 254519 || 6868 (38369) || 60 (1000) || 32 (1000) || 968(1024) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 2975884 || 238606 || 3558 (34708) || 60 (1000) || 32 (1000) || 480(536) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 5834783 || 350516 || 12956 (55106) || 68 (1012) || 32 (1012) || 1216(1264) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 2845769 || 249471 || 12220 (45265) || 64 (1004) || 32 (1004) || 1240(1296) || Checksum OK
