| '''Hash''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' 
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 1643106 || 128446 || 12593 (44126) || 64 (1004) || 0 (2836) || 600(656) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 2072989 || 133931 || 12612 (43794) || 64 (1004) || 0 (2840) || 608(664) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 5406504 || 283153 || 9106 (51336) || 68 (1012) || 0 (2840) || 568(616) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 1771247 || 125199 || 5890 (38983) || 64 (1004) || 0 (2840) || 504(560) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 1636150 || 145326 || 5986 (37463) || 64 (1004) || 0 (2840) || 736(792) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 1876187 || 145472 || 5991 (37524) || 64 (1004) || 0 (2836) || 736(792) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 1765907 || 152587 || 5770 (36952) || 64 (1004) || 0 (2840) || 608(664) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 11645438 || 637709 || 5854 (48084) || 60 (1004) || 32 (2872) || 456(504) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 3879030 || 241322 || 3782 (36875) || 60 (1000) || 32 (2872) || 488(544) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 3746636 || 246596 || 3638 (35115) || 60 (1000) || 32 (2872) || 496(552) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 3480510 || 255606 || 6868 (38401) || 60 (1000) || 32 (2868) || 968(1024) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 3922755 || 241031 || 3558 (34740) || 60 (1000) || 32 (2872) || 480(536) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_ref ref] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 10234565 || 390080 || 14681 (56911) || 24 (968) || 32 (2872) || 880(928) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_ref ref] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 3982897 || 548736 || 9137 (42230) || 24 (964) || 32 (2872) || 928(984) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_ref ref] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 4460215 || 271188 || 9617 (41094) || 24 (964) || 32 (2872) || 1048(1104) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_ref ref] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 4698927 || 268935 || 9734 (41267) || 24 (964) || 32 (2868) || 1064(1120) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_ref ref] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 3455057 || 238818 || 8625 (39807) || 24 (964) || 32 (2872) || 976(1032) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 8429027 || 353298 || 12956 (55186) || 68 (1012) || 32 (2872) || 1216(1264) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 4737153 || 250226 || 12220 (45313) || 64 (1004) || 32 (2872) || 1240(1296) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 4988122 || 597681 || 13436 (44913) || 64 (1004) || 32 (2872) || 2232(2288) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 4882864 || 289844 || 13489 (45022) || 64 (1004) || 32 (2868) || 2232(2288) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 4284838 || 277349 || 10164 (41346) || 64 (1004) || 32 (2872) || 1576(1632) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 8191720 || 354014 || 12962 (55192) || 68 (1012) || 32 (2872) || 1216(1264) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 4163269 || 479027 || 12226 (45319) || 64 (1004) || 32 (2872) || 1240(1296) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 4705989 || 290321 || 13442 (44919) || 64 (1004) || 32 (2872) || 2232(2288) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 4928801 || 289592 || 13495 (45028) || 64 (1004) || 32 (2868) || 2232(2288) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 4390361 || 277137 || 10170 (41352) || 64 (1004) || 32 (2872) || 1576(1632) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 33568782 || 533829 || 14270 (56500) || 116 (1060) || 0 (2840) || 552(600) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 2207516 || 222984 || 6486 (39579) || 52 (992) || 0 (2840) || 576(632) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 2122226 || 145737 || 6854 (38331) || 52 (992) || 0 (2840) || 896(952) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 2157445 || 145419 || 8310 (39843) || 52 (992) || 0 (2836) || 904(960) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 2176525 || 146439 || 6646 (37828) || 52 (992) || 0 (2840) || 888(944) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_armcryptolib-speed armcryptolib-speed] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 38409471 || 1915685 || 22919 (65149) || 56 (1000) || 0 (2840) || 560(608) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_armcryptolib-speed armcryptolib-speed] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 2514214 || 125146 || 13335 (46428) || 52 (992) || 0 (2840) || 752(808) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_armcryptolib-speed armcryptolib-speed] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 3051806 || 128472 || 13767 (45244) || 52 (992) || 0 (2840) || 1672(1728) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_armcryptolib-speed armcryptolib-speed] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 2190994 || 129188 || 13855 (45388) || 52 (992) || 0 (2836) || 1688(1744) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_armcryptolib-speed armcryptolib-speed] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 1486902 || 108690 || 10159 (41341) || 52 (992) || 0 (2840) || 760(816) || Checksum OK
