| '''Hash''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' 
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 1822789 || 13078 || 0 (42230) || 0 (944) || 0 (2840) || 0(48) || Checksum OK
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 233386 || 13118 || 0 (33093) || 0 (940) || 0 (2840) || 0(56) || Checksum OK
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 218811 || 12747 || 0 (31477) || 0 (940) || 0 (2840) || 0(56) || Checksum OK
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 221249 || 13118 || 0 (31533) || 0 (940) || 0 (2836) || 0(56) || Checksum OK
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_fritzbox-7170_0hash_empty empty] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 264073 || 12906 || 0 (31182) || 0 (940) || 0 (2840) || 0(56) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 8428087 || 687821 || 4990 (47220) || 60 (1004) || 0 (2840) || 280(328) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 2117125 || 205137 || 3270 (36363) || 60 (1000) || 0 (2840) || 280(336) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 1881884 || 184453 || 3110 (34587) || 60 (1000) || 0 (2840) || 288(344) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 1889635 || 191714 || 8196 (39729) || 60 (1000) || 0 (2836) || 664(720) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 1963001 || 186004 || 3046 (34228) || 60 (1000) || 0 (2840) || 280(336) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_light light] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 4703207 || 286478 || 8516 (50746) || 44 (988) || 0 (2840) || 384(432) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_light light] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 1453167 || 137376 || 4764 (37857) || 44 (984) || 0 (2840) || 440(496) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_light light] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 1562546 || 152123 || 5004 (36481) || 44 (984) || 0 (2840) || 480(536) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_light light] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 1557100 || 149725 || 5601 (37134) || 44 (984) || 0 (2836) || 576(632) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_light light] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 1511799 || 143842 || 4684 (35866) || 44 (984) || 0 (2840) || 496(552) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_ref ref] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 4654871 || 286823 || 8455 (50685) || 28 (972) || 0 (2840) || 352(400) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_ref ref] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 1418969 || 137416 || 4735 (37828) || 28 (968) || 0 (2840) || 408(464) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_ref ref] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 1539836 || 151951 || 4975 (36452) || 28 (968) || 0 (2840) || 447(503) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_ref ref] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 1543956 || 149420 || 5588 (37121) || 28 (968) || 0 (2836) || 544(600) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_ref ref] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 1527076 || 143219 || 4671 (35853) || 28 (968) || 0 (2840) || 464(520) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 18434049 || 1513640 || 24668 (66898) || 68 (1012) || 0 (2840) || 568(616) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 1614552 || 128856 || 12940 (46033) || 64 (1004) || 0 (2840) || 608(664) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 1485815 || 126736 || 12588 (44065) || 64 (1004) || 0 (2840) || 600(656) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 1505955 || 126485 || 12593 (44126) || 64 (1004) || 0 (2836) || 600(656) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 1651639 || 132156 || 12612 (43794) || 64 (1004) || 0 (2840) || 608(664) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 4679105 || 280874 || 9106 (51336) || 68 (1012) || 0 (2840) || 568(616) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 1261307 || 123291 || 5890 (38983) || 64 (1004) || 0 (2840) || 504(560) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 1408051 || 143696 || 5986 (37463) || 64 (1004) || 0 (2840) || 736(792) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 1487074 || 143816 || 5991 (37524) || 64 (1004) || 0 (2836) || 736(792) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_fritzbox-7170_blake32_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 1545613 || 150666 || 5770 (36952) || 64 (1004) || 0 (2840) || 608(664) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 9596591 || 635232 || 5854 (48084) || 60 (1004) || 32 (2872) || 456(504) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 3047739 || 239017 || 3782 (36875) || 60 (1000) || 32 (2872) || 488(544) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 3110358 || 244542 || 3638 (35115) || 60 (1000) || 32 (2872) || 496(552) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 3238857 || 253870 || 6868 (38401) || 60 (1000) || 32 (2868) || 968(1024) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 3080691 || 238659 || 3558 (34740) || 60 (1000) || 32 (2872) || 480(536) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_ref ref] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 8231655 || 387404 || 14681 (56911) || 24 (968) || 32 (2872) || 880(928) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_ref ref] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 3289061 || 257130 || 9137 (42230) || 24 (964) || 32 (2872) || 928(984) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_ref ref] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 3417241 || 269147 || 9617 (41094) || 24 (964) || 32 (2872) || 1048(1104) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_ref ref] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 3489533 || 266868 || 9734 (41267) || 24 (964) || 32 (2868) || 1064(1120) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_ref ref] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 3047407 || 237069 || 8625 (39807) || 24 (964) || 32 (2872) || 976(1032) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 6752558 || 351032 || 12956 (55186) || 68 (1012) || 32 (2872) || 1216(1264) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 3431618 || 248491 || 12220 (45313) || 64 (1004) || 32 (2872) || 1240(1296) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 4223159 || 288877 || 13436 (44913) || 64 (1004) || 32 (2872) || 2232(2288) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 4296207 || 288426 || 13489 (45022) || 64 (1004) || 32 (2868) || 2232(2288) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib sphlib] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 3585384 || 275984 || 10164 (41346) || 64 (1004) || 32 (2872) || 1576(1632) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 6673853 || 351231 || 12962 (55192) || 68 (1012) || 32 (2872) || 1216(1264) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 3465538 || 248994 || 12226 (45319) || 64 (1004) || 32 (2872) || 1240(1296) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 4273006 || 288916 || 13442 (44919) || 64 (1004) || 32 (2872) || 2232(2288) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 4332021 || 288227 || 13495 (45028) || 64 (1004) || 32 (2868) || 2232(2288) || Checksum OK
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_fritzbox-7170_blake64_sphlib-small sphlib-small] || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || 3590777 || 275719 || 10170 (41352) || 64 (1004) || 32 (2872) || 1576(1632) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 26134804 || 531895 || 14270 (56500) || 116 (1060) || 0 (2840) || 552(600) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 2004791 || 146519 || 6486 (39579) || 52 (992) || 0 (2840) || 576(632) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 1918640 || 144253 || 6854 (38331) || 52 (992) || 0 (2840) || 896(952) || Checksum OK
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_fritzbox-7170_bmw256_armcryptolib armcryptolib] || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || 1944212 || 143723 || 8310 (39843) || 52 (992) || 0 (2836) || 904(960) || Checksum OK
