| '''Hash''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' 
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_artila_m501_0hash_empty empty] || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 2986774 || 1204 || 0 (22037) || 0 (472) || 0 (2744) || 0(13) || Checksum OK
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_artila_m501_0hash_empty empty] || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 2343398 || 1103 || 0 (16884) || 0 (472) || 0 (2744) || 0(0) || Checksum OK
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_artila_m501_0hash_empty empty] || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 2281624 || 990 || 0 (16680) || 0 (472) || 0 (2744) || 0(0) || Checksum OK
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_artila_m501_0hash_empty empty] || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 2273828 || 1035 || 0 (20020) || 0 (472) || 0 (2744) || 0(0) || Checksum OK
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_artila_m501_0hash_empty empty] || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 2325274 || 1103 || 0 (16541) || 0 (472) || 0 (2744) || 0(0) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_armcryptolib armcryptolib] || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 9480296 || 667496 || 3992 (26029) || 0 (472) || 0 (2744) || 272(285) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_armcryptolib armcryptolib] || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 4011851 || 172125 || 2136 (19020) || 0 (472) || 0 (2744) || 276(276) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_armcryptolib armcryptolib] || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 3849851 || 160931 || 2156 (18836) || 0 (472) || 0 (2744) || 280(280) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_armcryptolib armcryptolib] || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 3866231 || 165600 || 3712 (23732) || 0 (472) || 0 (2744) || 428(428) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_armcryptolib armcryptolib] || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 3856511 || 159536 || 2080 (18621) || 0 (472) || 0 (2744) || 280(280) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_light light] || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 5775615 || 275546 || 7209 (29246) || 4 (476) || 0 (2744) || 404(417) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_light light] || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 3740839 || 138465 || 4032 (20916) || 8 (480) || 0 (2744) || 420(420) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_light light] || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 3705919 || 140175 || 4352 (21032) || 8 (480) || 0 (2744) || 512(512) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_light light] || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 3681518 || 141593 || 4744 (24764) || 8 (480) || 0 (2744) || 508(508) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_light light] || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 3766826 || 143674 || 4360 (20901) || 8 (480) || 0 (2744) || 520(520) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_artila_m501_blake32_ref ref] || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 5754859 || 275468 || 6508 (28545) || 0 (472) || 0 (2744) || 384(397) || Checksum OK
