| '''Cipher''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' 
|[wiki:ciphers_0hash 0hash] || empty || arm-linux-gcc -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 3284347 || 1215 || 0 || 0 || 0 || 0 || Checksum OK
|[wiki:ciphers_0hash 0hash] || empty || arm-linux-gcc -O1 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 2571525 || 1148 || 0 || 0 || 0 || 0 || Checksum OK
|[wiki:ciphers_0hash 0hash] || empty || arm-linux-gcc -O2 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 2950133 || 1091 || 0 || 0 || 0 || 0 || Checksum OK
|[wiki:ciphers_0hash 0hash] || empty || arm-linux-gcc -O3 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 2441993 || 1159 || 0 || 0 || 0 || 0 || Checksum OK
|[wiki:ciphers_0hash 0hash] || empty || arm-linux-gcc -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 2344601 || 1001 || 0 || 0 || 0 || 0 || Checksum OK
|[wiki:ciphers_blake32 blake32] || armcryptolib || arm-linux-gcc -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 9929126 || 677059 || 3992 || 0 || 0 || 272 || Checksum OK
|[wiki:ciphers_blake32 blake32] || armcryptolib || arm-linux-gcc -O1 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 4268981 || 171034 || 2136 || 0 || 0 || 276 || Checksum OK
|[wiki:ciphers_blake32 blake32] || armcryptolib || arm-linux-gcc -O2 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 4133678 || 161089 || 2156 || 0 || 0 || 280 || Checksum OK
|[wiki:ciphers_blake32 blake32] || armcryptolib || arm-linux-gcc -O3 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 4134364 || 165263 || 3712 || 0 || 0 || 428 || Checksum OK
|[wiki:ciphers_blake32 blake32] || armcryptolib || arm-linux-gcc -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 5514649 || 158614 || 2080 || 0 || 0 || 280 || Checksum OK
|[wiki:ciphers_blake32 blake32] || light || arm-linux-gcc -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 6202564 || 275636 || 7209 || 4 || 0 || 404 || Checksum OK
|[wiki:ciphers_blake32 blake32] || light || arm-linux-gcc -O1 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 4706933 || 140513 || 3952 || 8 || 0 || 420 || Checksum OK
|[wiki:ciphers_blake32 blake32] || light || arm-linux-gcc -O2 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 4829681 || 141413 || 4272 || 8 || 0 || 512 || Checksum OK
|[wiki:ciphers_blake32 blake32] || light || arm-linux-gcc -O3 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 4000860 || 141953 || 4664 || 8 || 0 || 508 || Checksum OK
|[wiki:ciphers_blake32 blake32] || light || arm-linux-gcc -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 3910298 || 144113 || 4280 || 8 || 0 || 520 || Checksum OK
|[wiki:ciphers_blake32 blake32] || sphlib || arm-linux-gcc -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 11903445 || 200565 || 31952 || 0 || 0 || 508 || Checksum OK
|[wiki:ciphers_blake32 blake32] || sphlib || arm-linux-gcc -O1 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 3532275 || 91800 || 22072 || 0 || 0 || 652 || Checksum OK
|[wiki:ciphers_blake32 blake32] || sphlib || arm-linux-gcc -O2 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 3635618 || 99833 || 27628 || 0 || 0 || 740 || Checksum OK
|[wiki:ciphers_blake32 blake32] || sphlib || arm-linux-gcc -O3 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 3450578 || 99383 || 28316 || 0 || 0 || 740 || Checksum OK
|[wiki:ciphers_blake32 blake32] || sphlib || arm-linux-gcc -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 3452063 || 99158 || 26812 || 0 || 0 || 668 || Checksum OK
|[wiki:ciphers_blake32 blake32] || sphlib-small || arm-linux-gcc -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 5824485 || 279360 || 20160 || 0 || 0 || 512 || Checksum OK
|[wiki:ciphers_blake32 blake32] || sphlib-small || arm-linux-gcc -O1 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 4343929 || 117315 || 15060 || 0 || 0 || 488 || Checksum OK
|[wiki:ciphers_blake32 blake32] || sphlib-small || arm-linux-gcc -O2 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 3921030 || 153315 || 20296 || 0 || 0 || 964 || Checksum OK
