| '''Cipher''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' 
|[wiki:ciphers_0hash 0hash] || empty || armeb-linux-uclibc-gcc -pipe -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || 2864155 || 5852 || 0 (18282) || 0 (368) || 0 (368) || 0(8) || Checksum OK
|[wiki:ciphers_0hash 0hash] || empty || armeb-linux-uclibc-gcc -pipe -O1 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || 662756 || 5653 || 0 (13210) || 0 (364) || 0 (364) || 0(16) || Checksum OK
|[wiki:ciphers_0hash 0hash] || empty || armeb-linux-uclibc-gcc -pipe -O2 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || 689522 || 5935 || 0 (13078) || 0 (364) || 0 (364) || 0(8) || Checksum OK
|[wiki:ciphers_0hash 0hash] || empty || armeb-linux-uclibc-gcc -pipe -O3 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || 708491 || 5902 || 0 (13426) || 0 (364) || 0 (364) || 0(16) || Checksum OK
|[wiki:ciphers_0hash 0hash] || empty || armeb-linux-uclibc-gcc -pipe -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || 605798 || 6052 || 0 (12814) || 0 (364) || 0 (364) || 0(16) || Checksum OK
|[wiki:ciphers_blake32 blake32] || armcryptolib || armeb-linux-uclibc-gcc -pipe -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || 10875078 || 829554 || 3644 (21926) || 0 (368) || 0 (368) || 256(264) || Checksum failed
|[wiki:ciphers_blake32 blake32] || armcryptolib || armeb-linux-uclibc-gcc -pipe -O1 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || 2591040 || 204820 || 1776 (14986) || 0 (364) || 0 (364) || 248(264) || Checksum failed
|[wiki:ciphers_blake32 blake32] || armcryptolib || armeb-linux-uclibc-gcc -pipe -O2 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || 2404457 || 181811 || 1728 (14806) || 0 (364) || 0 (364) || 252(260) || Checksum failed
|[wiki:ciphers_blake32 blake32] || armcryptolib || armeb-linux-uclibc-gcc -pipe -O3 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || 2312022 || 179334 || 6692 (20118) || 0 (364) || 0 (364) || 580(596) || Checksum failed
|[wiki:ciphers_blake32 blake32] || armcryptolib || armeb-linux-uclibc-gcc -pipe -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 4.1.2 || 2401082 || 191154 || 1680 (14494) || 0 (364) || 0 (364) || 252(268) || Checksum failed
