| '''Cipher''' || '''Implementation''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' 
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_atmega1281_16mhz_0hash_empty empty] || [wiki:compilernames avr-gcc -O0] || 4.3.4 (GCC) ||  ||  || 0 (19940) || 0 (668) || 0 (668) || unk(unk) || error
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_atmega1281_16mhz_0hash_empty empty] || [wiki:compilernames avr-gcc -O1] || 4.3.4 (GCC) || 4811043 || 82 || 0 (9194) || 0 (412) || 0 (412) || 0(0) || Checksum OK
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_atmega1281_16mhz_0hash_empty empty] || [wiki:compilernames avr-gcc -O2] || 4.3.4 (GCC) || 4100267 || 72 || 0 (8310) || 0 (412) || 0 (412) || 0(0) || Checksum OK
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_atmega1281_16mhz_0hash_empty empty] || [wiki:compilernames avr-gcc -O3] || 4.3.4 (GCC) || 4100266 || 72 || 0 (8332) || 0 (412) || 0 (412) || 0(0) || Checksum OK
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_atmega1281_16mhz_0hash_empty empty] || [wiki:compilernames avr-gcc -Os] || 4.3.4 (GCC) || 4272401 || 72 || 0 (7770) || 0 (412) || 0 (412) || 0(0) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_atmega1281_16mhz_blake32_armcryptolib armcryptolib] || [wiki:compilernames avr-gcc -O0] || 4.3.4 (GCC) ||  ||  || 4770 (24710) || 352 (1020) || 0 (1020) || unk(unk) || error
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_atmega1281_16mhz_blake32_armcryptolib armcryptolib] || [wiki:compilernames avr-gcc -O1] || 4.3.4 (GCC) || 22090643 || 1766149 || 3176 (12370) || 352 (764) || 0 (764) || 259(259) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_atmega1281_16mhz_blake32_armcryptolib armcryptolib] || [wiki:compilernames avr-gcc -O2] || 4.3.4 (GCC) || 21280793 || 1757564 || 3396 (11706) || 352 (764) || 0 (764) || 271(271) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_atmega1281_16mhz_blake32_armcryptolib armcryptolib] || [wiki:compilernames avr-gcc -O3] || 4.3.4 (GCC) || 20740741 || 1688158 || 22906 (31238) || 320 (732) || 0 (732) || 267(267) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_atmega1281_16mhz_blake32_armcryptolib armcryptolib] || [wiki:compilernames avr-gcc -Os] || 4.3.4 (GCC) || 21653643 || 1776489 || 3238 (11008) || 352 (764) || 0 (764) || 267(267) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_atmega1281_16mhz_blake32_avrcryptolib avrcryptolib] || [wiki:compilernames avr-gcc -O0] || 4.3.4 (GCC) ||  ||  || 5016 (24956) || 0 (668) || 0 (668) || unk(unk) || error
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_atmega1281_16mhz_blake32_avrcryptolib avrcryptolib] || [wiki:compilernames avr-gcc -O1] || 4.3.4 (GCC) || 22394255 || 1797346 || 3586 (12780) || 0 (412) || 0 (412) || 269(269) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_atmega1281_16mhz_blake32_avrcryptolib avrcryptolib] || [wiki:compilernames avr-gcc -O2] || 4.3.4 (GCC) || 21284366 || 1757638 || 3752 (12062) || 0 (412) || 0 (412) || 279(279) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_atmega1281_16mhz_blake32_avrcryptolib avrcryptolib] || [wiki:compilernames avr-gcc -O3] || 4.3.4 (GCC) || 22650035 || 1914147 || 11224 (19556) || 0 (412) || 0 (412) || 287(287) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_atmega1281_16mhz_blake32_avrcryptolib avrcryptolib] || [wiki:compilernames avr-gcc -Os] || 4.3.4 (GCC) || 21648062 || 1775613 || 3592 (11362) || 0 (412) || 0 (412) || 275(275) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_atmega1281_16mhz_blake32_light light] || [wiki:compilernames avr-gcc -O0] || 4.3.4 (GCC) ||  ||  || 12786 (32726) || 288 (956) || 0 (956) || unk(unk) || error
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_atmega1281_16mhz_blake32_light light] || [wiki:compilernames avr-gcc -O1] || 4.3.4 (GCC) || 20821761 || 1585103 || 8892 (18086) || 288 (700) || 0 (700) || 455(455) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_atmega1281_16mhz_blake32_light light] || [wiki:compilernames avr-gcc -O2] || 4.3.4 (GCC) || 20293889 || 1605739 || 9056 (17366) || 288 (700) || 0 (700) || 479(479) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_atmega1281_16mhz_blake32_light light] || [wiki:compilernames avr-gcc -O3] || 4.3.4 (GCC) || 19986956 || 1589063 || 17674 (26006) || 288 (700) || 0 (700) || 558(558) || Checksum OK
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_atmega1281_16mhz_blake32_light light] || [wiki:compilernames avr-gcc -Os] || 4.3.4 (GCC) || 20215003 || 1553176 || 7972 (15742) || 288 (700) || 0 (700) || 417(417) || Checksum OK
