| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:r2011ciphers_0hash 0hash] || [wiki:r2011platformsimplementations_lm3s811-evb_0hash_empty empty] || 36 || 5 || 0 || 0 || 0 || 0 || 0 || [wiki:r2011measureDetailsPage_37_0hash_empty Details]
|[wiki:r2011ciphers_blake256 blake256] || [wiki:r2011platformsimplementations_lm3s811-evb_blake256_sphlib sphlib] || 4401 || 553 || 122 || 61 || 57 || 55 || 52 || [wiki:r2011measureDetailsPage_37_blake256_sphlib Details]
|[wiki:r2011ciphers_blake512 blake512] || [wiki:r2011platformsimplementations_lm3s811-evb_blake512_sphlib-small sphlib-small] || 22586 || 2827 || 347 || 207 || 185 || 174 || 162 || [wiki:r2011measureDetailsPage_37_blake512_sphlib-small Details]
|[wiki:r2011ciphers_groestl256 groestl256] || [wiki:r2011platformsimplementations_lm3s811-evb_groestl256_sphlib-adapted sphlib-adapted] || 30831 || 3856 || 791 || 369 || 339 || 323 || 308 || [wiki:r2011measureDetailsPage_37_groestl256_sphlib-adapted Details]
|[wiki:r2011ciphers_groestl512 groestl512] || [wiki:r2011platformsimplementations_lm3s811-evb_groestl512_sphlib-adapted sphlib-adapted] || 88583 || 11075 || 1378 || 623 || 536 || 493 || 449 || [wiki:r2011measureDetailsPage_37_groestl512_sphlib-adapted Details]
|[wiki:r2011ciphers_jh256 jh256] || [wiki:r2011platformsimplementations_lm3s811-evb_jh256_opt32 opt32] || 21435 || 5329 || 662 || 369 || 348 || 337 || 327 || [wiki:r2011measureDetailsPage_37_jh256_opt32 Details]
|[wiki:r2011ciphers_jh512 jh512] || [wiki:r2011platformsimplementations_lm3s811-evb_jh512_opt32 opt32] || 21488 || 5336 || 663 || 369 || 348 || 337 || 327 || [wiki:r2011measureDetailsPage_37_jh512_opt32 Details]
|[wiki:r2011ciphers_keccakc1024 keccakc1024] || [wiki:r2011platformsimplementations_lm3s811-evb_keccakc1024_opt32bi-s2lcu4 opt32bi-s2lcu4] || 16550 || 2084 || 260 || 230 || 214 || 205 || 197 || [wiki:r2011measureDetailsPage_37_keccakc1024_opt32bi-s2lcu4 Details]
|[wiki:r2011ciphers_keccakc512 keccakc512] || [wiki:r2011platformsimplementations_lm3s811-evb_keccakc512_simple32bi simple32bi] || 16253 || 2033 || 249 || 120 || 118 || 118 || 117 || [wiki:r2011measureDetailsPage_37_keccakc512_simple32bi Details]
|[wiki:r2011ciphers_sha1 sha1] || [wiki:r2011platformsimplementations_lm3s811-evb_sha1_avrcryptolib avrcryptolib] || 22270 || 2791 || 690 || 386 || 364 || 353 || 343 || [wiki:r2011measureDetailsPage_37_sha1_avrcryptolib Details]
|[wiki:r2011ciphers_sha256 sha256] || [wiki:r2011platformsimplementations_lm3s811-evb_sha256_sphlib sphlib] || 3239 || 413 || 91 || 47 || 44 || 42 || 41 || [wiki:r2011measureDetailsPage_37_sha256_sphlib Details]
|[wiki:r2011ciphers_sha512 sha512] || [wiki:r2011platformsimplementations_lm3s811-evb_sha512_sphlib-small sphlib-small] || 23165 || 2904 || 358 || 218 || 195 || 184 || 173 || [wiki:r2011measureDetailsPage_37_sha512_sphlib-small Details]
